instance,abc_was,abc_now,abc_seconds,dfa_was,dfa_now,dfa_seconds
dot_depth__k-100__sigma-2,NOT_PROVED,NOT_PROVED,1.1,NOT_PROVED,NOT_PROVED,1.5
dot_depth__k-400__sigma-2,NOT_PROVED,NOT_PROVED,2.7,NOT_PROVED,NOT_PROVED,5.5
dot_depth__k-800__sigma-2,NOT_PROVED,NOT_PROVED,4.4,NOT_PROVED,NOT_PROVED,24.0
dot_depth__k-1600__sigma-2,NOT_PROVED,NOT_PROVED,5.9,NOT_PROVED,NOT_PROVED,92.7
dot_depth__k-3200__sigma-2,NOT_PROVED,NOT_PROVED,17.0,NOT_PROVED,TIMEOUT,130.3
y_depth__k-10,NOT_PROVED,NOT_PROVED,0.8,NOT_PROVED,NOT_PROVED,0.7
y_depth__k-100,NOT_PROVED,NOT_PROVED,0.7,TIMEOUT,TIMEOUT,130.4
y_depth__k-500,NOT_PROVED,NOT_PROVED,1.7,TIMEOUT,TIMEOUT,130.4
y_depth__k-2000,NOT_PROVED,NOT_PROVED,2.8,TIMEOUT,TIMEOUT,130.3
y_depth__k-8000,NOT_PROVED,NOT_PROVED,7.8,TIMEOUT,TIMEOUT,130.3
y_depth__no_two_a__k-5,NOT_PROVED,NOT_PROVED,0.8,NOT_PROVED,NOT_PROVED,0.6
y_depth__no_two_a__k-1000,NOT_PROVED,NOT_PROVED,1.3,TIMEOUT,TIMEOUT,130.3
y_depth__no_two_a__k-4000,NOT_PROVED,NOT_PROVED,3.4,TIMEOUT,TIMEOUT,130.3
y_depth__no_two_a__k-16000,NOT_PROVED,NOT_PROVED,9.0,TIMEOUT,TIMEOUT,130.3
y_depth__no_two_a__k-64000,NOT_PROVED,NOT_PROVED,36.7,TIMEOUT,TIMEOUT,130.1
two_var__monotone_past__sigma-8,PROVED,PROVED,0.7,PROVED,PROVED,1.0
two_var__since_same_letter__sigma-8,NOT_PROVED,NOT_PROVED,0.7,NOT_PROVED,NOT_PROVED,22.2
two_var__same_letter_before__sigma-8,NOT_PROVED,NOT_PROVED,0.6,NOT_PROVED,NOT_PROVED,17.7
two_var__monotone_past__sigma-32,PROVED,PROVED,1.0,BLOWUP,BLOWUP,0.4
two_var__since_same_letter__sigma-32,NOT_PROVED,NOT_PROVED,0.7,BLOWUP,BLOWUP,0.3
two_var__same_letter_before__sigma-32,NOT_PROVED,NOT_PROVED,0.7,BLOWUP,BLOWUP,0.4
two_var__monotone_past__sigma-64,PROVED,PROVED,1.9,BLOWUP,BLOWUP,0.4
two_var__since_same_letter__sigma-64,NOT_PROVED,NOT_PROVED,0.9,BLOWUP,BLOWUP,0.3
two_var__same_letter_before__sigma-64,NOT_PROVED,NOT_PROVED,0.9,BLOWUP,BLOWUP,0.3
two_var__monotone_past__sigma-128,PROVED,PROVED,9.0,BLOWUP,BLOWUP,0.6
two_var__since_same_letter__sigma-128,NOT_PROVED,NOT_PROVED,1.3,BLOWUP,BLOWUP,0.4
two_var__same_letter_before__sigma-128,NOT_PROVED,NOT_PROVED,1.3,BLOWUP,BLOWUP,0.4
two_var__monotone_past__sigma-256,TIMEOUT,PROVED,85.6,BLOWUP,BLOWUP,1.5
two_var__since_same_letter__sigma-256,NOT_PROVED,NOT_PROVED,2.8,BLOWUP,BLOWUP,0.4
two_var__same_letter_before__sigma-256,NOT_PROVED,NOT_PROVED,2.7,BLOWUP,BLOWUP,0.4
