name,path,expected_empty,dfa_states,alphabet,depth,attention_ops,short_rate,long_rate
rand_000,examples/brasp/random_deep/rand_000.brasp,False,7,3,5,9,0.6,0.5417
rand_001,examples/brasp/random_deep/rand_001.brasp,False,4,2,6,9,0.4,0.4583
rand_002,examples/brasp/random_deep/rand_002.brasp,False,14,3,5,10,0.4167,0.275
rand_003,examples/brasp/random_deep/rand_003.brasp,False,9,2,5,8,0.1583,0.1
rand_004,examples/brasp/random_deep/rand_004.brasp,False,5,3,5,10,0.6917,0.8417
rand_005,examples/brasp/random_deep/rand_005.brasp,False,5,3,5,8,0.4583,0.5583
rand_006,examples/brasp/random_deep/rand_006.brasp,False,10,2,6,10,0.8083,0.7833
rand_007,examples/brasp/random_deep/rand_007.brasp,False,6,3,5,7,0.175,0.1917
rand_008,examples/brasp/random_deep/rand_008.brasp,False,9,3,5,10,0.15,0.2
rand_009,examples/brasp/random_deep/rand_009.brasp,False,17,2,5,9,0.525,0.4583
rand_010,examples/brasp/random_deep/rand_010.brasp,False,5,2,5,10,0.4167,0.2667
rand_011,examples/brasp/random_deep/rand_011.brasp,False,13,3,6,9,0.5833,0.8833
rand_012,examples/brasp/random_deep/rand_012.brasp,False,6,2,5,8,0.0833,0.1833
rand_013,examples/brasp/random_deep/rand_013.brasp,False,5,3,8,10,0.6917,0.7333
rand_014,examples/brasp/random_deep/rand_014.brasp,False,5,2,6,8,0.6667,0.7417
rand_015,examples/brasp/random_deep/rand_015.brasp,False,5,3,6,7,0.05,0.1083
rand_016,examples/brasp/random_deep/rand_016.brasp,False,4,2,5,8,0.5917,0.5833
rand_017,examples/brasp/random_deep/rand_017.brasp,False,11,3,5,10,0.3417,0.2083
rand_018,examples/brasp/random_deep/rand_018.brasp,False,4,3,5,7,0.075,0.1417
rand_019,examples/brasp/random_deep/rand_019.brasp,False,4,2,5,7,0.5667,0.7417
rand_020,examples/brasp/random_deep/rand_020.brasp,False,4,2,6,9,0.4583,0.525
rand_021,examples/brasp/random_deep/rand_021.brasp,False,12,3,5,9,0.0583,0.1167
rand_022,examples/brasp/random_deep/rand_022.brasp,False,5,3,5,8,0.15,0.3583
rand_023,examples/brasp/random_deep/rand_023.brasp,False,9,2,5,6,0.3333,0.4333
rand_024,examples/brasp/random_deep/rand_024.brasp,True,,3,2,2,0.0,0.0
rand_025,examples/brasp/random_deep/rand_025.brasp,True,,3,1,2,0.0,0.0
rand_026,examples/brasp/random_deep/rand_026.brasp,True,,3,3,3,0.0,0.0
rand_027,examples/brasp/random_deep/rand_027.brasp,True,,3,2,2,0.0,0.0
