corpus,language,layers,heads,terms,spec_depth,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,spec_empty,agrees,verify_seconds
curated,a_before_b,2,1,2,2,2,83.0,1.0,1.0,false,false,true,4.5
curated,a_star_b_star,2,1,1,2,2,38.0,1.0,1.0,false,false,true,3.19
curated,c_after_ab,3,2,2,3,6,100.1,1.0,1.0,false,false,true,4.68
curated,contains_ab,2,1,2,2,2,100.0,1.0,1.0,false,false,true,4.92
curated,contains_aba,3,1,2,3,3,126.3,1.0,1.0,false,false,true,5.63
curated,dot_depth__k-1__sigma-2,1,1,1,1,1,29.4,1.0,1.0,false,false,true,4.43
curated,dot_depth__k-1__sigma-4,1,1,1,1,1,30.2,1.0,1.0,false,false,true,5.6
curated,dot_depth__k-2__sigma-2,2,2,1,,4,165.9,1.0,1.0,false,,,1.91
curated,dot_depth__k-3__sigma-2,3,1,2,,3,174.4,1.0,1.0,false,,,1.94
curated,dot_depth__k-4__sigma-2,3,3,2,,8,293.8,1.0,1.0,false,,,1.47
curated,dot_depth__k-5__sigma-2,5,1,2,5,5,741.6,1.0,1.0,false,false,true,4.69
curated,dot_depth__k-6__sigma-2,6,2,2,,9,252.9,1.0,1.0,false,,,2.36
curated,dot_depth__k-7__sigma-2,8,1,2,,8,368.3,1.0,1.0,false,,,1.92
curated,ends_ab,1,1,1,1,1,51.8,1.0,1.0,false,false,true,2.81
curated,first_a,2,1,2,2,2,47.5,1.0,1.0,false,false,true,3.01
curated,first_a_before_first_b,2,1,2,2,2,48.8,1.0,1.0,false,false,true,4.2
curated,first_equals_last,2,1,2,2,2,48.4,1.0,1.0,false,false,true,4.4
curated,gastin_oddoux_depth__k-1,2,1,2,2,2,49.5,1.0,1.0,false,false,true,3.38
curated,last_a,1,1,1,0,0,28.1,1.0,1.0,false,false,true,2.58
curated,markey_agreement__n-1,1,2,2,1,2,66.5,1.0,1.0,false,false,true,3.54
curated,no_c_before_first_b,2,1,2,2,2,51.0,1.0,1.0,false,false,true,4.27
curated,starts_ab,3,1,2,3,3,366.6,1.0,1.0,false,false,true,5.02
curated,tomita_1,1,1,1,1,1,27.1,1.0,1.0,false,false,true,6.09
curated,tomita_2,2,1,2,2,2,109.6,1.0,1.0,false,false,true,5.67
curated,tomita_4,3,1,1,3,3,149.9,1.0,1.0,false,false,true,4.07
curated,tomita_7,3,1,2,3,3,141.8,1.0,1.0,false,false,true,3.09
curated,two_var__monotone_past__sigma-2,1,1,1,1,1,28.8,1.0,1.0,true,true,true,3.55
curated,two_var__monotone_past__sigma-4,1,1,1,1,1,29.1,1.0,1.0,true,true,true,3.83
curated,two_var__prev_repeats__sigma-2,1,2,2,1,2,81.0,1.0,1.0,false,false,true,4.2
curated,two_var__same_letter_before__sigma-2,1,1,2,1,1,31.7,1.0,1.0,false,false,true,4.31
curated,two_var__same_letter_before__sigma-4,1,2,2,1,2,133.9,1.0,1.0,false,false,true,3.35
curated,two_var__since_same_letter__sigma-2,1,1,2,1,1,32.2,1.0,1.0,false,false,true,4.19
curated,y_depth__k-1,1,1,1,1,1,28.1,1.0,1.0,false,false,true,4.14
curated,y_depth__no_two_a__k-1,2,1,1,2,2,41.8,1.0,1.0,false,false,true,3.94
random,rand_000,1,1,1,1,1,28.1,1.0,1.0,false,false,true,2.82
random,rand_001,2,1,1,2,2,42.9,1.0,1.0,false,false,true,2.13
random,rand_002,2,1,1,2,1,41.8,1.0,1.0,false,false,true,2.24
random,rand_003,2,1,1,2,2,44.0,1.0,1.0,false,false,true,2.27
random,rand_004,1,1,1,1,0,27.6,1.0,1.0,false,false,true,2.29
random,rand_005,3,1,1,3,3,47.6,1.0,1.0,false,false,true,2.33
random,rand_006,2,1,1,2,2,43.3,1.0,1.0,false,false,true,2.17
random,rand_007,2,1,1,2,2,34.0,1.0,1.0,false,false,true,2.19
random,rand_008,2,1,1,2,2,29.5,1.0,1.0,false,false,true,2.07
random,rand_009,1,1,1,1,0,18.4,1.0,1.0,false,false,true,1.99
random,rand_010,2,1,1,2,2,41.8,1.0,1.0,false,false,true,2.05
random,rand_011,3,1,1,3,3,49.6,1.0,1.0,false,false,true,1.97
random,rand_012,2,1,1,2,1,44.1,1.0,1.0,false,false,true,1.9
random,rand_013,2,1,1,2,1,44.4,1.0,1.0,false,false,true,1.79
