family,k,dfa,dfa_seconds,abc,abc_seconds
first,2,NONEMPTY,0.9,NONEMPTY,0.8
first,3,NONEMPTY,0.6,NONEMPTY,0.7
first,4,NONEMPTY,0.7,NONEMPTY,0.8
first,5,NONEMPTY,1.0,NONEMPTY,0.8
first,6,NONEMPTY,1.3,NONEMPTY,1.0
first,7,NONEMPTY,2.5,NONEMPTY,1.7
first,8,NONEMPTY,7.4,?,2.2
marked_same,1,NONEMPTY,0.5,NONEMPTY,0.7
marked_same,2,NONEMPTY,0.6,NONEMPTY,0.7
marked_same,3,NONEMPTY,0.6,NONEMPTY,0.7
marked_same,4,NONEMPTY,0.6,NONEMPTY,0.7
marked_same,5,NONEMPTY,0.6,NONEMPTY,0.7
marked_same,6,NONEMPTY,0.6,NONEMPTY,0.8
marked_same,7,NONEMPTY,0.6,NONEMPTY,0.7
marked_same,8,NONEMPTY,0.6,NONEMPTY,0.7
marks,1,NONEMPTY,0.5,NONEMPTY,0.6
marks,10,NONEMPTY,0.5,NONEMPTY,0.7
marks,11,NONEMPTY,0.5,NONEMPTY,0.7
marks,12,NONEMPTY,0.5,NONEMPTY,0.7
marks,2,NONEMPTY,0.5,NONEMPTY,0.6
marks,3,NONEMPTY,0.5,NONEMPTY,0.6
marks,4,NONEMPTY,0.5,NONEMPTY,0.6
marks,5,NONEMPTY,0.5,NONEMPTY,0.6
marks,6,NONEMPTY,0.5,NONEMPTY,0.7
marks,7,NONEMPTY,0.5,NONEMPTY,0.6
marks,8,NONEMPTY,0.5,NONEMPTY,0.7
marks,9,NONEMPTY,0.5,NONEMPTY,0.7
