task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
rand_000,examples/brasp/random/rand_000.brasp,True,1,1,1,0,1.0,1.0,1.0,0.5,0,1,26.9
rand_000,examples/brasp/random/rand_000.brasp,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,32.7
rand_000,examples/brasp/random/rand_000.brasp,True,1,2,1,0,1.0,1.0,1.0,0.5,0,1,40.9
rand_000,examples/brasp/random/rand_000.brasp,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,49.1
rand_000,examples/brasp/random/rand_000.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,29.4
rand_000,examples/brasp/random/rand_000.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,54.1
rand_000,examples/brasp/random/rand_000.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,3,62.9
rand_000,examples/brasp/random/rand_000.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,3,73.3
rand_001,examples/brasp/random/rand_001.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,44.6
rand_001,examples/brasp/random/rand_001.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,52.2
rand_001,examples/brasp/random/rand_001.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,3,53.9
rand_001,examples/brasp/random/rand_001.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,80.7
rand_001,examples/brasp/random/rand_001.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,2,53.7
rand_001,examples/brasp/random/rand_001.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,65.0
rand_001,examples/brasp/random/rand_001.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,69.2
rand_001,examples/brasp/random/rand_001.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,107.2
rand_002,examples/brasp/random/rand_002.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,1,42.6
rand_002,examples/brasp/random/rand_002.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,50.8
rand_002,examples/brasp/random/rand_002.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,1,60.1
rand_002,examples/brasp/random/rand_002.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,3,75.0
rand_002,examples/brasp/random/rand_002.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,2,48.0
rand_002,examples/brasp/random/rand_002.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,2,67.1
rand_002,examples/brasp/random/rand_002.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,5,70.7
rand_002,examples/brasp/random/rand_002.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,105.4
rand_003,examples/brasp/random/rand_003.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,43.3
rand_003,examples/brasp/random/rand_003.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,50.9
rand_003,examples/brasp/random/rand_003.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,3,59.1
rand_003,examples/brasp/random/rand_003.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,3,73.1
rand_003,examples/brasp/random/rand_003.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,2,48.1
rand_003,examples/brasp/random/rand_003.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,63.9
rand_003,examples/brasp/random/rand_003.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,5,71.9
rand_003,examples/brasp/random/rand_003.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,91.3
rand_004,examples/brasp/random/rand_004.brasp,True,1,1,1,0,1.0,1.0,1.0,0.5,0,0,29.1
rand_004,examples/brasp/random/rand_004.brasp,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,30.8
rand_004,examples/brasp/random/rand_004.brasp,True,1,2,1,0,1.0,1.0,1.0,0.5,0,0,40.6
rand_004,examples/brasp/random/rand_004.brasp,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,49.7
rand_004,examples/brasp/random/rand_004.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,1,41.0
rand_004,examples/brasp/random/rand_004.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,50.6
rand_004,examples/brasp/random/rand_004.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,2,58.2
rand_004,examples/brasp/random/rand_004.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,80.1
rand_005,examples/brasp/random/rand_005.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,49.2
rand_005,examples/brasp/random/rand_005.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,65.7
rand_005,examples/brasp/random/rand_005.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,70.6
rand_005,examples/brasp/random/rand_005.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,102.6
rand_005,examples/brasp/random/rand_005.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,4,51.9
rand_005,examples/brasp/random/rand_005.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,81.0
rand_005,examples/brasp/random/rand_005.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,5,80.5
rand_005,examples/brasp/random/rand_005.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,6,118.3
rand_006,examples/brasp/random/rand_006.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,42.8
rand_006,examples/brasp/random/rand_006.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,49.0
rand_006,examples/brasp/random/rand_006.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,3,61.6
rand_006,examples/brasp/random/rand_006.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,74.6
rand_006,examples/brasp/random/rand_006.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,48.8
rand_006,examples/brasp/random/rand_006.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,63.9
rand_006,examples/brasp/random/rand_006.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,5,69.1
rand_006,examples/brasp/random/rand_006.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,100.6
