task,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
a_before_b,True,1,1,1,0,0.787879,0.787879,0.753739,,0,1,116.1
a_before_b,True,1,1,2,0,0.787879,0.787879,0.753739,,0,1,202.0
a_before_b,True,1,2,1,0,0.829004,0.829004,0.998006,,0,2,261.2
a_before_b,True,1,2,2,1,0.829004,0.829004,0.998006,,0,2,390.2
a_before_b,True,1,3,1,1,0.856061,0.856061,0.999003,,0,3,226.3
a_before_b,True,1,3,2,0,0.856061,0.856061,0.999003,,0,3,585.3
a_before_b,True,2,1,1,0,0.856061,0.856061,0.999003,,0,2,192.3
a_before_b,True,2,1,2,0,0.856061,0.856061,0.999003,,0,2,501.4
a_before_b,True,2,2,1,2,1.0,1.0,1.0,,0,3,419.1
a_before_b,True,2,2,2,2,0.92316,0.92316,0.872383,,0,4,762.6
a_before_b,True,2,3,1,0,1.0,1.0,1.0,,0,5,149.2
a_before_b,True,2,3,2,0,1.0,1.0,1.0,,0,5,376.9
a_before_b,True,3,1,1,0,0.968615,0.968615,1.0,,0,3,296.8
a_before_b,True,3,1,2,0,1.0,1.0,1.0,,0,3,209.7
a_before_b,True,3,2,1,0,1.0,1.0,1.0,,0,6,136.0
a_before_b,True,3,2,2,0,1.0,1.0,1.0,,0,6,549.8
a_before_b,True,3,3,1,2,1.0,1.0,1.0,,0,9,649.5
a_before_b,True,3,3,2,0,1.0,1.0,1.0,,0,9,585.8
a_star_b_star,True,1,1,1,0,0.834416,0.834416,1.0,,0,1,111.9
a_star_b_star,True,1,1,2,0,0.805195,0.805195,0.999001,,0,1,197.8
a_star_b_star,True,1,2,1,1,0.782468,0.782468,0.999001,,0,2,186.0
a_star_b_star,True,1,2,2,0,0.856061,0.856061,1.0,,0,2,405.8
a_star_b_star,True,1,3,1,2,0.804113,0.804113,0.999001,,0,2,325.0
a_star_b_star,True,1,3,2,1,0.872294,0.872294,0.89011,,0,3,506.4
a_star_b_star,True,2,1,1,1,0.823593,0.823593,0.772228,,0,2,198.1
a_star_b_star,True,2,1,2,1,1.0,1.0,1.0,,0,2,294.8
a_star_b_star,True,2,2,1,2,1.0,1.0,1.0,,0,4,467.9
a_star_b_star,True,2,2,2,1,1.0,1.0,1.0,,0,4,536.3
a_star_b_star,True,2,3,1,1,1.0,1.0,1.0,,0,4,439.8
a_star_b_star,True,2,3,2,0,0.998918,0.998918,1.0,,0,6,1357.0
a_star_b_star,True,3,1,1,0,0.998918,0.998918,1.0,,0,2,331.3
a_star_b_star,True,3,1,2,0,1.0,1.0,1.0,,0,3,192.4
a_star_b_star,True,3,2,1,2,0.856061,0.856061,1.0,,0,5,449.2
a_star_b_star,True,3,2,2,0,1.0,1.0,1.0,,0,4,407.1
a_star_b_star,True,3,3,1,0,1.0,1.0,1.0,,0,8,281.9
a_star_b_star,True,3,3,2,0,1.0,1.0,1.0,,0,9,587.3
c_after_ab,True,1,1,1,0,0.694704,0.694704,0.5,,0,1,201.1
c_after_ab,True,1,1,2,1,0.694704,0.694704,0.5,,0,1,321.8
c_after_ab,True,1,2,1,1,0.731464,0.731464,0.534,,0,2,233.5
c_after_ab,True,1,2,2,1,0.694704,0.694704,0.533,,0,2,634.8
c_after_ab,True,1,3,1,2,0.773209,0.773209,0.546,,0,3,447.4
c_after_ab,True,1,3,2,1,0.694704,0.694704,0.5,,0,3,1011.7
c_after_ab,True,2,1,1,0,0.851713,0.851713,0.8495,,0,2,262.3
c_after_ab,True,2,1,2,1,0.851713,0.851713,0.8495,,0,2,630.7
c_after_ab,True,2,2,1,0,0.794393,0.794393,0.625,,0,4,478.5
c_after_ab,True,2,2,2,1,0.981931,0.981931,0.9145,,0,4,1509.2
c_after_ab,True,2,3,1,0,0.809969,0.809969,0.563,,0,5,643.7
c_after_ab,True,2,3,2,1,0.961994,0.961994,0.858,,0,6,2223.3
c_after_ab,True,3,1,1,0,0.788785,0.788785,0.574,,0,3,375.9
c_after_ab,True,3,1,2,2,0.949533,0.949533,0.6195,,0,3,1568.9
c_after_ab,True,3,2,1,0,0.760748,0.760748,0.5205,,0,6,576.4
c_after_ab,True,3,2,2,0,1.0,1.0,1.0,,0,6,623.5
c_after_ab,True,3,3,1,1,0.911526,0.911526,0.8375,,0,7,1557.4
c_after_ab,True,3,3,2,1,0.965109,0.965109,0.795,,0,7,3066.8
contains_ab,True,1,1,1,0,0.787879,0.787879,0.753739,,0,1,110.2
contains_ab,True,1,1,2,0,0.787879,0.787879,0.753739,,0,1,198.1
contains_ab,True,1,2,1,0,0.829004,0.829004,0.998006,,0,2,181.1
contains_ab,True,1,2,2,1,0.829004,0.829004,0.998006,,0,2,384.1
contains_ab,True,1,3,1,1,0.856061,0.856061,0.999003,,0,3,244.1
contains_ab,True,1,3,2,0,0.856061,0.856061,0.999003,,0,3,567.2
contains_ab,True,2,1,1,0,0.856061,0.856061,0.999003,,0,2,208.3
contains_ab,True,2,1,2,0,0.856061,0.856061,0.999003,,0,2,624.7
contains_ab,True,2,2,1,2,1.0,1.0,1.0,,0,3,389.2
contains_ab,True,2,2,2,2,0.92316,0.92316,0.872383,,0,4,1146.7
contains_ab,True,2,3,1,0,1.0,1.0,1.0,,0,5,149.6
contains_ab,True,2,3,2,0,1.0,1.0,1.0,,0,5,378.3
contains_ab,True,3,1,1,0,0.968615,0.968615,1.0,,0,3,268.3
contains_ab,True,3,1,2,0,1.0,1.0,1.0,,0,3,215.1
contains_ab,True,3,2,1,0,1.0,1.0,1.0,,0,6,155.9
contains_ab,True,3,2,2,0,1.0,1.0,1.0,,0,6,535.1
contains_ab,True,3,3,1,2,1.0,1.0,1.0,,0,9,753.6
contains_ab,True,3,3,2,0,1.0,1.0,1.0,,0,9,517.4
contains_aba,True,1,1,1,1,0.564027,0.564027,0.541,,0,1,100.0
contains_aba,True,1,1,2,0,0.56696,0.56696,0.541,,0,1,238.1
contains_aba,True,1,2,1,1,0.564027,0.564027,0.541,,0,2,169.2
contains_aba,True,1,2,2,0,0.510264,0.510264,0.5,,0,2,419.6
contains_aba,True,1,3,1,0,0.567937,0.567937,0.5355,,0,3,182.6
contains_aba,True,1,3,2,2,0.564027,0.564027,0.541,,0,3,537.5
contains_aba,True,2,1,1,2,0.56305,0.56305,0.5005,,0,2,166.4
contains_aba,True,2,1,2,2,0.617791,0.617791,0.5675,,0,2,422.3
contains_aba,True,2,2,1,0,0.527859,0.527859,0.5,,0,4,325.0
contains_aba,True,2,2,2,2,0.603128,0.603128,0.5425,,0,4,898.9
contains_aba,True,2,3,1,0,0.817204,0.817204,0.706,,0,6,411.7
contains_aba,True,2,3,2,0,0.795699,0.795699,0.6965,,0,6,1427.3
contains_aba,True,3,1,1,2,0.695015,0.695015,0.638,,0,3,208.3
contains_aba,True,3,1,2,1,0.989247,0.989247,1.0,,0,3,651.2
contains_aba,True,3,2,1,1,0.829912,0.829912,0.5095,,0,6,415.4
contains_aba,True,3,2,2,2,0.744868,0.744868,0.6225,,0,6,1281.3
contains_aba,True,3,3,1,1,0.945259,0.945259,0.998,,0,8,855.9
contains_aba,True,3,3,2,0,1.0,1.0,1.0,,0,9,598.5
dot_depth__k-1__sigma-2,True,1,1,1,1,1.0,1.0,1.0,0.5,0,1,40.1
dot_depth__k-1__sigma-2,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,51.7
dot_depth__k-1__sigma-2,True,1,2,1,0,0.964798,0.964798,1.0,0.5,0,1,112.3
dot_depth__k-1__sigma-2,True,1,2,2,0,1.0,1.0,1.0,0.5,0,1,100.8
dot_depth__k-1__sigma-2,True,1,3,1,1,1.0,1.0,1.0,,0,1,39.0
dot_depth__k-1__sigma-2,True,1,3,2,0,1.0,1.0,1.0,,0,2,49.2
dot_depth__k-1__sigma-2,True,2,1,1,0,0.964798,0.964798,1.0,0.5,0,1,121.9
dot_depth__k-1__sigma-2,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,113.4
dot_depth__k-1__sigma-2,True,2,2,1,1,1.0,1.0,1.0,0.5,0,4,156.4
dot_depth__k-1__sigma-2,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,211.1
dot_depth__k-1__sigma-2,True,2,3,1,0,1.0,1.0,1.0,,0,5,42.7
dot_depth__k-1__sigma-2,True,2,3,2,0,1.0,1.0,1.0,,0,5,109.7
dot_depth__k-1__sigma-2,True,3,1,1,0,1.0,1.0,1.0,,0,2,25.6
dot_depth__k-1__sigma-2,True,3,1,2,0,1.0,1.0,1.0,,0,2,53.3
dot_depth__k-1__sigma-2,True,3,2,1,0,1.0,1.0,1.0,,0,5,44.9
dot_depth__k-1__sigma-2,True,3,2,2,0,1.0,1.0,1.0,,0,6,107.7
dot_depth__k-1__sigma-2,True,3,3,1,0,1.0,1.0,1.0,,0,5,76.8
dot_depth__k-1__sigma-2,True,3,3,2,0,1.0,1.0,1.0,,0,8,156.1
dot_depth__k-1__sigma-4,True,1,1,1,0,1.0,1.0,1.0,0.5,0,1,52.6
dot_depth__k-1__sigma-4,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,155.0
dot_depth__k-1__sigma-4,True,1,2,1,2,1.0,1.0,1.0,0.5,0,2,283.2
dot_depth__k-1__sigma-4,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,269.3
dot_depth__k-1__sigma-4,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,152.5
dot_depth__k-1__sigma-4,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,337.6
dot_depth__k-1__sigma-4,True,2,2,1,0,1.0,1.0,1.0,0.5,0,4,256.0
dot_depth__k-1__sigma-4,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,593.2
dot_depth__k-2__sigma-2,True,1,1,1,1,0.801105,0.801105,0.7755,,0,1,36.4
dot_depth__k-2__sigma-2,True,1,1,2,1,0.801105,0.801105,0.7755,,0,1,90.2
dot_depth__k-2__sigma-2,True,1,2,1,0,0.887661,0.887661,0.8395,,0,2,67.0
dot_depth__k-2__sigma-2,True,1,2,2,0,0.887661,0.887661,0.8395,,0,2,153.9
dot_depth__k-2__sigma-2,True,1,3,1,0,0.887661,0.887661,0.8395,,0,2,92.9
dot_depth__k-2__sigma-2,True,1,3,2,1,0.887661,0.887661,0.8395,,0,3,218.5
dot_depth__k-2__sigma-2,True,2,1,1,0,0.913444,0.913444,0.8155,,0,2,63.2
dot_depth__k-2__sigma-2,True,2,1,2,0,0.887661,0.887661,0.8395,,0,2,305.1
dot_depth__k-2__sigma-2,True,2,2,1,2,1.0,1.0,1.0,,0,4,215.9
dot_depth__k-2__sigma-2,True,2,2,2,0,1.0,1.0,1.0,,0,4,104.5
dot_depth__k-2__sigma-2,True,2,3,1,2,1.0,1.0,1.0,,0,6,185.4
dot_depth__k-2__sigma-2,True,2,3,2,0,1.0,1.0,1.0,,0,6,266.1
dot_depth__k-2__sigma-2,True,3,1,1,0,0.94291,0.94291,0.9925,,0,3,114.1
dot_depth__k-2__sigma-2,True,3,1,2,0,1.0,1.0,1.0,,0,3,83.9
dot_depth__k-2__sigma-2,True,3,2,1,0,1.0,1.0,1.0,,0,6,64.7
dot_depth__k-2__sigma-2,True,3,2,2,0,1.0,1.0,1.0,,0,6,163.4
dot_depth__k-2__sigma-2,True,3,3,1,0,1.0,1.0,1.0,,0,7,178.0
dot_depth__k-2__sigma-2,True,3,3,2,0,1.0,1.0,1.0,,0,8,245.1
dot_depth__k-3__sigma-2,True,1,1,1,0,0.627543,0.627543,0.576,,0,1,53.9
dot_depth__k-3__sigma-2,True,1,1,2,2,0.696401,0.696401,0.6975,,0,1,229.3
dot_depth__k-3__sigma-2,True,1,2,1,2,0.716745,0.716745,0.677,,0,2,155.9
dot_depth__k-3__sigma-2,True,1,2,2,1,0.751174,0.751174,0.707,,0,2,233.2
dot_depth__k-3__sigma-2,True,1,3,1,1,0.751174,0.751174,0.707,,0,3,156.0
dot_depth__k-3__sigma-2,True,1,3,2,2,0.751174,0.751174,0.707,,0,3,334.0
dot_depth__k-3__sigma-2,True,2,1,1,0,0.669797,0.669797,0.672,,0,2,111.5
dot_depth__k-3__sigma-2,True,2,1,2,0,0.901408,0.901408,0.817,,0,2,246.3
dot_depth__k-3__sigma-2,True,2,2,1,0,0.901408,0.901408,0.817,,0,4,168.0
dot_depth__k-3__sigma-2,True,2,2,2,1,0.901408,0.901408,0.817,,0,4,505.2
dot_depth__k-3__sigma-2,True,2,3,1,0,0.901408,0.901408,0.817,,0,5,257.0
dot_depth__k-3__sigma-2,True,2,3,2,0,0.901408,0.901408,0.817,,0,6,761.7
dot_depth__k-3__sigma-2,True,3,1,1,0,0.8482,0.8482,0.8025,,0,3,147.2
dot_depth__k-3__sigma-2,True,3,1,2,2,1.0,1.0,1.0,,0,3,478.1
dot_depth__k-3__sigma-2,True,3,2,1,2,0.931142,0.931142,0.8915,,0,6,280.9
dot_depth__k-3__sigma-2,True,3,2,2,0,1.0,1.0,1.0,,0,6,281.7
dot_depth__k-3__sigma-2,True,3,3,1,0,0.8482,0.8482,0.8025,,0,8,548.2
dot_depth__k-3__sigma-2,True,3,3,2,1,1.0,1.0,1.0,,0,9,873.1
dot_depth__k-4__sigma-2,True,1,1,1,0,0.58279,0.58279,0.57,,0,1,105.1
dot_depth__k-4__sigma-2,True,1,1,2,1,0.642764,0.642764,0.633,,0,1,235.2
dot_depth__k-4__sigma-2,True,1,2,1,2,0.617992,0.617992,0.645,,0,2,539.9
dot_depth__k-4__sigma-2,True,1,2,2,0,0.589309,0.589309,0.64,,0,2,425.7
dot_depth__k-4__sigma-2,True,1,3,1,0,0.655802,0.655802,0.6355,,0,3,322.5
dot_depth__k-4__sigma-2,True,1,3,2,2,0.655802,0.655802,0.6355,,0,3,628.7
dot_depth__k-4__sigma-2,True,2,1,1,0,0.694915,0.694915,0.7115,,0,2,289.8
dot_depth__k-4__sigma-2,True,2,1,2,2,0.77575,0.77575,0.7305,,0,2,973.0
dot_depth__k-4__sigma-2,True,2,2,1,2,0.709257,0.709257,0.7105,,0,4,459.4
dot_depth__k-4__sigma-2,True,2,2,2,1,0.934811,0.934811,0.818,,0,4,1560.9
dot_depth__k-4__sigma-2,True,2,3,1,0,0.934811,0.934811,0.818,,0,6,454.2
dot_depth__k-4__sigma-2,True,2,3,2,2,0.934811,0.934811,0.818,,0,6,2058.1
dot_depth__k-4__sigma-2,True,3,1,1,1,0.719687,0.719687,0.6435,,0,3,302.2
dot_depth__k-4__sigma-2,True,3,1,2,1,0.934811,0.934811,0.818,,0,3,743.0
dot_depth__k-4__sigma-2,True,3,2,1,2,0.766623,0.766623,0.719,,0,5,1003.9
dot_depth__k-4__sigma-2,True,3,2,2,2,0.934811,0.934811,0.818,,0,6,1337.5
dot_depth__k-4__sigma-2,True,3,3,1,0,0.934811,0.934811,0.818,,0,8,789.9
dot_depth__k-4__sigma-2,True,3,3,2,1,1.0,1.0,1.0,,0,8,1370.2
dot_depth__k-4__sigma-2,True,4,1,1,0,0.906128,0.906128,0.86,,0,4,188.0
dot_depth__k-4__sigma-2,True,4,2,1,1,0.80704,0.80704,0.774,,0,7,276.9
dot_depth__k-4__sigma-2,True,4,2,2,0,0.977836,0.977836,0.8915,,0,8,427.4
dot_depth__k-4__sigma-2,True,5,1,1,1,0.906128,0.906128,0.86,,0,5,197.8
dot_depth__k-4__sigma-2,True,5,1,2,0,1.0,1.0,1.0,,0,5,98.4
dot_depth__k-4__sigma-2,True,5,2,1,2,0.783572,0.783572,0.728,,0,7,290.7
dot_depth__k-5__sigma-2,True,1,1,1,0,0.617992,0.617992,0.5,,0,1,100.9
dot_depth__k-5__sigma-2,True,1,1,2,0,0.617992,0.617992,0.5,,0,1,343.1
dot_depth__k-5__sigma-2,True,1,2,1,0,0.617992,0.617992,0.5,,0,2,180.6
dot_depth__k-5__sigma-2,True,1,2,2,0,0.617992,0.617992,0.5,,0,2,495.2
dot_depth__k-5__sigma-2,True,1,3,1,0,0.617992,0.617992,0.5,,0,3,293.8
dot_depth__k-5__sigma-2,True,1,3,2,0,0.617992,0.617992,0.5,,0,3,687.3
dot_depth__k-5__sigma-2,True,2,1,1,1,0.617992,0.617992,0.5,,0,2,225.3
dot_depth__k-5__sigma-2,True,2,1,2,0,0.617992,0.617992,0.5,,0,2,509.5
dot_depth__k-5__sigma-2,True,2,2,1,1,0.671447,0.671447,0.6525,,0,4,521.3
dot_depth__k-5__sigma-2,True,2,2,2,1,0.745763,0.745763,0.553,,0,4,1158.4
dot_depth__k-5__sigma-2,True,2,3,1,1,0.696219,0.696219,0.7065,,0,6,550.6
dot_depth__k-5__sigma-2,True,2,3,2,2,0.754889,0.754889,0.6465,,0,6,1671.3
dot_depth__k-5__sigma-2,True,3,1,1,1,0.671447,0.671447,0.6525,,0,3,340.8
dot_depth__k-5__sigma-2,True,3,1,2,2,0.749674,0.749674,0.776,,0,3,819.4
dot_depth__k-5__sigma-2,True,3,2,1,1,0.839635,0.839635,0.893,,0,6,976.3
dot_depth__k-5__sigma-2,True,3,2,2,0,0.833116,0.833116,0.579,,0,6,1741.9
dot_depth__k-5__sigma-2,True,3,3,1,2,0.82399,0.82399,0.7955,,0,9,867.6
dot_depth__k-5__sigma-2,True,3,3,2,0,0.745763,0.745763,0.553,,0,9,2383.4
dot_depth__k-5__sigma-2,True,5,1,1,0,0.617992,0.617992,0.5,0.5,0,5,321.1
dot_depth__k-5__sigma-2,True,5,1,2,1,1.0,1.0,1.0,0.5,0,5,571.2
dot_depth__k-5__sigma-2,True,5,2,1,2,0.865711,0.865711,0.8035,0.5,0,7,614.3
dot_depth__k-5__sigma-2,True,5,2,2,1,1.0,1.0,1.0,0.5,0,9,1664.3
dot_depth__k-5__sigma-2,True,6,1,1,1,0.784876,0.784876,0.7955,0.5,0,6,507.8
dot_depth__k-5__sigma-2,True,6,1,2,0,0.949153,0.949153,0.8815,0.5,0,6,1460.6
dot_depth__k-5__sigma-2,True,6,2,1,1,0.685789,0.685789,0.6375,0.5,0,6,745.3
dot_depth__k-5__sigma-2,True,6,2,2,0,0.940026,0.940026,0.8645,0.5,0,9,2048.5
dot_depth__k-5__sigma-4,True,5,1,1,0,0.863079,0.863079,0.5,0.5,0,3,896.2
dot_depth__k-5__sigma-4,True,5,1,2,1,0.993074,0.993074,0.94,0.5,0,4,2288.3
dot_depth__k-5__sigma-4,True,5,2,1,0,0.873202,0.873202,0.7405,0.5,0,7,1852.3
dot_depth__k-5__sigma-4,True,5,2,2,0,0.988812,0.988812,0.8925,0.5,0,7,6074.1
dot_depth__k-5__sigma-4,True,6,1,1,2,0.942994,0.942994,0.814,0.5,0,4,1194.4
dot_depth__k-5__sigma-4,True,6,1,2,2,0.990943,0.990943,0.937,0.5,0,6,2908.6
dot_depth__k-5__sigma-4,True,6,2,1,2,0.942994,0.942994,0.814,0.5,0,8,2407.2
