instance,verdict,compile_s,explore_s,total_s,wall_s,disjuncts
dot_depth__k-100__sigma-2,NOT_PROVED,0.36,0.23,0.60,1.0,
dot_depth__k-400__sigma-2,NOT_PROVED,0.67,1.67,2.33,2.7,
dot_depth__k-800__sigma-2,NOT_PROVED,1.21,4.53,5.74,6.2,
dot_depth__k-1600__sigma-2,NOT_PROVED,2.95,18.33,21.29,21.8,
dot_depth__k-3200__sigma-2,NOT_PROVED,6.78,84.54,91.32,92.1,
y_depth__k-10,NOT_PROVED,0.25,0.43,0.69,1.2,
y_depth__k-100,TIMEOUT,,,,120.7,
y_depth__k-500,TIMEOUT,,,,120.7,
y_depth__k-2000,TIMEOUT,,,,120.5,
y_depth__k-8000,TIMEOUT,,,,120.3,
y_depth__no_two_a__k-5,NOT_PROVED,0.26,0.09,0.35,0.8,
y_depth__no_two_a__k-1000,TIMEOUT,,,,120.5,
y_depth__no_two_a__k-4000,TIMEOUT,,,,120.3,
y_depth__no_two_a__k-16000,TIMEOUT,,,,120.5,
y_depth__no_two_a__k-64000,TIMEOUT,,,,120.2,
two_var__monotone_past__sigma-8,PROVED,0.52,0.21,0.73,1.2,
two_var__since_same_letter__sigma-8,NOT_PROVED,0.54,0.35,0.89,1.5,
two_var__same_letter_before__sigma-8,NOT_PROVED,0.54,0.28,0.82,1.3,
two_var__monotone_past__sigma-32,BLOWUP,0.00,,0.00,0.7,31
two_var__since_same_letter__sigma-32,BLOWUP,0.00,,0.00,1.5,32
two_var__same_letter_before__sigma-32,BLOWUP,0.00,,0.00,0.7,32
two_var__monotone_past__sigma-64,BLOWUP,0.00,,0.00,0.8,63
two_var__since_same_letter__sigma-64,BLOWUP,0.00,,0.00,0.7,64
two_var__same_letter_before__sigma-64,BLOWUP,0.00,,0.00,1.0,64
two_var__monotone_past__sigma-128,BLOWUP,0.00,,0.00,1.6,127
two_var__since_same_letter__sigma-128,BLOWUP,0.00,,0.00,0.7,128
two_var__same_letter_before__sigma-128,BLOWUP,0.00,,0.00,0.8,128
two_var__monotone_past__sigma-256,BLOWUP,0.00,,0.00,3.2,255
two_var__since_same_letter__sigma-256,BLOWUP,0.00,,0.00,0.8,256
two_var__same_letter_before__sigma-256,BLOWUP,0.00,,0.00,0.7,256
