task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
rand_000,examples/brasp/random_v2/rand_000.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,3,61.5
rand_000,examples/brasp/random_v2/rand_000.brasp,True,4,1,2,1,1.0,1.0,1.0,0.5,0,4,158.2
rand_000,examples/brasp/random_v2/rand_000.brasp,True,4,2,1,2,0.923516,0.923516,0.866,0.5,0,7,243.9
rand_000,examples/brasp/random_v2/rand_000.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,8,126.5
rand_000,examples/brasp/random_v2/rand_000.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,5,75.9
rand_000,examples/brasp/random_v2/rand_000.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,99.0
rand_000,examples/brasp/random_v2/rand_000.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,7,103.0
rand_000,examples/brasp/random_v2/rand_000.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,8,149.6
rand_001,examples/brasp/random_v2/rand_001.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,3,65.0
rand_001,examples/brasp/random_v2/rand_001.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,85.8
rand_001,examples/brasp/random_v2/rand_001.brasp,True,4,2,1,1,1.0,1.0,1.0,0.5,0,6,158.6
rand_001,examples/brasp/random_v2/rand_001.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,7,134.4
rand_001,examples/brasp/random_v2/rand_001.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,5,70.9
rand_001,examples/brasp/random_v2/rand_001.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,92.1
rand_001,examples/brasp/random_v2/rand_001.brasp,True,5,2,1,1,1.0,1.0,1.0,0.5,0,5,194.3
rand_001,examples/brasp/random_v2/rand_001.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,7,146.0
rand_002,examples/brasp/random_v2/rand_002.brasp,True,3,1,1,0,0.988584,0.988584,0.982,0.5,0,3,151.1
rand_002,examples/brasp/random_v2/rand_002.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,69.5
rand_002,examples/brasp/random_v2/rand_002.brasp,True,3,2,1,0,0.808219,0.808219,0.5455,0.5,0,6,217.1
rand_002,examples/brasp/random_v2/rand_002.brasp,True,3,2,2,2,0.91895,0.91895,0.8465,0.5,0,6,313.2
rand_002,examples/brasp/random_v2/rand_002.brasp,True,4,1,1,1,0.988584,0.988584,0.982,0.5,0,4,178.0
rand_002,examples/brasp/random_v2/rand_002.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,82.8
rand_002,examples/brasp/random_v2/rand_002.brasp,True,4,2,1,1,0.896119,0.896119,0.687,0.5,0,7,255.0
rand_002,examples/brasp/random_v2/rand_002.brasp,True,4,2,2,1,1.0,1.0,1.0,0.5,0,8,208.8
rand_003,examples/brasp/random_v2/rand_003.brasp,True,4,1,1,0,0.995434,0.995434,1.0,0.5,0,4,194.5
rand_003,examples/brasp/random_v2/rand_003.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,85.0
rand_003,examples/brasp/random_v2/rand_003.brasp,True,4,2,1,1,1.0,1.0,1.0,0.5,0,7,161.8
rand_003,examples/brasp/random_v2/rand_003.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,6,114.4
rand_003,examples/brasp/random_v2/rand_003.brasp,True,5,1,1,1,1.0,1.0,1.0,0.5,0,5,131.0
rand_003,examples/brasp/random_v2/rand_003.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,96.4
rand_003,examples/brasp/random_v2/rand_003.brasp,True,5,2,1,1,1.0,1.0,1.0,0.5,0,6,202.0
rand_003,examples/brasp/random_v2/rand_003.brasp,True,5,2,2,0,0.995434,0.995434,1.0,0.5,0,7,404.4
rand_004,examples/brasp/random_v2/rand_004.brasp,True,2,1,1,0,0.952055,0.952055,0.9545,0.5,0,2,126.3
