task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_001,6,1,1,6,98.7,1.0,1.0,0.5,ok,false,non-empty,2.15,false,true
rand_003,5,1,2,5,121.4,1.0,1.0,0.5,ok,false,non-empty,1.39,false,true
rand_004,5,1,2,5,127.1,1.0,1.0,0.5,ok,false,non-empty,1.39,false,true
rand_005,5,1,1,5,86.2,1.0,1.0,0.5,ok,false,non-empty,1.38,false,true
rand_006,6,1,2,6,283.8,1.0,1.0,0.5,ok,false,non-empty,1.41,false,true
rand_007,5,1,2,5,258.6,1.0,1.0,0.5,ok,false,non-empty,1.42,false,true
rand_008,5,1,1,5,86.9,1.0,1.0,0.5,ok,false,non-empty,1.41,false,true
rand_010,5,1,1,5,96.5,1.0,1.0,0.5,ok,false,non-empty,1.49,false,true
rand_011,6,1,2,6,268.7,1.0,1.0,0.5,ok,false,non-empty,2.49,false,true
rand_012,5,1,1,5,170.0,1.0,1.0,0.5,ok,false,non-empty,1.46,false,true
rand_013,8,1,1,5,107.3,1.0,1.0,0.5,ok,false,non-empty,1.82,false,true
rand_014,6,1,1,6,101.1,1.0,1.0,0.5,ok,false,non-empty,1.59,false,true
rand_015,6,1,1,6,104.5,1.0,1.0,0.5,ok,false,non-empty,2.0,false,true
rand_016,5,1,1,5,86.9,1.0,1.0,0.5,ok,false,non-empty,1.87,false,true
rand_018,5,1,1,5,191.5,1.0,1.0,0.5,ok,false,non-empty,2.27,false,true
rand_019,5,1,1,5,87.5,1.0,1.0,0.5,ok,false,non-empty,2.4,false,true
rand_020,6,1,2,5,137.0,1.0,1.0,0.5,ok,false,non-empty,2.9,false,true
rand_022,5,1,1,5,87.4,1.0,1.0,0.5,ok,false,non-empty,2.46,false,true
rand_023,5,1,2,4,113.9,1.0,1.0,0.5,ok,false,non-empty,5.62,false,true
