task,stem,source,layers,heads,terms,train_seconds,train_accuracy,holdout_accuracy,test_accuracy,certified,equivalence,equivalence_seconds,emptiness,emptiness_seconds
rand_000,rand_000__l3_h1_t1,examples/brasp/random100/rand_000.brasp,3,1,1,46.3,1.0,1.0,1.0,1,PROVED,1.56,non-empty,0.72
rand_001,rand_001__l6_h1_t1,examples/brasp/random_deep/rand_001.brasp,6,1,1,74.6,1.0,1.0,1.0,1,PROVED,0.78,non-empty,0.62
rand_001,rand_001__l9_h1_t2,examples/brasp/random_deeper/rand_001.brasp,9,1,2,413.9,1.0,1.0,1.0,1,PROVED,0.87,non-empty,0.75
rand_002,rand_002__l3_h1_t1,examples/brasp/random100/rand_002.brasp,3,1,1,403.1,1.0,1.0,1.0,1,PROVED,0.83,non-empty,0.81
rand_003,rand_003__l3_h1_t1,examples/brasp/random100/rand_003.brasp,3,1,1,50.3,1.0,1.0,1.0,1,PROVED,1.19,non-empty,0.75
rand_003,rand_003__l9_h1_t2,examples/brasp/random_deeper/rand_003.brasp,9,1,2,220.7,1.0,1.0,1.0,1,PROVED,0.95,non-empty,0.84
rand_004,rand_004__l4_h1_t1,examples/brasp/random100/rand_004.brasp,4,1,1,64.4,1.0,1.0,1.0,1,PROVED,0.73,non-empty,0.71
rand_004,rand_004__l5_h1_t2,examples/brasp/random_deep/rand_004.brasp,5,1,2,66.3,1.0,1.0,1.0,1,PROVED,0.92,non-empty,0.72
rand_005,rand_005__l2_h1_t1,examples/brasp/random100/rand_005.brasp,2,1,1,43.0,1.0,1.0,1.0,1,PROVED,0.8,non-empty,0.75
rand_005,rand_005__l5_h1_t1,examples/brasp/random_deep/rand_005.brasp,5,1,1,592.9,1.0,1.0,1.0,1,PROVED,0.92,non-empty,1.04
rand_006,rand_006__l2_h1_t2,examples/brasp/random100/rand_006.brasp,2,1,2,45.5,1.0,1.0,1.0,1,PROVED,1.0,non-empty,1.85
rand_006,rand_006__l6_h1_t2,examples/brasp/random_deep/rand_006.brasp,6,1,2,108.1,1.0,1.0,1.0,1,PROVED,1.04,non-empty,0.68
rand_007,rand_007__l2_h1_t1,examples/brasp/random100/rand_007.brasp,2,1,1,43.4,1.0,1.0,1.0,1,PROVED,0.76,non-empty,0.62
rand_007,rand_007__l9_h1_t1,examples/brasp/random_deeper/rand_007.brasp,9,1,1,91.9,1.0,1.0,1.0,1,PROVED,0.82,non-empty,0.65
rand_008,rand_008__l4_h1_t1,examples/brasp/random100/rand_008.brasp,4,1,1,59.5,1.0,1.0,1.0,1,PROVED,0.65,non-empty,0.64
rand_009,rand_009__l11_h1_t1,examples/brasp/random_deeper/rand_009.brasp,11,1,1,112.2,1.0,1.0,1.0,1,PROVED,0.88,non-empty,0.64
rand_009,rand_009__l2_h1_t1,examples/brasp/random100/rand_009.brasp,2,1,1,43.5,1.0,1.0,1.0,1,PROVED,0.81,non-empty,0.59
rand_010,rand_010__l11_h1_t1,examples/brasp/random_deeper/rand_010.brasp,11,1,1,110.4,1.0,1.0,1.0,1,PROVED,0.76,non-empty,0.64
rand_011,rand_011__l9_h1_t2,examples/brasp/random_deeper/rand_011.brasp,9,1,2,460.4,1.0,1.0,1.0,1,PROVED,1.22,non-empty,0.73
rand_012,rand_012__l10_h1_t1,examples/brasp/random_deeper/rand_012.brasp,10,1,1,679.2,1.0,1.0,1.0,1,PROVED,0.96,non-empty,0.6
rand_012,rand_012__l1_h1_t1,examples/brasp/random100/rand_012.brasp,1,1,1,28.0,1.0,1.0,1.0,1,PROVED,0.62,non-empty,0.68
rand_012,rand_012__l5_h1_t1,examples/brasp/random_deep/rand_012.brasp,5,1,1,71.6,1.0,1.0,1.0,1,PROVED,0.74,non-empty,0.64
rand_013,rand_013__l3_h1_t2,examples/brasp/random100/rand_013.brasp,3,1,2,148.5,1.0,1.0,1.0,1,PROVED,0.71,non-empty,0.67
rand_013,rand_013__l9_h1_t2,examples/brasp/random_deeper/rand_013.brasp,9,1,2,204.5,1.0,1.0,1.0,1,PROVED,1.13,non-empty,0.76
rand_014,rand_014__l3_h1_t2,examples/brasp/random100/rand_014.brasp,3,1,2,201.2,1.0,1.0,1.0,1,PROVED,0.67,non-empty,0.7
rand_018,rand_018__l5_h1_t1,examples/brasp/random_deep/rand_018.brasp,5,1,1,130.4,1.0,1.0,1.0,1,PROVED,0.96,non-empty,0.67
rand_019,rand_019__l5_h1_t1,examples/brasp/random_deep/rand_019.brasp,5,1,1,132.4,1.0,1.0,1.0,1,PROVED,0.72,non-empty,0.61
rand_020,rand_020__l6_h1_t2,examples/brasp/random_deep/rand_020.brasp,6,1,2,78.5,1.0,1.0,1.0,1,PROVED,0.75,non-empty,0.69
rand_024,rand_024__l2_h1_t1,examples/brasp/random100/rand_024.brasp,2,1,1,124.4,1.0,1.0,1.0,1,PROVED,0.77,non-empty,0.66
rand_025,rand_025__l4_h1_t2,examples/brasp/random100/rand_025.brasp,4,1,2,60.1,1.0,1.0,1.0,1,PROVED,0.86,non-empty,0.84
rand_027,rand_027__l3_h1_t2,examples/brasp/random100/rand_027.brasp,3,1,2,156.6,1.0,1.0,1.0,1,PROVED,1.0,non-empty,0.69
rand_028,rand_028__l3_h1_t1,examples/brasp/random100/rand_028.brasp,3,1,1,50.0,1.0,1.0,1.0,1,PROVED,0.7,non-empty,0.75
rand_029,rand_029__l3_h1_t1,examples/brasp/random100/rand_029.brasp,3,1,1,50.1,1.0,1.0,1.0,1,PROVED,0.69,non-empty,0.63
rand_031,rand_031__l3_h1_t1,examples/brasp/random100/rand_031.brasp,3,1,1,50.8,1.0,1.0,1.0,1,PROVED,0.69,non-empty,0.64
rand_032,rand_032__l2_h1_t1,examples/brasp/random100/rand_032.brasp,2,1,1,42.9,1.0,1.0,1.0,1,PROVED,0.72,non-empty,0.64
rand_033,rand_033__l2_h1_t1,examples/brasp/random100/rand_033.brasp,2,1,1,267.9,1.0,1.0,1.0,1,PROVED,0.71,non-empty,0.64
rand_035,rand_035__l3_h1_t1,examples/brasp/random100/rand_035.brasp,3,1,1,51.3,1.0,1.0,1.0,1,PROVED,0.67,non-empty,0.65
rand_036,rand_036__l2_h1_t1,examples/brasp/random100/rand_036.brasp,2,1,1,42.2,1.0,1.0,1.0,1,PROVED,0.72,non-empty,0.71
rand_037,rand_037__l3_h1_t1,examples/brasp/random100/rand_037.brasp,3,1,1,102.0,1.0,1.0,1.0,1,PROVED,0.75,non-empty,0.79
rand_038,rand_038__l4_h2_t2,examples/brasp/random100/rand_038.brasp,4,2,2,530.1,1.0,1.0,1.0,1,PROVED,1.3,non-empty,1.1
rand_039,rand_039__l3_h1_t1,examples/brasp/random100/rand_039.brasp,3,1,1,468.7,1.0,1.0,1.0,1,PROVED,1.07,non-empty,1.14
rand_040,rand_040__l3_h1_t1,examples/brasp/random100/rand_040.brasp,3,1,1,50.1,1.0,1.0,1.0,1,PROVED,1.5,non-empty,1.79
rand_041,rand_041__l1_h2_t1,examples/brasp/random100/rand_041.brasp,1,2,1,41.2,1.0,1.0,1.0,1,PROVED,1.38,non-empty,1.3
rand_043,rand_043__l3_h1_t1,examples/brasp/random100/rand_043.brasp,3,1,1,49.9,1.0,1.0,1.0,1,PROVED,1.77,non-empty,1.92
