dot	100	dot_depth__k-100__sigma-2.ltl
dot	400	dot_depth__k-400__sigma-2.ltl
dot	800	dot_depth__k-800__sigma-2.ltl
dot	3200	dot_depth__k-3200__sigma-2.ltl
Y	10	y_depth__k-10.ltl
Y	12	y_depth__k-12.ltl
Y	14	y_depth__k-14.ltl
Y	16	y_depth__k-16.ltl
Y	20	y_depth__k-20.ltl
Y	100	y_depth__k-100.ltl
Y	500	y_depth__k-500.ltl
Y	8000	y_depth__k-8000.ltl
no2a	5	y_depth__no_two_a__k-5.ltl
no2a	8	y_depth__no_two_a__k-8.ltl
no2a	12	y_depth__no_two_a__k-12.ltl
no2a	16	y_depth__no_two_a__k-16.ltl
no2a	24	y_depth__no_two_a__k-24.ltl
no2a	1000	y_depth__no_two_a__k-1000.ltl
no2a	4000	y_depth__no_two_a__k-4000.ltl
no2a	64000	y_depth__no_two_a__k-64000.ltl
mono	8	two_var__monotone_past__sigma-8.ltl
mono	9	two_var__monotone_past__sigma-9.ltl
mono	10	two_var__monotone_past__sigma-10.ltl
mono	11	two_var__monotone_past__sigma-11.ltl
mono	12	two_var__monotone_past__sigma-12.ltl
mono	16	two_var__monotone_past__sigma-16.ltl
mono	32	two_var__monotone_past__sigma-32.ltl
mono	128	two_var__monotone_past__sigma-128.ltl
mono	256	two_var__monotone_past__sigma-256.ltl
since	2	two_var__since_same_letter__sigma-2.ltl
since	4	two_var__since_same_letter__sigma-4.ltl
since	6	two_var__since_same_letter__sigma-6.ltl
since	8	two_var__since_same_letter__sigma-8.ltl
since	12	two_var__since_same_letter__sigma-12.ltl
since	16	two_var__since_same_letter__sigma-16.ltl
since	32	two_var__since_same_letter__sigma-32.ltl
since	128	two_var__since_same_letter__sigma-128.ltl
since	256	two_var__since_same_letter__sigma-256.ltl
slb	2	two_var__same_letter_before__sigma-2.ltl
slb	4	two_var__same_letter_before__sigma-4.ltl
slb	6	two_var__same_letter_before__sigma-6.ltl
slb	8	two_var__same_letter_before__sigma-8.ltl
slb	12	two_var__same_letter_before__sigma-12.ltl
slb	16	two_var__same_letter_before__sigma-16.ltl
slb	32	two_var__same_letter_before__sigma-32.ltl
slb	128	two_var__same_letter_before__sigma-128.ltl
slb	256	two_var__same_letter_before__sigma-256.ltl
marks	600	marks__k-600.brasp
marks	1200	marks__k-1200.brasp
marks	2400	marks__k-2400.brasp
same	300	same__k-300.brasp
same	600	same__k-600.brasp
same	1200	same__k-1200.brasp
