task,layers,heads,terms,attention_ops,verdict,equivalence_seconds
rand_001,6,1,1,6,PROVED,0.68
rand_003,5,1,2,5,PROVED,0.69
rand_004,5,1,2,5,PROVED,0.72
rand_005,5,1,1,5,PROVED,0.73
rand_006,6,1,2,6,PROVED,0.72
rand_007,5,1,2,5,PROVED,0.91
rand_008,5,1,1,5,PROVED,0.76
rand_010,5,1,1,5,PROVED,0.66
rand_011,6,1,2,6,PROVED,0.88
rand_012,5,1,1,5,PROVED,0.7
rand_013,8,1,1,5,PROVED,0.76
rand_014,6,1,1,6,PROVED,0.67
rand_015,6,1,1,6,PROVED,0.75
rand_016,5,1,1,5,PROVED,0.67
rand_018,5,1,1,5,PROVED,0.96
rand_019,5,1,1,5,PROVED,0.73
rand_020,6,1,2,5,PROVED,0.75
rand_022,5,1,1,5,PROVED,0.7
rand_023,5,1,2,4,PROVED,0.66
