instance,verdict,compile_s,encode_s,abc_s,total_s,wall_s
dot_depth__k-100__sigma-2,NOT_PROVED,0.39,0.82,0.30,1.51,2.0
dot_depth__k-400__sigma-2,NOT_PROVED,0.77,2.47,0.92,4.17,4.7
dot_depth__k-800__sigma-2,NOT_PROVED,0.87,3.35,0.68,4.90,5.4
dot_depth__k-1600__sigma-2,NOT_PROVED,1.60,6.19,3.23,11.02,11.6
dot_depth__k-3200__sigma-2,NOT_PROVED,2.13,8.65,4.35,15.12,15.6
y_depth__k-10,NOT_PROVED,0.28,0.20,0.19,0.67,1.0
y_depth__k-100,NOT_PROVED,0.25,0.39,0.21,0.85,1.2
y_depth__k-500,NOT_PROVED,0.35,0.71,0.28,1.34,1.7
y_depth__k-2000,NOT_PROVED,0.47,1.30,0.61,2.37,2.8
y_depth__k-8000,NOT_PROVED,0.85,4.41,7.73,13.00,13.5
y_depth__no_two_a__k-5,NOT_PROVED,0.37,0.24,0.22,0.83,1.3
y_depth__no_two_a__k-1000,NOT_PROVED,0.57,1.15,0.27,1.99,2.5
y_depth__no_two_a__k-4000,NOT_PROVED,0.82,2.82,0.31,3.94,4.5
y_depth__no_two_a__k-16000,NOT_PROVED,1.21,9.59,0.87,11.67,12.1
y_depth__no_two_a__k-64000,NOT_PROVED,3.63,52.76,4.24,60.64,61.4
two_var__monotone_past__sigma-8,PROVED,0.31,0.14,0.19,0.64,1.0
two_var__since_same_letter__sigma-8,NOT_PROVED,0.24,0.19,0.19,0.62,1.0
two_var__same_letter_before__sigma-8,NOT_PROVED,0.25,0.15,0.20,0.59,0.9
two_var__monotone_past__sigma-32,PROVED,0.31,0.33,0.40,1.05,1.4
two_var__since_same_letter__sigma-32,NOT_PROVED,0.34,0.23,0.25,0.83,1.3
two_var__same_letter_before__sigma-32,NOT_PROVED,0.29,0.25,0.25,0.79,1.2
two_var__monotone_past__sigma-64,PROVED,0.44,0.82,1.30,2.57,2.9
two_var__since_same_letter__sigma-64,NOT_PROVED,0.35,0.46,0.45,1.26,1.7
two_var__same_letter_before__sigma-64,NOT_PROVED,0.39,0.42,0.42,1.22,1.7
two_var__monotone_past__sigma-128,PROVED,0.85,2.73,13.57,17.15,17.6
two_var__since_same_letter__sigma-128,NOT_PROVED,0.48,0.63,0.77,1.88,2.3
two_var__same_letter_before__sigma-128,NOT_PROVED,0.47,0.85,0.83,2.15,2.6
two_var__monotone_past__sigma-256,TIMEOUT,,,,,120.1
two_var__since_same_letter__sigma-256,NOT_PROVED,0.76,2.49,4.16,7.41,8.0
two_var__same_letter_before__sigma-256,NOT_PROVED,0.77,2.51,3.65,6.93,7.7
