name,path,expected_empty,dfa_states,alphabet,depth,attention_ops,short_rate,long_rate
rand_000,examples/brasp/random_deeper/rand_000.brasp,False,23,3,11,17,0.4583,0.2
rand_001,examples/brasp/random_deeper/rand_001.brasp,False,8,2,9,19,0.3333,0.7583
rand_002,examples/brasp/random_deeper/rand_002.brasp,False,7,3,11,18,0.55,0.5083
rand_003,examples/brasp/random_deeper/rand_003.brasp,False,5,2,9,18,0.0583,0.0917
rand_004,examples/brasp/random_deeper/rand_004.brasp,False,4,2,9,11,0.575,0.5667
rand_005,examples/brasp/random_deeper/rand_005.brasp,False,12,2,12,16,0.4583,0.3667
rand_006,examples/brasp/random_deeper/rand_006.brasp,False,12,2,9,19,0.1667,0.1167
rand_007,examples/brasp/random_deeper/rand_007.brasp,False,5,2,9,17,0.175,0.2667
rand_008,examples/brasp/random_deeper/rand_008.brasp,False,4,2,9,15,0.1917,0.2083
rand_009,examples/brasp/random_deeper/rand_009.brasp,False,4,3,11,16,0.2167,0.2167
rand_010,examples/brasp/random_deeper/rand_010.brasp,False,6,2,11,18,0.25,0.2167
rand_011,examples/brasp/random_deeper/rand_011.brasp,False,5,3,9,16,0.0667,0.2667
rand_012,examples/brasp/random_deeper/rand_012.brasp,False,4,3,10,18,0.3833,0.6167
rand_013,examples/brasp/random_deeper/rand_013.brasp,False,11,3,9,19,0.0333,0.175
rand_014,examples/brasp/random_deeper/rand_014.brasp,False,17,3,9,17,0.475,0.5667
rand_015,examples/brasp/random_deeper/rand_015.brasp,False,4,3,9,15,0.7167,0.6667
rand_016,examples/brasp/random_deeper/rand_016.brasp,True,,2,1,2,0.0,0.0
rand_017,examples/brasp/random_deeper/rand_017.brasp,True,,2,2,2,0.0,0.0
rand_018,examples/brasp/random_deeper/rand_018.brasp,True,,2,2,4,0.0,0.0
