task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_000,3,1,1,3,3,8,8,examples/brasp/random100/rand_000.brasp
rand_001,3,1,2,3,3,3,8,examples/brasp/random100/rand_001.brasp
rand_002,3,1,1,3,3,8,8,examples/brasp/random100/rand_002.brasp
rand_003,3,1,1,3,3,7,8,examples/brasp/random100/rand_003.brasp
rand_004,4,1,1,4,4,8,8,examples/brasp/random100/rand_004.brasp
rand_005,2,1,1,2,2,8,8,examples/brasp/random100/rand_005.brasp
rand_006,2,1,2,2,2,7,8,examples/brasp/random100/rand_006.brasp
rand_007,2,1,1,2,2,8,8,examples/brasp/random100/rand_007.brasp
rand_008,4,1,1,3,4,8,8,examples/brasp/random100/rand_008.brasp
rand_009,2,1,1,2,2,8,8,examples/brasp/random100/rand_009.brasp
rand_011,4,1,1,2,4,8,8,examples/brasp/random100/rand_011.brasp
rand_012,1,1,1,1,1,8,8,examples/brasp/random100/rand_012.brasp
rand_013,3,1,2,2,3,3,8,examples/brasp/random100/rand_013.brasp
rand_014,3,1,2,3,3,5,8,examples/brasp/random100/rand_014.brasp
rand_015,3,1,2,3,3,2,8,examples/brasp/random100/rand_015.brasp
rand_016,3,1,1,3,3,6,8,examples/brasp/random100/rand_016.brasp
rand_018,2,1,1,2,2,8,8,examples/brasp/random100/rand_018.brasp
rand_019,3,2,1,6,3,3,8,examples/brasp/random100/rand_019.brasp
rand_020,3,1,1,3,3,5,8,examples/brasp/random100/rand_020.brasp
rand_021,4,1,2,4,4,7,8,examples/brasp/random100/rand_021.brasp
rand_023,4,2,2,8,4,4,8,examples/brasp/random100/rand_023.brasp
rand_024,2,1,1,2,2,8,8,examples/brasp/random100/rand_024.brasp
rand_025,4,1,2,4,4,6,8,examples/brasp/random100/rand_025.brasp
rand_027,3,1,2,3,3,5,8,examples/brasp/random100/rand_027.brasp
rand_028,3,1,1,3,3,8,8,examples/brasp/random100/rand_028.brasp
rand_029,3,1,1,3,3,8,8,examples/brasp/random100/rand_029.brasp
rand_030,4,1,1,4,4,4,8,examples/brasp/random100/rand_030.brasp
