lang,depth,layers,heads,terms,kind,verdict
rand_000,3,3,1,1,vs_spec,PROVED
rand_000,6,6,1,1,vs_spec,PROVED
rand_000,9,9,1,1,vs_spec,PROVED
rand_012,3,3,1,1,vs_spec,PROVED
rand_012,6,6,1,1,vs_spec,PROVED
rand_012,9,9,1,1,vs_spec,PROVED
rand_016,3,3,1,1,vs_spec,PROVED
rand_016,6,6,1,1,vs_spec,PROVED
rand_016,9,9,1,1,vs_spec,PROVED
rand_018,3,3,1,1,vs_spec,PROVED
rand_018,6,6,1,1,vs_spec,PROVED
rand_018,9,9,1,1,vs_spec,PROVED
rand_032,3,3,1,1,vs_spec,PROVED
rand_032,6,6,1,1,vs_spec,PROVED
rand_032,9,9,1,1,vs_spec,PROVED
rand_041,3,3,1,1,vs_spec,PROVED
rand_041,6,6,1,1,vs_spec,PROVED
rand_041,9,9,1,1,vs_spec,PROVED
rand_044,3,3,1,1,vs_spec,PROVED
rand_044,6,6,1,1,vs_spec,PROVED
rand_044,9,9,1,1,vs_spec,PROVED
rand_053,3,3,1,1,vs_spec,PROVED
rand_053,6,6,1,1,vs_spec,PROVED
rand_053,9,9,1,1,vs_spec,PROVED
rand_066,3,3,1,1,vs_spec,PROVED
rand_066,6,6,1,1,vs_spec,PROVED
rand_066,9,9,1,1,vs_spec,PROVED
rand_073,3,3,1,1,vs_spec,PROVED
rand_073,6,6,1,1,vs_spec,PROVED
rand_073,9,9,1,1,vs_spec,PROVED
rand_089,3,3,1,1,vs_spec,PROVED
rand_089,6,6,1,1,vs_spec,PROVED
rand_089,9,9,1,1,vs_spec,PROVED
rand_094,3,3,1,1,vs_spec,PROVED
rand_094,6,6,1,1,vs_spec,PROVED
rand_094,9,9,1,1,vs_spec,PROVED
rand_000,3v9,,,,cross_depth,PROVED
rand_012,3v9,,,,cross_depth,PROVED
rand_016,3v9,,,,cross_depth,PROVED
rand_018,3v9,,,,cross_depth,PROVED
rand_032,3v9,,,,cross_depth,PROVED
rand_041,3v9,,,,cross_depth,PROVED
rand_044,3v9,,,,cross_depth,PROVED
rand_053,3v9,,,,cross_depth,PROVED
rand_066,3v9,,,,cross_depth,PROVED
rand_073,3v9,,,,cross_depth,PROVED
rand_089,3v9,,,,cross_depth,PROVED
rand_094,3v9,,,,cross_depth,PROVED
