cell,dfa,dfa_median,abc,abc_median,dfa_runs,abc_runs
L_dot(100),NOT_PROVED,1.1,NOT_PROVED,1.0,1 1 1,1 1 1
L_dot(800),NOT_PROVED,13.7,NOT_PROVED,2.9,15 13 14,3 3 3
L_dot(3200),TIMEOUT,125,NOT_PROVED,9.4,125 125 125,11 9 9
L_Y(10),NOT_PROVED,0.7,NOT_PROVED,0.6,1 1 1,1 1 1
L_Y(100),TIMEOUT,125,NOT_PROVED,1.1,125 125 125,2 1 1
L_Y(8000),TIMEOUT,125,NOT_PROVED,6.8,125 125 125,7 7 7
L_no2a(5),NOT_PROVED,0.5,NOT_PROVED,1.0,1 1 1,1 1 1
L_no2a(1000),TIMEOUT,125,NOT_PROVED,1.5,125 125 125,2 1 1
L_no2a(64000),TIMEOUT,125,NOT_PROVED,36.0,125 125 125,36 36 36
L_mono(8),PROVED,1.0,PROVED,0.6,1 1 1,1 1 1
L_mono(128),BLOWUP,0.6,PROVED,9.2,1 1 1,9 9 9
L_mono(256),BLOWUP,1.5,PROVED,86.7,1 1 2,87 87 87
L_since(8),NOT_PROVED,21.4,NOT_PROVED,0.6,21 22 21,1 1 1
L_since(128),BLOWUP,0.4,NOT_PROVED,1.3,0 0 0,1 1 1
L_since(256),BLOWUP,0.4,NOT_PROVED,2.8,0 0 0,3 3 3
L_slb(8),NOT_PROVED,17.8,NOT_PROVED,0.6,18 17 18,1 1 1
L_slb(128),BLOWUP,0.4,NOT_PROVED,1.3,0 0 0,1 1 1
L_slb(256),BLOWUP,0.4,NOT_PROVED,2.7,0 0 0,3 3 3
