k,sigma,lines,wall_time_s,verdict,notes
1,2,29,1,NOT_PROVED,
2,2,34,1,NOT_PROVED,
3,2,39,1,NOT_PROVED,
4,2,44,1,NOT_PROVED,
5,2,49,1,NOT_PROVED,
6,2,54,1,NOT_PROVED,
7,2,59,1,NOT_PROVED,
8,2,64,1,NOT_PROVED,
9,2,69,1,NOT_PROVED,
10,2,74,1,NOT_PROVED,
16,2,104,1,NOT_PROVED,
24,2,144,1,NOT_PROVED,
50,2,111,1.2,NOT_PROVED,
100,2,211,1.4,NOT_PROVED,
200,2,411,2.4,NOT_PROVED,
400,2,811,7.0,NOT_PROVED,
800,2,1611,30.4,NOT_PROVED,
1600,2,4806,>180,TIMEOUT,translation alone takes ~2.7s; remaining time is rIC3's own IC3/PDR solving
