route,instance,median_s,min_s,max_s,verdict
dfa,dot_depth k=100,0.9,0.9,1.0,NOT_PROVED
dfa,dot_depth k=400,3.7,3.5,3.8,NOT_PROVED
dfa,dot_depth k=800,14.1,13.2,14.9,NOT_PROVED
dfa,dot_depth k=1600,20.2,20.2,20.2,TIMEOUT
dfa,y_depth k=16,6.0,6.0,6.1,NOT_PROVED
dfa,y_depth k=100,20.4,20.3,20.4,TIMEOUT
dfa,y_depth k=500,20.2,20.2,20.2,TIMEOUT
dfa,y_depth k=2000,20.2,20.2,20.3,TIMEOUT
dfa,y_depth k=8000,20.2,20.2,20.3,TIMEOUT
dfa,no2a k=8,1.0,0.7,1.1,NOT_PROVED
dfa,no2a k=1000,20.2,20.2,20.2,TIMEOUT
dfa,no2a k=4000,20.2,20.2,20.2,TIMEOUT
dfa,mono sigma=64,3.7,3.6,3.8,NOT_PROVED
dfa,mono sigma=128,20.1,20.1,20.3,TIMEOUT
dfa,mono sigma=256,20.2,20.2,20.2,TIMEOUT
dfa,since sigma=8,1.0,1.0,1.1,NOT_PROVED
dfa,since sigma=32,20.3,20.2,20.3,TIMEOUT
dfa,since sigma=128,20.2,20.2,20.3,TIMEOUT
dfa,slb sigma=8,1.0,0.9,1.0,NOT_PROVED
dfa,slb sigma=64,20.2,20.2,20.3,TIMEOUT
dfa,slb sigma=256,20.2,20.2,20.4,TIMEOUT
dfa,empty dot_depth k=9,0.9,0.6,1.0,PROVED
dfa,empty dot_depth k=16,0.7,0.6,0.9,PROVED
dfa,empty dot_depth k=20,0.7,0.7,0.8,PROVED
dfa,empty dot_depth k=24,0.7,0.7,0.8,PROVED
dfa,empty y_depth k=32,20.3,20.3,20.4,TIMEOUT
1var+dfa,dot_depth k=100,0.8,0.8,0.9,NOT_PROVED
1var+dfa,dot_depth k=400,1.6,1.6,1.8,NOT_PROVED
1var+dfa,dot_depth k=800,5.7,3.6,5.8,NOT_PROVED
1var+dfa,dot_depth k=1600,19.4,13.7,20.1,MIXED:NOT_PROVED/TIMEOUT
1var+dfa,y_depth k=16,7.3,6.6,7.6,NOT_PROVED
1var+dfa,y_depth k=100,20.4,20.3,21.0,TIMEOUT
1var+dfa,y_depth k=500,20.2,20.2,20.2,TIMEOUT
1var+dfa,y_depth k=2000,20.2,20.2,20.2,TIMEOUT
1var+dfa,y_depth k=8000,20.1,20.1,20.3,TIMEOUT
1var+dfa,no2a k=8,0.7,0.7,0.7,NOT_PROVED
1var+dfa,no2a k=1000,20.3,20.3,20.3,TIMEOUT
1var+dfa,no2a k=4000,20.2,20.2,20.3,TIMEOUT
1var+dfa,mono sigma=64,0.4,0.4,0.4,BLOWUP
1var+dfa,mono sigma=128,0.8,0.7,2.5,BLOWUP
1var+dfa,mono sigma=256,2.9,2.6,8.4,BLOWUP
1var+dfa,since sigma=8,1.2,1.1,1.3,NOT_PROVED
1var+dfa,since sigma=32,0.4,0.4,0.4,BLOWUP
1var+dfa,since sigma=128,0.4,0.4,0.4,BLOWUP
1var+dfa,slb sigma=8,0.8,0.8,0.9,NOT_PROVED
1var+dfa,slb sigma=64,0.4,0.4,0.4,BLOWUP
1var+dfa,slb sigma=256,0.4,0.4,0.4,BLOWUP
1var+dfa,empty dot_depth k=9,0.7,0.6,0.7,PROVED
1var+dfa,empty dot_depth k=16,20.1,20.1,20.1,TIMEOUT
1var+dfa,empty dot_depth k=20,20.1,20.1,20.1,TIMEOUT
1var+dfa,empty dot_depth k=24,20.1,20.1,20.1,TIMEOUT
1var+dfa,empty y_depth k=32,20.1,20.1,20.1,TIMEOUT
sym,dot_depth k=100,1.1,1.1,1.3,NOT_PROVED
sym,dot_depth k=400,1.7,1.7,1.7,NOT_PROVED
sym,dot_depth k=800,2.4,2.4,2.5,NOT_PROVED
sym,dot_depth k=1600,4.6,4.5,4.8,NOT_PROVED
sym,y_depth k=16,0.7,0.7,0.8,NOT_PROVED
sym,y_depth k=100,0.8,0.8,0.8,NOT_PROVED
sym,y_depth k=500,1.1,1.1,1.2,NOT_PROVED
sym,y_depth k=2000,1.7,1.7,1.7,NOT_PROVED
