name,path,expected_empty,dfa_states,alphabet,depth,attention_ops,short_rate,long_rate
rand_000,examples/brasp/random_v2/rand_000.brasp,False,7,3,4,4,0.9333,0.7167
rand_001,examples/brasp/random_v2/rand_001.brasp,False,5,3,4,4,0.5083,0.4417
rand_002,examples/brasp/random_v2/rand_002.brasp,False,6,3,3,4,0.175,0.3167
rand_003,examples/brasp/random_v2/rand_003.brasp,False,4,3,4,4,0.1167,0.0833
rand_004,examples/brasp/random_v2/rand_004.brasp,False,6,3,2,5,0.1167,0.15
rand_005,examples/brasp/random_v2/rand_005.brasp,False,5,3,4,5,0.075,0.3
rand_006,examples/brasp/random_v2/rand_006.brasp,False,5,3,3,3,0.0333,0.1
rand_007,examples/brasp/random_v2/rand_007.brasp,False,5,3,3,3,0.0667,0.1833
rand_008,examples/brasp/random_v2/rand_008.brasp,False,5,3,3,5,0.1583,0.2417
rand_009,examples/brasp/random_v2/rand_009.brasp,False,6,2,3,5,0.575,0.5167
rand_010,examples/brasp/random_v2/rand_010.brasp,False,9,2,3,4,0.9417,0.8167
rand_011,examples/brasp/random_v2/rand_011.brasp,False,4,2,3,3,0.2167,0.2833
rand_012,examples/brasp/random_v2/rand_012.brasp,False,5,2,3,3,0.6583,0.7583
rand_013,examples/brasp/random_v2/rand_013.brasp,False,5,2,3,5,0.35,0.6
rand_014,examples/brasp/random_v2/rand_014.brasp,False,4,2,4,4,0.625,0.7417
rand_015,examples/brasp/random_v2/rand_015.brasp,False,9,3,3,5,0.6833,0.6583
rand_016,examples/brasp/random_v2/rand_016.brasp,False,4,3,2,3,0.25,0.3417
rand_017,examples/brasp/random_v2/rand_017.brasp,False,6,2,4,4,0.3333,0.2333
rand_018,examples/brasp/random_v2/rand_018.brasp,False,5,3,2,3,0.2583,0.225
rand_019,examples/brasp/random_v2/rand_019.brasp,False,6,3,3,5,0.2167,0.2333
rand_020,examples/brasp/random_v2/rand_020.brasp,False,4,3,2,4,0.675,0.65
rand_021,examples/brasp/random_v2/rand_021.brasp,False,7,3,3,4,0.1,0.1917
rand_022,examples/brasp/random_v2/rand_022.brasp,False,4,3,3,4,0.5,0.4333
rand_023,examples/brasp/random_v2/rand_023.brasp,False,5,2,3,4,0.325,0.4667
rand_024,examples/brasp/random_v2/rand_024.brasp,False,5,3,2,3,0.1667,0.1583
rand_025,examples/brasp/random_v2/rand_025.brasp,False,4,2,2,4,0.1667,0.15
rand_026,examples/brasp/random_v2/rand_026.brasp,False,4,2,3,3,0.35,0.3333
rand_027,examples/brasp/random_v2/rand_027.brasp,False,5,3,2,4,0.1083,0.1083
rand_028,examples/brasp/random_v2/rand_028.brasp,False,4,2,1,3,0.275,0.2
rand_029,examples/brasp/random_v2/rand_029.brasp,False,7,3,1,4,0.55,0.7417
rand_030,examples/brasp/random_v2/rand_030.brasp,False,4,3,2,3,0.2,0.2
rand_031,examples/brasp/random_v2/rand_031.brasp,False,7,3,2,5,0.1417,0.0917
rand_032,examples/brasp/random_v2/rand_032.brasp,True,,3,3,3,0.0,0.0
rand_033,examples/brasp/random_v2/rand_033.brasp,True,,2,3,4,0.0,0.0
rand_034,examples/brasp/random_v2/rand_034.brasp,True,,3,3,4,0.0,0.0
rand_035,examples/brasp/random_v2/rand_035.brasp,True,,3,4,4,0.0,0.0
rand_036,examples/brasp/random_v2/rand_036.brasp,True,,2,3,4,0.0,0.0
rand_037,examples/brasp/random_v2/rand_037.brasp,True,,2,3,4,0.0,0.0
rand_038,examples/brasp/random_v2/rand_038.brasp,True,,2,1,3,0.0,0.0
rand_039,examples/brasp/random_v2/rand_039.brasp,True,,3,2,3,0.0,0.0
