task,source,upto,layers,heads,terms,train_words,model_hard_accuracy,train_accuracy,test_accuracy,disagreements,seconds
rand_000,examples/brasp/random100/rand_000.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.3
rand_001,examples/brasp/random100/rand_001.brasp,5,3,1,2,575,1.0,1.0,1.0,0,171.7
rand_001,examples/brasp/random_deep/rand_001.brasp,5,6,1,1,575,1.0,1.0,1.0,0,69.9
rand_001,examples/brasp/random_deeper/rand_001.brasp,5,9,1,2,575,1.0,1.0,1.0,0,229.0
rand_002,examples/brasp/random_deeper/rand_002.brasp,5,11,1,1,876,1.0,1.0,1.0,0,339.0
rand_002,examples/brasp/random100/rand_002.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.5
rand_003,examples/brasp/random100/rand_003.brasp,5,3,1,1,575,1.0,1.0,1.0,0,51.3
rand_003,examples/brasp/random_deep/rand_003.brasp,5,5,1,2,575,1.0,1.0,1.0,0,84.2
rand_003,examples/brasp/random_deeper/rand_003.brasp,5,9,1,2,575,1.0,1.0,1.0,0,233.3
rand_004,examples/brasp/random100/rand_004.brasp,5,4,1,1,575,1.0,1.0,1.0,0,61.9
rand_004,examples/brasp/random_deep/rand_004.brasp,5,5,1,2,876,1.0,1.0,1.0,0,97.2
rand_004,examples/brasp/random_deeper/rand_004.brasp,5,9,1,1,575,1.0,1.0,1.0,0,89.4
rand_005,examples/brasp/random100/rand_005.brasp,5,2,1,1,876,1.0,1.0,1.0,0,43.8
rand_005,examples/brasp/random_deep/rand_005.brasp,5,5,1,1,876,1.0,1.0,1.0,0,66.6
rand_006,examples/brasp/random100/rand_006.brasp,5,2,1,2,575,1.0,1.0,1.0,0,45.8
rand_006,examples/brasp/random_deep/rand_006.brasp,5,6,1,2,575,1.0,1.0,1.0,0,185.3
rand_006,examples/brasp/random_deeper/rand_006.brasp,5,9,1,2,575,1.0,1.0,1.0,0,902.1
rand_007,examples/brasp/random100/rand_007.brasp,5,2,1,1,876,1.0,1.0,1.0,0,44.3
rand_007,examples/brasp/random_deep/rand_007.brasp,5,5,1,2,876,1.0,1.0,1.0,0,182.8
rand_007,examples/brasp/random_deeper/rand_007.brasp,5,9,1,1,575,1.0,1.0,1.0,0,87.8
rand_008,examples/brasp/random100/rand_008.brasp,5,4,1,1,575,1.0,1.0,1.0,0,58.2
rand_008,examples/brasp/random_deep/rand_008.brasp,5,5,1,1,876,1.0,1.0,1.0,0,68.4
rand_008,examples/brasp/random_deeper/rand_008.brasp,5,9,1,1,575,1.0,1.0,1.0,0,274.7
rand_009,examples/brasp/random_deeper/rand_009.brasp,5,11,1,1,876,1.0,1.0,1.0,0,111.9
rand_009,examples/brasp/random100/rand_009.brasp,5,2,1,1,876,1.0,1.0,1.0,0,46.0
rand_010,examples/brasp/random_deeper/rand_010.brasp,5,11,1,1,575,1.0,1.0,1.0,0,225.5
rand_010,examples/brasp/random_deep/rand_010.brasp,5,5,1,1,575,1.0,1.0,1.0,0,66.7
rand_011,examples/brasp/random100/rand_011.brasp,5,4,1,1,876,1.0,1.0,1.0,0,60.7
rand_011,examples/brasp/random_deep/rand_011.brasp,5,6,1,2,876,1.0,1.0,1.0,0,205.2
rand_011,examples/brasp/random_deeper/rand_011.brasp,5,9,1,2,876,1.0,1.0,1.0,0,123.8
rand_012,examples/brasp/random_deeper/rand_012.brasp,5,10,1,1,876,1.0,1.0,1.0,0,315.0
