task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_000,1,1,1,1,1,8,8,examples/brasp/random/rand_000.brasp
rand_001,2,1,1,2,2,8,8,examples/brasp/random/rand_001.brasp
rand_002,2,1,1,1,2,8,8,examples/brasp/random/rand_002.brasp
rand_003,2,1,1,2,2,8,8,examples/brasp/random/rand_003.brasp
rand_004,1,1,1,0,1,8,8,examples/brasp/random/rand_004.brasp
rand_005,3,1,1,3,3,8,8,examples/brasp/random/rand_005.brasp
rand_006,2,1,1,2,2,8,8,examples/brasp/random/rand_006.brasp
rand_007,2,1,1,2,2,8,8,examples/brasp/random/rand_007.brasp
rand_008,2,1,1,2,2,8,8,examples/brasp/random/rand_008.brasp
rand_009,1,1,1,0,1,8,8,examples/brasp/random/rand_009.brasp
rand_010,2,1,1,2,2,8,8,examples/brasp/random/rand_010.brasp
rand_011,3,1,1,3,3,8,8,examples/brasp/random/rand_011.brasp
rand_012,2,1,1,1,2,8,8,examples/brasp/random/rand_012.brasp
rand_013,2,1,1,1,2,8,8,examples/brasp/random/rand_013.brasp
rand_014,1,1,1,0,1,8,8,examples/brasp/random/rand_014.brasp
rand_015,2,1,1,2,2,8,8,examples/brasp/random/rand_015.brasp
rand_016,2,1,1,2,2,7,8,examples/brasp/random/rand_016.brasp
rand_017,2,1,1,2,2,8,8,examples/brasp/random/rand_017.brasp
rand_018,1,1,1,1,1,8,8,examples/brasp/random/rand_018.brasp
rand_019,2,1,1,1,2,8,8,examples/brasp/random/rand_019.brasp
rand_020,3,1,1,2,3,8,8,examples/brasp/random/rand_020.brasp
rand_021,2,1,1,2,2,8,8,examples/brasp/random/rand_021.brasp
rand_022,1,1,1,1,1,8,8,examples/brasp/random/rand_022.brasp
rand_023,3,1,1,2,3,8,8,examples/brasp/random/rand_023.brasp
rand_024,2,1,1,2,2,8,8,examples/brasp/random/rand_024.brasp
rand_025,4,1,1,4,4,8,8,examples/brasp/random/rand_025.brasp
rand_026,2,1,1,2,2,8,8,examples/brasp/random/rand_026.brasp
rand_027,2,1,1,2,2,7,8,examples/brasp/random/rand_027.brasp
rand_028,2,1,2,2,2,7,7,examples/brasp/random/rand_028.brasp
rand_029,3,1,1,3,3,7,8,examples/brasp/random/rand_029.brasp
rand_030,2,1,1,1,2,7,7,examples/brasp/random/rand_030.brasp
rand_031,1,1,1,0,1,8,8,examples/brasp/random/rand_031.brasp
rand_032,3,1,2,3,3,5,8,examples/brasp/random/rand_032.brasp
rand_033,2,1,1,2,2,7,7,examples/brasp/random/rand_033.brasp
rand_034,1,2,1,1,1,5,7,examples/brasp/random/rand_034.brasp
rand_035,2,1,1,2,2,8,8,examples/brasp/random/rand_035.brasp
rand_036,4,1,1,2,4,7,7,examples/brasp/random/rand_036.brasp
rand_037,2,1,1,2,2,8,8,examples/brasp/random/rand_037.brasp
rand_038,5,1,1,5,4,2,8,examples/brasp/random/rand_038.brasp
rand_039,1,1,1,1,1,7,7,examples/brasp/random/rand_039.brasp
rand_040,2,1,1,2,2,0,0,examples/brasp/random/rand_040.brasp
rand_041,2,1,1,2,2,0,0,examples/brasp/random/rand_041.brasp
rand_042,1,1,1,2,1,0,0,examples/brasp/random/rand_042.brasp
rand_043,3,1,1,4,3,0,0,examples/brasp/random/rand_043.brasp
rand_044,2,1,1,2,2,0,0,examples/brasp/random/rand_044.brasp
rand_045,1,1,1,2,1,0,0,examples/brasp/random/rand_045.brasp
rand_046,3,1,1,4,3,0,0,examples/brasp/random/rand_046.brasp
rand_047,3,1,1,3,3,0,0,examples/brasp/random/rand_047.brasp
