task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,5,1,1,9,849.8,0.98516,0.9915,0.5,unsolved,false,non-empty,3.8,false,
rand_001,6,1,1,6,98.7,1.0,1.0,0.5,ok,false,non-empty,2.32,false,true
rand_002,5,1,1,10,856.7,0.91895,0.9585,0.5,unsolved,false,non-empty,3.91,false,
rand_003,5,1,2,5,121.4,1.0,1.0,0.5,ok,false,non-empty,2.54,false,true
rand_004,5,1,2,5,127.1,1.0,1.0,0.5,ok,false,non-empty,3.03,false,true
rand_005,5,1,1,5,86.2,1.0,1.0,0.5,ok,false,non-empty,2.37,false,true
rand_006,6,1,2,6,283.8,1.0,1.0,0.5,ok,false,non-empty,3.44,false,true
rand_007,5,1,2,5,258.6,1.0,1.0,0.5,ok,false,non-empty,2.67,false,true
rand_008,5,1,1,5,86.9,1.0,1.0,0.5,ok,false,non-empty,2.08,false,true
rand_009,5,1,1,9,867.7,0.853977,0.89,0.5,unsolved,false,non-empty,2.5,false,
rand_010,5,1,1,5,96.5,1.0,1.0,0.5,ok,false,non-empty,2.84,false,true
rand_011,6,1,2,6,268.7,1.0,1.0,0.5,ok,false,non-empty,3.14,false,true
rand_012,5,1,1,5,170.0,1.0,1.0,0.5,ok,false,non-empty,2.86,false,true
rand_013,8,1,1,5,107.3,1.0,1.0,0.5,ok,false,non-empty,3.89,false,true
rand_014,6,1,1,6,101.1,1.0,1.0,0.5,ok,false,non-empty,3.14,false,true
rand_015,6,1,1,6,104.5,1.0,1.0,0.5,ok,false,non-empty,3.16,false,true
rand_016,5,1,1,5,86.9,1.0,1.0,0.5,ok,false,non-empty,2.71,false,true
rand_017,5,1,1,10,777.5,0.931507,0.908,0.5,unsolved,false,non-empty,3.75,false,
rand_018,5,1,1,5,191.5,1.0,1.0,0.5,ok,false,non-empty,6.08,false,true
rand_019,5,1,1,5,87.5,1.0,1.0,0.5,ok,false,non-empty,3.32,false,true
rand_020,6,1,2,5,137.0,1.0,1.0,0.5,ok,false,non-empty,5.4,false,true
rand_021,5,1,1,9,852.8,0.938356,0.9235,0.5,unsolved,false,non-empty,5.31,false,
rand_022,5,1,1,5,87.4,1.0,1.0,0.5,ok,false,non-empty,4.48,false,true
rand_023,5,1,2,4,113.9,1.0,1.0,0.5,ok,false,non-empty,4.05,false,true
rand_024,2,1,1,2,56.1,1.0,1.0,0.0,degenerate,true,empty,4.99,true,
rand_025,1,1,1,2,33.7,1.0,1.0,0.0,degenerate,true,empty,4.1,true,
rand_026,3,1,1,3,49.0,1.0,1.0,0.0,degenerate,true,empty,3.01,true,
rand_027,2,1,1,2,58.7,1.0,1.0,0.0,degenerate,true,empty,4.51,true,
