task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
rand_000,examples/brasp/random_deep/rand_000.brasp,True,5,1,1,1,0.953196,0.953196,0.97,0.5,0,3,195.2
rand_000,examples/brasp/random_deep/rand_000.brasp,True,5,1,2,2,0.953196,0.953196,0.963,0.5,0,5,285.4
rand_000,examples/brasp/random_deep/rand_000.brasp,True,5,2,1,1,0.964612,0.964612,0.9785,0.5,0,5,286.3
rand_000,examples/brasp/random_deep/rand_000.brasp,True,5,2,2,1,0.978311,0.978311,0.9855,0.5,0,8,432.0
rand_000,examples/brasp/random_deep/rand_000.brasp,True,6,1,1,2,0.947489,0.947489,0.953,0.5,0,5,222.0
rand_000,examples/brasp/random_deep/rand_000.brasp,True,6,1,2,2,0.936073,0.936073,0.9695,0.5,0,6,318.4
rand_000,examples/brasp/random_deep/rand_000.brasp,True,6,2,1,2,0.947489,0.947489,0.953,0.5,0,8,336.2
rand_000,examples/brasp/random_deep/rand_000.brasp,True,6,2,2,0,0.934932,0.934932,0.96,0.5,0,10,503.8
rand_001,examples/brasp/random_deep/rand_001.brasp,True,6,1,1,0,1.0,1.0,1.0,0.5,0,6,70.0
rand_001,examples/brasp/random_deep/rand_001.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,6,105.0
rand_001,examples/brasp/random_deep/rand_001.brasp,True,6,2,1,2,1.0,1.0,1.0,0.5,0,10,332.6
rand_001,examples/brasp/random_deep/rand_001.brasp,True,6,2,2,0,1.0,1.0,1.0,0.5,0,8,159.5
rand_001,examples/brasp/random_deep/rand_001.brasp,True,7,1,1,2,1.0,1.0,1.0,0.5,0,5,233.3
rand_001,examples/brasp/random_deep/rand_001.brasp,True,7,1,2,0,1.0,1.0,1.0,0.5,0,7,117.9
rand_001,examples/brasp/random_deep/rand_001.brasp,True,7,2,1,0,1.0,1.0,1.0,0.5,0,5,123.0
rand_001,examples/brasp/random_deep/rand_001.brasp,True,7,2,2,0,1.0,1.0,1.0,0.5,0,9,174.5
rand_002,examples/brasp/random_deep/rand_002.brasp,True,5,1,1,0,0.940639,0.940639,0.9075,0.5,0,5,193.2
rand_002,examples/brasp/random_deep/rand_002.brasp,True,5,1,2,2,0.977169,0.977169,0.9765,0.5,0,5,289.8
rand_002,examples/brasp/random_deep/rand_002.brasp,True,5,2,1,2,0.872146,0.872146,0.827,0.5,0,6,287.7
rand_002,examples/brasp/random_deep/rand_002.brasp,True,5,2,2,2,0.971461,0.971461,0.954,0.5,0,9,419.6
rand_002,examples/brasp/random_deep/rand_002.brasp,True,6,1,1,1,0.93379,0.93379,0.953,0.5,0,5,207.5
rand_002,examples/brasp/random_deep/rand_002.brasp,True,6,1,2,0,0.982877,0.982877,0.9715,0.5,0,5,338.4
rand_002,examples/brasp/random_deep/rand_002.brasp,True,6,2,1,0,0.913242,0.913242,0.9285,0.5,0,6,345.5
rand_002,examples/brasp/random_deep/rand_002.brasp,True,6,2,2,2,0.990868,0.990868,0.999,0.5,0,12,491.3
rand_003,examples/brasp/random_deep/rand_003.brasp,True,5,1,1,0,0.95176,0.95176,0.997,0.5,0,4,200.5
rand_003,examples/brasp/random_deep/rand_003.brasp,True,5,1,2,1,1.0,1.0,1.0,0.5,0,5,172.8
rand_003,examples/brasp/random_deep/rand_003.brasp,True,5,2,1,2,0.95176,0.95176,0.997,0.5,0,7,273.5
rand_003,examples/brasp/random_deep/rand_003.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,6,149.0
rand_003,examples/brasp/random_deep/rand_003.brasp,True,6,1,1,1,1.0,1.0,1.0,0.5,0,6,145.9
rand_003,examples/brasp/random_deep/rand_003.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,5,97.2
rand_003,examples/brasp/random_deep/rand_003.brasp,True,6,2,1,1,0.881356,0.881356,0.9335,0.5,0,7,337.3
rand_003,examples/brasp/random_deep/rand_003.brasp,True,6,2,2,1,0.95176,0.95176,0.997,0.5,0,7,478.5
rand_004,examples/brasp/random_deep/rand_004.brasp,True,5,1,1,1,0.979452,0.979452,1.0,0.5,0,4,195.5
rand_004,examples/brasp/random_deep/rand_004.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,87.4
rand_004,examples/brasp/random_deep/rand_004.brasp,True,5,2,1,1,1.0,1.0,1.0,0.5,0,5,189.1
rand_004,examples/brasp/random_deep/rand_004.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,8,123.2
rand_004,examples/brasp/random_deep/rand_004.brasp,True,6,1,1,2,1.0,1.0,1.0,0.5,0,5,208.4
rand_004,examples/brasp/random_deep/rand_004.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,5,109.5
rand_004,examples/brasp/random_deep/rand_004.brasp,True,6,2,1,2,0.921233,0.921233,0.8985,0.5,0,5,352.3
rand_004,examples/brasp/random_deep/rand_004.brasp,True,6,2,2,0,1.0,1.0,1.0,0.5,0,8,156.4
rand_005,examples/brasp/random_deep/rand_005.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,5,66.2
rand_005,examples/brasp/random_deep/rand_005.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,95.3
rand_005,examples/brasp/random_deep/rand_005.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,7,96.3
rand_005,examples/brasp/random_deep/rand_005.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,6,115.2
rand_005,examples/brasp/random_deep/rand_005.brasp,True,6,1,1,0,1.0,1.0,1.0,0.5,0,5,73.6
rand_005,examples/brasp/random_deep/rand_005.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,6,107.3
rand_005,examples/brasp/random_deep/rand_005.brasp,True,6,2,1,1,1.0,1.0,1.0,0.5,0,6,225.2
rand_005,examples/brasp/random_deep/rand_005.brasp,True,6,2,2,0,1.0,1.0,1.0,0.5,0,6,158.9
rand_006,examples/brasp/random_deep/rand_006.brasp,True,6,1,1,0,0.958279,0.958279,0.8685,0.5,0,6,216.2
rand_006,examples/brasp/random_deep/rand_006.brasp,True,6,1,2,1,1.0,1.0,1.0,0.5,0,6,215.5
rand_006,examples/brasp/random_deep/rand_006.brasp,True,6,2,1,0,0.863103,0.863103,0.838,0.5,0,9,337.6
rand_006,examples/brasp/random_deep/rand_006.brasp,True,6,2,2,1,1.0,1.0,1.0,0.5,0,8,305.6
rand_006,examples/brasp/random_deep/rand_006.brasp,True,7,1,1,0,0.85528,0.85528,0.6605,0.5,0,6,240.4
rand_006,examples/brasp/random_deep/rand_006.brasp,True,7,1,2,2,1.0,1.0,1.0,0.5,0,7,334.7
rand_006,examples/brasp/random_deep/rand_006.brasp,True,7,2,1,0,0.863103,0.863103,0.838,0.5,0,8,374.4
rand_006,examples/brasp/random_deep/rand_006.brasp,True,7,2,2,2,1.0,1.0,1.0,0.5,0,11,490.6
rand_007,examples/brasp/random_deep/rand_007.brasp,True,5,1,1,1,0.969178,0.969178,0.96,0.5,0,5,190.3
rand_007,examples/brasp/random_deep/rand_007.brasp,True,5,1,2,1,1.0,1.0,1.0,0.5,0,5,182.4
rand_007,examples/brasp/random_deep/rand_007.brasp,True,5,2,1,2,0.934932,0.934932,0.943,0.5,0,6,282.6
rand_007,examples/brasp/random_deep/rand_007.brasp,True,5,2,2,1,0.995434,0.995434,0.991,0.5,0,7,400.1
rand_007,examples/brasp/random_deep/rand_007.brasp,True,6,1,1,0,0.953196,0.953196,0.9625,0.5,0,5,210.8
rand_007,examples/brasp/random_deep/rand_007.brasp,True,6,1,2,1,1.0,1.0,1.0,0.5,0,6,206.8
rand_007,examples/brasp/random_deep/rand_007.brasp,True,6,2,1,1,0.926941,0.926941,0.9085,0.5,0,5,342.4
rand_007,examples/brasp/random_deep/rand_007.brasp,True,6,2,2,0,0.981735,0.981735,0.962,0.5,0,7,486.7
rand_008,examples/brasp/random_deep/rand_008.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,5,67.7
rand_008,examples/brasp/random_deep/rand_008.brasp,True,5,1,2,2,1.0,1.0,1.0,0.5,0,5,281.6
rand_008,examples/brasp/random_deep/rand_008.brasp,True,5,2,1,0,0.986301,0.986301,0.996,0.5,0,7,278.2
rand_008,examples/brasp/random_deep/rand_008.brasp,True,5,2,2,0,0.986301,0.986301,0.996,0.5,0,7,402.5
rand_008,examples/brasp/random_deep/rand_008.brasp,True,6,1,1,1,0.986301,0.986301,0.996,0.5,0,5,208.5
rand_008,examples/brasp/random_deep/rand_008.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,6,109.7
rand_008,examples/brasp/random_deep/rand_008.brasp,True,6,2,1,1,0.986301,0.986301,0.996,0.5,0,7,345.7
rand_008,examples/brasp/random_deep/rand_008.brasp,True,6,2,2,2,1.0,1.0,1.0,0.5,0,11,462.2
rand_009,examples/brasp/random_deep/rand_009.brasp,True,5,1,1,1,0.83442,0.83442,0.885,0.5,0,5,195.3
rand_009,examples/brasp/random_deep/rand_009.brasp,True,5,1,2,1,0.829205,0.829205,0.835,0.5,0,5,265.3
rand_009,examples/brasp/random_deep/rand_009.brasp,True,5,2,1,1,0.800522,0.800522,0.8315,0.5,0,6,286.1
rand_009,examples/brasp/random_deep/rand_009.brasp,True,5,2,2,1,0.972621,0.972621,0.988,0.5,0,10,427.6
rand_009,examples/brasp/random_deep/rand_009.brasp,True,6,1,1,2,0.926988,0.926988,0.9295,0.5,0,6,211.1
rand_009,examples/brasp/random_deep/rand_009.brasp,True,6,1,2,2,0.937419,0.937419,0.8965,0.5,0,6,325.9
rand_009,examples/brasp/random_deep/rand_009.brasp,True,6,2,1,0,0.790091,0.790091,0.839,0.5,0,10,338.6
rand_009,examples/brasp/random_deep/rand_009.brasp,True,6,2,2,0,0.97914,0.97914,0.9925,0.5,0,11,455.7
rand_010,examples/brasp/random_deep/rand_010.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,5,68.1
rand_010,examples/brasp/random_deep/rand_010.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,85.5
rand_010,examples/brasp/random_deep/rand_010.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,8,103.7
rand_010,examples/brasp/random_deep/rand_010.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,10,142.2
rand_010,examples/brasp/random_deep/rand_010.brasp,True,6,1,1,0,1.0,1.0,1.0,0.5,0,6,78.9
rand_010,examples/brasp/random_deep/rand_010.brasp,True,6,1,2,0,1.0,1.0,1.0,0.5,0,6,102.0
rand_010,examples/brasp/random_deep/rand_010.brasp,True,6,2,1,0,1.0,1.0,1.0,0.5,0,9,111.1
rand_010,examples/brasp/random_deep/rand_010.brasp,True,6,2,2,0,1.0,1.0,1.0,0.5,0,10,167.5
rand_011,examples/brasp/random_deep/rand_011.brasp,True,6,1,1,1,0.823059,0.823059,0.7765,0.5,0,6,222.7
rand_011,examples/brasp/random_deep/rand_011.brasp,True,6,1,2,1,1.0,1.0,1.0,0.5,0,6,200.1
rand_011,examples/brasp/random_deep/rand_011.brasp,True,6,2,1,2,0.833333,0.833333,0.914,0.5,0,5,341.1
rand_011,examples/brasp/random_deep/rand_011.brasp,True,6,2,2,2,1.0,1.0,1.0,0.5,0,11,464.6
rand_011,examples/brasp/random_deep/rand_011.brasp,True,7,1,1,2,0.821918,0.821918,0.7895,0.5,0,4,246.2
