name,path,expected_empty,alphabet,depth,attention_ops,short_rate,long_rate
rand_000,examples/brasp/random/rand_000.brasp,False,3,1,2,0.1583,0.3333
rand_001,examples/brasp/random/rand_001.brasp,False,3,2,2,0.0833,0.1167
rand_002,examples/brasp/random/rand_002.brasp,False,3,2,2,0.225,0.2833
rand_003,examples/brasp/random/rand_003.brasp,False,3,2,4,0.2167,0.3917
rand_004,examples/brasp/random/rand_004.brasp,False,3,1,4,0.3333,0.3167
rand_005,examples/brasp/random/rand_005.brasp,False,3,3,4,0.4417,0.6417
rand_006,examples/brasp/random/rand_006.brasp,False,3,2,3,0.0833,0.0833
rand_007,examples/brasp/random/rand_007.brasp,False,3,2,3,0.075,0.1667
rand_008,examples/brasp/random/rand_008.brasp,False,2,2,2,0.375,0.5583
rand_009,examples/brasp/random/rand_009.brasp,False,2,1,3,0.5667,0.45
rand_010,examples/brasp/random/rand_010.brasp,False,3,2,4,0.3667,0.3583
rand_011,examples/brasp/random/rand_011.brasp,False,3,3,4,0.3667,0.4417
rand_012,examples/brasp/random/rand_012.brasp,False,3,2,3,0.6333,0.675
rand_013,examples/brasp/random/rand_013.brasp,False,2,2,2,0.55,0.4583
rand_014,examples/brasp/random/rand_014.brasp,False,3,1,2,0.7417,0.5667
rand_015,examples/brasp/random/rand_015.brasp,False,3,2,2,0.2833,0.3
rand_016,examples/brasp/random/rand_016.brasp,False,2,2,3,0.175,0.25
rand_017,examples/brasp/random/rand_017.brasp,False,2,2,2,0.4,0.525
rand_018,examples/brasp/random/rand_018.brasp,False,3,1,3,0.6333,0.4583
rand_019,examples/brasp/random/rand_019.brasp,False,2,2,4,0.5667,0.5833
rand_020,examples/brasp/random/rand_020.brasp,False,2,3,3,0.3417,0.45
rand_021,examples/brasp/random/rand_021.brasp,False,3,2,2,0.55,0.6667
rand_022,examples/brasp/random/rand_022.brasp,False,3,1,2,0.275,0.3
rand_023,examples/brasp/random/rand_023.brasp,False,2,3,4,0.2917,0.2417
rand_024,examples/brasp/random/rand_024.brasp,False,3,2,2,0.0583,0.125
rand_025,examples/brasp/random/rand_025.brasp,False,2,4,4,0.45,0.5083
rand_026,examples/brasp/random/rand_026.brasp,False,2,2,4,0.45,0.5667
rand_027,examples/brasp/random/rand_027.brasp,False,2,2,2,0.2333,0.6
rand_028,examples/brasp/random/rand_028.brasp,False,3,2,2,0.2167,0.1917
rand_029,examples/brasp/random/rand_029.brasp,False,3,3,4,0.3167,0.6
rand_030,examples/brasp/random/rand_030.brasp,False,3,2,3,0.3667,0.3583
rand_031,examples/brasp/random/rand_031.brasp,False,3,1,2,0.3667,0.3917
rand_032,examples/brasp/random/rand_032.brasp,False,3,3,4,0.4917,0.6583
rand_033,examples/brasp/random/rand_033.brasp,False,2,2,2,0.3583,0.55
rand_034,examples/brasp/random/rand_034.brasp,False,2,1,2,0.2,0.2917
rand_035,examples/brasp/random/rand_035.brasp,False,3,2,3,0.0417,0.15
rand_036,examples/brasp/random/rand_036.brasp,False,2,4,4,0.2083,0.2667
rand_037,examples/brasp/random/rand_037.brasp,False,3,2,4,0.5667,0.7
rand_038,examples/brasp/random/rand_038.brasp,False,3,4,4,0.3,0.375
rand_039,examples/brasp/random/rand_039.brasp,False,2,1,3,0.3833,0.4833
rand_040,examples/brasp/random/rand_040.brasp,True,2,2,2,0.0,0.0
rand_041,examples/brasp/random/rand_041.brasp,True,3,2,2,0.0,0.0
rand_042,examples/brasp/random/rand_042.brasp,True,2,1,2,0.0,0.0
rand_043,examples/brasp/random/rand_043.brasp,True,2,3,4,0.0,0.0
rand_044,examples/brasp/random/rand_044.brasp,True,2,2,2,0.0,0.0
rand_045,examples/brasp/random/rand_045.brasp,True,3,1,2,0.0,0.0
rand_046,examples/brasp/random/rand_046.brasp,True,3,3,4,0.0,0.0
rand_047,examples/brasp/random/rand_047.brasp,True,3,3,3,0.0,0.0
