task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
a_before_b,2,1,2,2,2,8,12,examples/brasp/a_before_b.brasp
a_star_b_star,2,1,1,2,2,12,12,examples/brasp/a_star_b_star.brasp
c_after_ab,3,2,2,6,3,3,12,examples/brasp/c_after_ab.brasp
contains_ab,2,1,2,2,2,8,12,examples/brasp/contains_ab.brasp
contains_aba,3,1,2,3,3,4,12,examples/brasp/contains_aba.brasp
dot_depth__k-1__sigma-2,1,1,1,1,1,10,12,examples/brasp/dot_depth__k-1__sigma-2.brasp
dot_depth__k-1__sigma-4,1,1,1,1,1,8,8,examples/brasp/dot_depth__k-1__sigma-4.brasp
dot_depth__k-2__sigma-2,2,2,1,4,,9,18,
dot_depth__k-3__sigma-2,3,1,2,3,,3,18,
dot_depth__k-4__sigma-2,3,3,2,8,,2,24,
dot_depth__k-5__sigma-2,5,1,2,5,5,2,26,examples/brasp/dot_depth__k-5__sigma-2.brasp
dot_depth__k-6__sigma-2,6,2,2,9,,1,5,
dot_depth__k-7__sigma-2,8,1,2,8,,1,8,
ends_ab,1,1,1,1,1,12,12,examples/brasp/ends_ab.brasp
first_a,2,1,2,2,2,9,12,examples/brasp/first_a.brasp
first_a_before_first_b,2,1,2,2,2,10,12,examples/brasp/first_a_before_first_b.brasp
first_equals_last,2,1,2,2,2,11,12,examples/brasp/first_equals_last.brasp
gastin_oddoux_depth__k-1,2,1,2,2,2,6,8,examples/brasp/gastin_oddoux_depth__k-1.brasp
last_a,1,1,1,0,0,6,6,examples/brasp/last_a.brasp
markey_agreement__n-1,1,2,2,2,1,4,8,examples/brasp/markey_agreement__n-1.brasp
no_c_before_first_b,2,1,2,2,2,9,12,examples/brasp/no_c_before_first_b.brasp
starts_ab,3,1,2,3,3,10,12,examples/brasp/starts_ab.brasp
tomita_1,1,1,1,1,1,12,12,examples/brasp/tomita_1.brasp
tomita_2,2,1,2,2,2,7,12,examples/brasp/tomita_2.brasp
tomita_4,3,1,1,3,3,11,12,examples/brasp/tomita_4.brasp
tomita_7,3,1,2,3,3,10,12,examples/brasp/tomita_7.brasp
two_var__monotone_past__sigma-2,1,1,1,1,1,0,0,examples/brasp/two_var__monotone_past__sigma-2.brasp
two_var__monotone_past__sigma-4,1,1,1,1,1,0,0,examples/brasp/two_var__monotone_past__sigma-4.brasp
two_var__prev_repeats__sigma-2,1,2,2,2,1,4,8,examples/brasp/two_var__prev_repeats__sigma-2.brasp
two_var__same_letter_before__sigma-2,1,1,2,1,1,4,8,examples/brasp/two_var__same_letter_before__sigma-2.brasp
two_var__same_letter_before__sigma-4,1,2,2,2,1,2,8,examples/brasp/two_var__same_letter_before__sigma-4.brasp
two_var__since_same_letter__sigma-2,1,1,2,1,1,4,8,examples/brasp/two_var__since_same_letter__sigma-2.brasp
y_depth__k-1,1,1,1,1,1,8,8,examples/brasp/y_depth__k-1.brasp
y_depth__no_two_a__k-1,2,1,1,2,2,8,8,examples/brasp/y_depth__no_two_a__k-1.brasp
