task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,4,1,1,3,63.5,1.0,1.0,false,non-empty,2.58,false,true
rand_001,4,1,1,3,60.6,1.0,1.0,false,non-empty,2.09,false,true
rand_002,3,1,2,3,68.7,1.0,1.0,false,non-empty,2.95,false,true
rand_003,4,1,2,4,83.2,1.0,1.0,false,non-empty,1.74,false,true
rand_004,3,1,2,3,207.0,1.0,1.0,false,non-empty,1.84,false,true
rand_005,4,1,1,4,65.9,1.0,1.0,false,non-empty,1.65,false,true
rand_006,3,1,1,3,107.7,1.0,1.0,false,non-empty,2.2,false,true
rand_007,3,1,2,3,69.7,1.0,1.0,false,non-empty,1.92,false,true
rand_008,3,1,1,3,51.8,1.0,1.0,false,non-empty,1.6,false,true
rand_009,3,2,1,5,144.6,1.0,1.0,false,non-empty,1.52,false,true
rand_010,4,2,2,8,248.8,1.0,1.0,false,non-empty,1.66,false,true
rand_011,3,1,1,3,50.6,1.0,1.0,false,non-empty,1.45,false,true
rand_012,3,1,1,2,52.7,1.0,1.0,false,non-empty,1.5,false,true
rand_013,3,1,1,2,50.8,1.0,1.0,false,non-empty,1.48,false,true
rand_014,4,1,1,4,57.9,1.0,1.0,false,non-empty,1.52,false,true
rand_015,3,2,2,6,326.3,1.0,1.0,false,non-empty,1.6,false,true
rand_016,2,1,1,2,45.2,1.0,1.0,false,non-empty,1.45,false,true
rand_017,4,1,1,3,64.0,1.0,1.0,false,non-empty,1.54,false,true
rand_018,2,1,2,2,162.1,1.0,1.0,false,non-empty,1.75,false,true
rand_019,3,1,2,3,137.5,1.0,1.0,false,non-empty,1.76,false,true
rand_020,2,1,1,2,43.4,1.0,1.0,false,non-empty,1.51,false,true
rand_021,3,1,2,3,66.5,1.0,1.0,false,non-empty,1.9,false,true
rand_022,3,1,1,3,54.5,1.0,1.0,false,non-empty,1.94,false,true
rand_023,3,1,1,3,59.4,1.0,1.0,false,non-empty,2.31,false,true
rand_024,2,1,1,3,365.2,0.954338,0.897,false,non-empty,2.81,false,true
rand_025,2,1,1,2,129.4,1.0,1.0,false,non-empty,2.65,false,true
rand_026,3,1,2,3,118.9,1.0,1.0,false,non-empty,2.8,false,true
rand_027,2,1,1,2,45.1,1.0,1.0,false,non-empty,6.08,false,true
rand_028,1,2,1,1,42.0,1.0,1.0,false,non-empty,6.06,false,true
rand_029,1,1,2,1,32.4,1.0,1.0,false,non-empty,7.95,false,true
rand_030,2,1,1,2,45.1,1.0,1.0,false,non-empty,5.13,false,true
rand_031,2,1,2,2,143.2,1.0,1.0,false,non-empty,3.06,false,true
rand_032,3,1,1,3,50.1,1.0,1.0,true,empty,2.92,true,true
rand_033,3,1,1,4,50.2,1.0,1.0,true,empty,6.53,true,true
rand_034,3,1,1,4,54.0,1.0,1.0,true,empty,3.74,true,true
rand_035,4,1,1,4,63.3,1.0,1.0,true,empty,5.45,true,true
rand_036,3,1,1,4,53.6,1.0,1.0,true,empty,2.9,true,true
rand_037,3,1,1,4,53.2,1.0,1.0,true,empty,3.16,true,true
rand_038,1,1,1,3,12.1,1.0,1.0,true,empty,1.95,true,true
rand_039,2,1,1,3,43.6,1.0,1.0,true,empty,1.82,true,true
