name,path,expected_empty,dfa_states,alphabet,depth,attention_ops,short_rate,long_rate
rand_000,examples/brasp/random100/rand_000.brasp,False,4,3,3,4,0.3083,0.275
rand_001,examples/brasp/random100/rand_001.brasp,False,12,2,3,4,0.475,0.6167
rand_002,examples/brasp/random100/rand_002.brasp,False,5,3,3,3,0.0833,0.1917
rand_003,examples/brasp/random100/rand_003.brasp,False,4,2,3,3,0.2833,0.4583
rand_004,examples/brasp/random100/rand_004.brasp,False,7,2,4,4,0.3,0.2333
rand_005,examples/brasp/random100/rand_005.brasp,False,4,3,2,3,0.4167,0.4917
rand_006,examples/brasp/random100/rand_006.brasp,False,4,2,2,3,0.675,0.75
rand_007,examples/brasp/random100/rand_007.brasp,False,5,3,2,3,0.8,0.9
rand_008,examples/brasp/random100/rand_008.brasp,False,4,2,4,4,0.55,0.75
rand_009,examples/brasp/random100/rand_009.brasp,False,4,3,2,3,0.3083,0.5333
rand_010,examples/brasp/random100/rand_010.brasp,False,5,3,3,5,0.1,0.1333
rand_011,examples/brasp/random100/rand_011.brasp,False,4,3,4,4,0.5083,0.5
rand_012,examples/brasp/random100/rand_012.brasp,False,4,3,1,4,0.6,0.425
rand_013,examples/brasp/random100/rand_013.brasp,False,4,3,3,4,0.1833,0.2167
rand_014,examples/brasp/random100/rand_014.brasp,False,6,2,3,4,0.2833,0.2333
rand_015,examples/brasp/random100/rand_015.brasp,False,6,3,3,5,0.0833,0.1333
rand_016,examples/brasp/random100/rand_016.brasp,False,7,2,3,5,0.6667,0.4917
rand_017,examples/brasp/random100/rand_017.brasp,False,10,3,4,5,0.2167,0.1917
rand_018,examples/brasp/random100/rand_018.brasp,False,5,2,2,5,0.2667,0.2417
rand_019,examples/brasp/random100/rand_019.brasp,False,8,2,3,3,0.1583,0.1
rand_020,examples/brasp/random100/rand_020.brasp,False,4,2,3,4,0.2417,0.2333
rand_021,examples/brasp/random100/rand_021.brasp,False,4,3,4,4,0.15,0.3833
rand_022,examples/brasp/random100/rand_022.brasp,False,6,3,3,4,0.225,0.275
rand_023,examples/brasp/random100/rand_023.brasp,False,8,3,4,4,0.3833,0.175
rand_024,examples/brasp/random100/rand_024.brasp,False,5,3,2,4,0.275,0.5083
rand_025,examples/brasp/random100/rand_025.brasp,False,5,3,4,5,0.2167,0.3
rand_026,examples/brasp/random100/rand_026.brasp,False,6,3,4,4,0.0083,0.0833
rand_027,examples/brasp/random100/rand_027.brasp,False,4,3,3,3,0.1333,0.35
rand_028,examples/brasp/random100/rand_028.brasp,False,4,3,3,3,0.175,0.2
rand_029,examples/brasp/random100/rand_029.brasp,False,4,3,3,4,0.4333,0.4917
rand_030,examples/brasp/random100/rand_030.brasp,False,8,2,4,5,0.1417,0.1917
rand_031,examples/brasp/random100/rand_031.brasp,False,5,2,3,3,0.0583,0.2667
rand_032,examples/brasp/random100/rand_032.brasp,False,4,3,2,3,0.475,0.4583
rand_033,examples/brasp/random100/rand_033.brasp,False,4,2,2,3,0.2,0.4417
rand_034,examples/brasp/random100/rand_034.brasp,False,4,2,3,5,0.6,0.425
rand_035,examples/brasp/random100/rand_035.brasp,False,4,2,3,4,0.3667,0.375
rand_036,examples/brasp/random100/rand_036.brasp,False,4,3,2,3,0.7,0.65
rand_037,examples/brasp/random100/rand_037.brasp,False,5,2,3,4,0.2333,0.35
rand_038,examples/brasp/random100/rand_038.brasp,False,6,3,4,5,0.1333,0.1583
rand_039,examples/brasp/random100/rand_039.brasp,False,5,2,3,5,0.2667,0.4333
rand_040,examples/brasp/random100/rand_040.brasp,False,4,3,3,5,0.5583,0.8667
rand_041,examples/brasp/random100/rand_041.brasp,False,4,2,1,3,0.2167,0.2417
rand_042,examples/brasp/random100/rand_042.brasp,False,7,2,3,3,0.9917,0.875
rand_043,examples/brasp/random100/rand_043.brasp,False,5,2,3,3,0.325,0.2583
rand_044,examples/brasp/random100/rand_044.brasp,False,5,3,2,4,0.875,0.7917
rand_045,examples/brasp/random100/rand_045.brasp,False,4,2,3,3,0.175,0.1333
rand_046,examples/brasp/random100/rand_046.brasp,False,8,3,4,5,0.8667,0.9083
rand_047,examples/brasp/random100/rand_047.brasp,False,4,3,2,3,0.1583,0.325
rand_048,examples/brasp/random100/rand_048.brasp,False,5,2,3,3,0.4333,0.4667
rand_049,examples/brasp/random100/rand_049.brasp,False,6,3,3,4,0.375,0.4917
rand_050,examples/brasp/random100/rand_050.brasp,False,5,3,4,4,0.25,0.35
rand_051,examples/brasp/random100/rand_051.brasp,False,4,3,3,5,0.275,0.3583
rand_052,examples/brasp/random100/rand_052.brasp,False,4,2,2,4,0.1417,0.1333
rand_053,examples/brasp/random100/rand_053.brasp,False,4,3,3,3,0.3917,0.4167
rand_054,examples/brasp/random100/rand_054.brasp,False,5,2,3,5,0.15,0.25
rand_055,examples/brasp/random100/rand_055.brasp,False,5,2,2,4,0.1083,0.15
rand_056,examples/brasp/random100/rand_056.brasp,False,4,3,2,3,0.25,0.1417
rand_057,examples/brasp/random100/rand_057.brasp,False,4,3,3,5,0.4167,0.525
rand_058,examples/brasp/random100/rand_058.brasp,False,9,3,4,5,0.3167,0.7667
rand_059,examples/brasp/random100/rand_059.brasp,False,5,3,2,3,0.3,0.5
rand_060,examples/brasp/random100/rand_060.brasp,False,4,3,1,3,0.3917,0.4583
rand_061,examples/brasp/random100/rand_061.brasp,False,4,2,3,4,0.5333,0.5
rand_062,examples/brasp/random100/rand_062.brasp,False,7,3,2,4,0.7,0.7417
rand_063,examples/brasp/random100/rand_063.brasp,False,11,2,4,5,0.35,0.6667
rand_064,examples/brasp/random100/rand_064.brasp,False,4,3,3,5,0.7083,0.6667
rand_065,examples/brasp/random100/rand_065.brasp,False,5,2,2,4,0.6833,0.7583
rand_066,examples/brasp/random100/rand_066.brasp,False,5,3,3,5,0.8917,0.8833
rand_067,examples/brasp/random100/rand_067.brasp,False,4,3,4,5,0.875,0.9083
rand_068,examples/brasp/random100/rand_068.brasp,False,4,3,4,5,0.1167,0.175
rand_069,examples/brasp/random100/rand_069.brasp,False,4,3,4,5,0.775,0.7583
rand_070,examples/brasp/random100/rand_070.brasp,False,6,2,4,5,0.25,0.2
rand_071,examples/brasp/random100/rand_071.brasp,False,4,2,4,4,0.2667,0.4583
rand_072,examples/brasp/random100/rand_072.brasp,False,7,2,4,4,0.6417,0.625
rand_073,examples/brasp/random100/rand_073.brasp,False,4,3,3,3,0.1417,0.2
rand_074,examples/brasp/random100/rand_074.brasp,False,9,3,3,5,0.3083,0.3083
rand_075,examples/brasp/random100/rand_075.brasp,False,5,3,3,3,0.4583,0.5917
rand_076,examples/brasp/random100/rand_076.brasp,False,15,3,3,3,0.4917,0.6417
rand_077,examples/brasp/random100/rand_077.brasp,False,4,2,2,4,0.3833,0.3917
rand_078,examples/brasp/random100/rand_078.brasp,False,4,2,2,4,0.125,0.125
rand_079,examples/brasp/random100/rand_079.brasp,False,8,3,2,3,0.0917,0.1583
rand_080,examples/brasp/random100/rand_080.brasp,False,10,3,4,5,0.8833,0.7583
rand_081,examples/brasp/random100/rand_081.brasp,False,5,3,4,4,0.7417,0.825
rand_082,examples/brasp/random100/rand_082.brasp,False,6,2,4,4,0.025,0.2167
rand_083,examples/brasp/random100/rand_083.brasp,False,5,3,3,4,0.1167,0.3833
rand_084,examples/brasp/random100/rand_084.brasp,False,14,3,3,3,0.0583,0.175
rand_085,examples/brasp/random100/rand_085.brasp,False,4,2,3,4,0.2667,0.3167
rand_086,examples/brasp/random100/rand_086.brasp,False,4,3,2,4,0.2917,0.3667
rand_087,examples/brasp/random100/rand_087.brasp,False,4,3,3,4,0.0667,0.1333
rand_088,examples/brasp/random100/rand_088.brasp,False,4,3,4,4,0.3583,0.4583
rand_089,examples/brasp/random100/rand_089.brasp,False,4,3,2,3,0.5833,0.6583
rand_090,examples/brasp/random100/rand_090.brasp,False,5,3,3,5,0.375,0.3083
rand_091,examples/brasp/random100/rand_091.brasp,False,5,2,2,4,0.3417,0.2917
rand_092,examples/brasp/random100/rand_092.brasp,False,4,3,3,4,0.85,0.9167
rand_093,examples/brasp/random100/rand_093.brasp,False,4,3,3,5,0.0583,0.0917
rand_094,examples/brasp/random100/rand_094.brasp,False,5,3,3,4,0.5667,0.5833
rand_095,examples/brasp/random100/rand_095.brasp,False,7,3,2,5,0.4,0.4583
rand_096,examples/brasp/random100/rand_096.brasp,False,5,2,3,4,0.6333,0.7667
rand_097,examples/brasp/random100/rand_097.brasp,False,4,2,4,5,0.2667,0.4667
rand_098,examples/brasp/random100/rand_098.brasp,False,5,3,4,5,0.2583,0.325
rand_099,examples/brasp/random100/rand_099.brasp,False,6,2,2,4,0.5583,0.775
rand_100,examples/brasp/random100/rand_100.brasp,True,,2,3,4,0.0,0.0
rand_101,examples/brasp/random100/rand_101.brasp,True,,3,2,2,0.0,0.0
rand_102,examples/brasp/random100/rand_102.brasp,True,,3,2,2,0.0,0.0
rand_103,examples/brasp/random100/rand_103.brasp,True,,3,2,2,0.0,0.0
rand_104,examples/brasp/random100/rand_104.brasp,True,,2,3,4,0.0,0.0
