task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_000,4,1,1,3,4,7,8,examples/brasp/random_v2/rand_000.brasp
rand_001,4,1,1,3,4,8,8,examples/brasp/random_v2/rand_001.brasp
rand_002,3,1,2,3,3,3,8,examples/brasp/random_v2/rand_002.brasp
rand_003,4,1,2,4,4,6,8,examples/brasp/random_v2/rand_003.brasp
rand_004,3,1,2,3,2,2,8,examples/brasp/random_v2/rand_004.brasp
rand_005,4,1,1,4,4,7,8,examples/brasp/random_v2/rand_005.brasp
rand_006,3,1,1,3,3,8,8,examples/brasp/random_v2/rand_006.brasp
rand_007,3,1,2,3,3,3,8,examples/brasp/random_v2/rand_007.brasp
rand_008,3,1,1,3,3,8,8,examples/brasp/random_v2/rand_008.brasp
rand_009,3,2,1,5,3,4,8,examples/brasp/random_v2/rand_009.brasp
rand_010,4,2,2,8,3,1,8,examples/brasp/random_v2/rand_010.brasp
rand_011,3,1,1,3,3,8,8,examples/brasp/random_v2/rand_011.brasp
rand_012,3,1,1,2,3,8,8,examples/brasp/random_v2/rand_012.brasp
rand_013,3,1,1,2,3,8,8,examples/brasp/random_v2/rand_013.brasp
rand_014,4,1,1,4,4,8,8,examples/brasp/random_v2/rand_014.brasp
rand_015,3,2,2,6,3,2,8,examples/brasp/random_v2/rand_015.brasp
rand_016,2,1,1,2,2,8,8,examples/brasp/random_v2/rand_016.brasp
rand_017,4,1,1,3,4,8,8,examples/brasp/random_v2/rand_017.brasp
rand_018,2,1,2,2,2,4,8,examples/brasp/random_v2/rand_018.brasp
rand_019,3,1,2,3,3,3,8,examples/brasp/random_v2/rand_019.brasp
rand_020,2,1,1,2,2,8,8,examples/brasp/random_v2/rand_020.brasp
rand_021,3,1,2,3,3,3,8,examples/brasp/random_v2/rand_021.brasp
rand_022,3,1,1,3,3,8,8,examples/brasp/random_v2/rand_022.brasp
rand_023,3,1,1,3,3,8,8,examples/brasp/random_v2/rand_023.brasp
rand_025,2,1,1,2,2,8,8,examples/brasp/random_v2/rand_025.brasp
rand_026,3,1,2,3,3,6,8,examples/brasp/random_v2/rand_026.brasp
rand_027,2,1,1,2,2,7,8,examples/brasp/random_v2/rand_027.brasp
rand_028,1,2,1,1,1,6,8,examples/brasp/random_v2/rand_028.brasp
rand_029,1,1,2,1,1,5,8,examples/brasp/random_v2/rand_029.brasp
rand_030,2,1,1,2,2,8,8,examples/brasp/random_v2/rand_030.brasp
rand_031,2,1,2,2,2,4,8,examples/brasp/random_v2/rand_031.brasp
