task,layers,heads,terms,attention_ops,verdict,equivalence_seconds
rand_000,3,1,1,3,PROVED,1.12
rand_001,3,1,2,3,PROVED,0.69
rand_002,3,1,1,3,PROVED,0.67
rand_003,3,1,1,3,PROVED,0.65
rand_004,4,1,1,4,PROVED,0.65
rand_005,2,1,1,2,PROVED,0.66
rand_006,2,1,2,2,PROVED,0.64
rand_007,2,1,1,2,PROVED,0.67
rand_008,4,1,1,3,PROVED,0.65
rand_009,2,1,1,2,PROVED,0.66
rand_011,4,1,1,2,PROVED,0.63
rand_012,1,1,1,1,PROVED,0.63
rand_013,3,1,2,2,PROVED,0.66
rand_014,3,1,2,3,PROVED,0.65
rand_015,3,1,2,3,PROVED,0.71
rand_016,3,1,1,3,PROVED,0.64
rand_018,2,1,1,2,PROVED,0.64
rand_019,3,2,1,6,PROVED,0.65
rand_020,3,1,1,3,PROVED,0.65
rand_021,4,1,2,4,PROVED,0.7
rand_023,4,2,2,8,PROVED,0.88
rand_024,2,1,1,2,PROVED,0.68
rand_025,4,1,2,4,PROVED,0.7
rand_027,3,1,2,3,PROVED,0.73
rand_028,3,1,1,3,PROVED,0.72
rand_029,3,1,1,3,PROVED,0.64
rand_030,4,1,1,4,PROVED,0.66
rand_031,3,1,1,3,PROVED,0.63
rand_032,2,1,1,2,PROVED,0.65
rand_033,2,1,1,2,PROVED,0.67
rand_034,3,1,1,1,PROVED,0.64
rand_035,3,1,1,3,PROVED,0.63
rand_036,2,1,1,2,PROVED,0.64
rand_037,3,1,1,3,PROVED,0.64
rand_038,4,2,2,8,PROVED,0.82
rand_039,3,1,1,3,PROVED,0.65
rand_040,3,1,1,3,PROVED,0.67
rand_041,1,2,1,1,PROVED,0.64
rand_043,3,1,1,2,PROVED,0.63
rand_044,2,1,1,2,PROVED,0.67
rand_045,3,1,1,3,PROVED,0.62
rand_047,3,1,1,3,PROVED,0.65
rand_048,4,1,2,4,PROVED,0.65
rand_049,3,1,2,3,PROVED,0.66
rand_050,4,1,2,4,PROVED,0.73
rand_051,3,1,1,3,PROVED,0.72
rand_052,2,1,1,2,PROVED,0.63
rand_053,3,1,1,3,PROVED,0.65
rand_054,3,1,1,3,PROVED,0.65
rand_055,2,1,1,2,PROVED,0.66
rand_056,2,1,1,2,PROVED,0.66
rand_057,3,1,1,3,PROVED,0.65
rand_059,2,1,1,2,PROVED,0.7
rand_060,1,2,1,1,PROVED,0.67
rand_061,3,1,1,2,PROVED,0.63
rand_062,3,2,2,6,PROVED,0.96
rand_063,4,2,2,8,PROVED,0.71
rand_064,3,1,1,1,PROVED,0.64
rand_065,2,1,1,2,PROVED,0.63
rand_066,3,1,1,3,PROVED,0.67
rand_067,4,1,2,4,PROVED,0.72
rand_068,4,1,2,4,PROVED,0.75
rand_069,4,1,1,3,PROVED,0.78
rand_070,4,1,1,4,PROVED,0.74
rand_071,4,1,1,4,PROVED,0.72
rand_072,4,1,1,4,PROVED,0.64
rand_073,3,1,1,3,PROVED,0.66
rand_075,3,1,2,3,PROVED,0.69
rand_076,3,2,2,6,PROVED,0.8
rand_077,2,1,1,2,PROVED,0.69
rand_078,2,1,1,2,PROVED,0.66
rand_080,4,2,2,8,PROVED,0.86
rand_081,4,1,1,3,PROVED,0.68
rand_082,4,1,2,4,PROVED,0.66
rand_083,3,1,1,3,PROVED,0.69
rand_085,3,1,1,2,PROVED,0.63
rand_086,2,1,1,1,PROVED,0.68
rand_087,3,1,1,3,PROVED,0.7
rand_088,4,1,1,4,PROVED,0.68
rand_089,2,1,2,2,PROVED,0.68
rand_090,3,1,1,3,PROVED,0.7
rand_091,2,1,2,2,PROVED,0.65
rand_092,3,1,1,1,PROVED,0.67
rand_093,3,2,2,6,PROVED,0.77
rand_094,3,1,1,3,PROVED,0.65
rand_095,2,2,1,4,PROVED,0.73
rand_096,3,1,1,2,PROVED,0.64
rand_097,4,1,1,4,PROVED,0.65
rand_098,4,1,1,4,PROVED,0.83
rand_099,2,1,2,2,PROVED,0.64
