task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_001,9,1,2,8,372.1,1.0,1.0,0.5,ok,false,non-empty,1.95,false,true
rand_002,11,1,1,9,269.1,1.0,1.0,0.5,ok,false,non-empty,1.71,false,true
rand_003,9,1,2,9,294.5,1.0,1.0,0.5,ok,false,non-empty,1.82,false,true
rand_004,9,1,1,6,110.8,1.0,1.0,0.5,ok,false,non-empty,1.68,false,true
rand_006,9,1,2,7,167.8,1.0,1.0,0.5,ok,false,non-empty,1.86,false,true
rand_007,9,1,1,6,57.1,1.0,1.0,0.5,ok,false,non-empty,1.64,false,true
rand_008,9,1,1,6,159.0,1.0,1.0,0.5,ok,false,non-empty,1.44,false,true
rand_009,11,1,1,4,151.0,1.0,1.0,0.5,ok,false,non-empty,1.6,false,true
rand_010,11,1,1,6,116.1,1.0,1.0,0.5,ok,false,non-empty,1.67,false,true
rand_011,9,1,2,9,90.4,1.0,1.0,0.5,ok,false,non-empty,1.79,false,true
rand_012,10,1,1,7,218.0,1.0,1.0,0.5,ok,false,non-empty,1.72,false,true
rand_013,9,1,2,6,187.7,1.0,1.0,0.5,ok,false,non-empty,1.87,false,true
rand_015,9,1,1,7,68.0,1.0,1.0,0.5,ok,false,non-empty,1.61,false,true
