language,alphabet,dfa_states,aperiodic,monoid_size,dfa_matches_program,classification
rand_000,3,3,True,5,True,star-free
rand_001,3,3,True,5,True,star-free
rand_002,3,2,True,3,True,star-free
rand_003,3,3,True,5,True,star-free
rand_004,3,2,True,3,True,star-free
rand_005,3,6,True,10,True,star-free
rand_006,3,3,True,5,True,star-free
rand_007,3,4,True,7,True,star-free
rand_008,2,4,True,4,True,star-free
rand_009,2,2,True,3,True,star-free
rand_010,3,3,True,6,True,star-free
rand_011,3,4,True,8,True,star-free
rand_012,3,2,True,3,True,star-free
rand_013,2,2,True,3,True,star-free
rand_014,3,2,True,3,True,star-free
rand_015,3,3,True,4,True,star-free
rand_016,2,4,True,7,True,star-free
rand_017,2,3,True,5,True,star-free
rand_018,3,4,True,8,True,star-free
rand_019,2,2,True,3,True,star-free
rand_020,2,3,True,5,True,star-free
rand_021,3,3,True,5,True,star-free
rand_022,3,3,True,4,True,star-free
rand_023,2,3,True,5,True,star-free
rand_024,3,3,True,5,True,star-free
rand_025,2,2,True,3,True,star-free
rand_026,2,3,True,5,True,star-free
rand_027,2,4,True,7,True,star-free
rand_028,3,4,True,7,True,star-free
rand_029,3,5,True,10,True,star-free
rand_030,3,2,True,3,True,star-free
rand_031,3,2,True,3,True,star-free
rand_032,3,5,True,10,True,star-free
rand_033,2,3,True,5,True,star-free
rand_034,2,4,True,6,True,star-free
rand_035,3,4,True,8,True,star-free
rand_036,2,3,True,5,True,star-free
rand_037,3,4,True,5,True,star-free
rand_038,3,4,True,6,True,star-free
rand_039,2,3,True,5,True,star-free
rand_040,2,1,True,1,True,empty
rand_041,3,1,True,1,True,empty
rand_042,2,1,True,1,True,empty
rand_043,2,1,True,1,True,empty
rand_044,2,1,True,1,True,empty
rand_045,3,1,True,1,True,empty
rand_046,3,1,True,1,True,empty
rand_047,3,1,True,1,True,empty
