language,alphabet,dfa_states,aperiodic,monoid_size,dfa_matches_program,classification
rand_000,3,4,True,7,True,star-free
rand_001,2,12,True,15,True,star-free
rand_002,3,5,True,9,True,star-free
rand_003,2,4,True,6,True,star-free
rand_004,2,7,True,8,True,star-free
rand_005,3,4,True,8,True,star-free
rand_006,2,4,True,5,True,star-free
rand_007,3,5,True,7,True,star-free
rand_008,2,4,True,6,True,star-free
rand_009,3,4,True,5,True,star-free
rand_010,3,5,True,13,True,star-free
rand_011,3,4,True,8,True,star-free
rand_012,3,4,True,8,True,star-free
rand_013,3,4,True,7,True,star-free
rand_014,2,6,True,11,True,star-free
rand_015,3,6,True,12,True,star-free
rand_016,2,7,True,13,True,star-free
rand_017,3,10,True,16,True,star-free
rand_018,2,5,True,10,True,star-free
rand_019,2,8,True,14,True,star-free
rand_020,2,4,True,8,True,star-free
rand_021,3,4,True,8,True,star-free
rand_022,3,6,True,28,True,star-free
rand_023,3,8,True,25,True,star-free
rand_024,3,5,True,10,True,star-free
rand_025,3,5,True,9,True,star-free
rand_026,3,6,True,16,True,star-free
rand_027,3,4,True,7,True,star-free
rand_028,3,4,True,5,True,star-free
rand_029,3,4,True,7,True,star-free
rand_030,2,8,True,21,True,star-free
rand_031,2,5,True,8,True,star-free
rand_032,3,4,True,7,True,star-free
rand_033,2,4,True,7,True,star-free
rand_034,2,4,True,5,True,star-free
rand_035,2,4,True,7,True,star-free
rand_036,3,4,True,4,True,star-free
rand_037,2,5,True,10,True,star-free
rand_038,3,6,True,8,True,star-free
rand_039,2,5,True,6,True,star-free
rand_040,3,4,True,9,True,star-free
rand_041,2,4,True,5,True,star-free
rand_042,2,7,True,20,True,star-free
rand_043,2,5,True,6,True,star-free
rand_044,3,5,True,11,True,star-free
rand_045,2,4,True,8,True,star-free
rand_046,3,8,True,14,True,star-free
rand_047,3,4,True,9,True,star-free
rand_048,2,5,True,6,True,star-free
rand_049,3,6,True,12,True,star-free
rand_050,3,5,True,8,True,star-free
rand_051,3,4,True,7,True,star-free
rand_052,2,4,True,7,True,star-free
rand_053,3,4,True,7,True,star-free
rand_054,2,5,True,10,True,star-free
rand_055,2,5,True,11,True,star-free
rand_056,3,4,True,7,True,star-free
rand_057,3,4,True,8,True,star-free
rand_058,3,9,True,46,True,star-free
rand_059,3,5,True,11,True,star-free
rand_060,3,4,True,6,True,star-free
rand_061,2,4,True,7,True,star-free
rand_062,3,7,True,11,True,star-free
rand_063,2,11,True,14,True,star-free
rand_064,3,4,True,7,True,star-free
rand_065,2,5,True,6,True,star-free
rand_066,3,5,True,13,True,star-free
rand_067,3,4,True,5,True,star-free
rand_068,3,4,True,8,True,star-free
rand_069,3,4,True,5,True,star-free
rand_070,2,6,True,8,True,star-free
rand_071,2,4,True,6,True,star-free
rand_072,2,7,True,10,True,star-free
rand_073,3,4,True,6,True,star-free
rand_074,3,9,True,15,True,star-free
rand_075,3,5,True,5,True,star-free
rand_076,3,15,True,34,True,star-free
rand_077,2,4,True,8,True,star-free
rand_078,2,4,True,8,True,star-free
rand_079,3,8,True,14,True,star-free
rand_080,3,10,True,26,True,star-free
rand_081,3,5,True,6,True,star-free
rand_082,2,6,True,12,True,star-free
rand_083,3,5,True,9,True,star-free
rand_084,3,14,True,47,True,star-free
rand_085,2,4,True,6,True,star-free
rand_086,3,4,True,5,True,star-free
rand_087,3,4,True,8,True,star-free
rand_088,3,4,True,8,True,star-free
rand_089,3,4,True,6,True,star-free
rand_090,3,5,True,7,True,star-free
rand_091,2,5,True,8,True,star-free
rand_092,3,4,True,5,True,star-free
rand_093,3,4,True,8,True,star-free
rand_094,3,5,True,6,True,star-free
rand_095,3,7,True,13,True,star-free
rand_096,2,5,True,6,True,star-free
rand_097,2,4,True,7,True,star-free
rand_098,3,5,True,8,True,star-free
rand_099,2,6,True,8,True,star-free
rand_100,2,1,True,1,True,empty
rand_101,3,1,True,1,True,empty
rand_102,3,1,True,1,True,empty
rand_103,3,1,True,1,True,empty
rand_104,2,1,True,1,True,empty
rand_105,2,1,True,1,True,empty
rand_106,2,1,True,1,True,empty
rand_107,2,1,True,1,True,empty
