name,source,language,base_depth,depth,attention_ops,dfa_states,alphabet,path,equivalent
rand_000_d3,examples/brasp/random100/rand_000.brasp,rand_000,3,3,4,4,3,examples/brasp/padded/rand_000_d3.brasp,PROVED
rand_000_d6,examples/brasp/random100/rand_000.brasp,rand_000,3,6,7,4,3,examples/brasp/padded/rand_000_d6.brasp,PROVED
rand_000_d9,examples/brasp/random100/rand_000.brasp,rand_000,3,9,10,4,3,examples/brasp/padded/rand_000_d9.brasp,PROVED
rand_012_d3,examples/brasp/random100/rand_012.brasp,rand_012,1,3,6,4,3,examples/brasp/padded/rand_012_d3.brasp,PROVED
rand_012_d6,examples/brasp/random100/rand_012.brasp,rand_012,1,6,9,4,3,examples/brasp/padded/rand_012_d6.brasp,PROVED
rand_012_d9,examples/brasp/random100/rand_012.brasp,rand_012,1,9,12,4,3,examples/brasp/padded/rand_012_d9.brasp,PROVED
rand_032_d3,examples/brasp/random100/rand_032.brasp,rand_032,2,3,4,4,3,examples/brasp/padded/rand_032_d3.brasp,PROVED
rand_032_d6,examples/brasp/random100/rand_032.brasp,rand_032,2,6,7,4,3,examples/brasp/padded/rand_032_d6.brasp,PROVED
rand_032_d9,examples/brasp/random100/rand_032.brasp,rand_032,2,9,10,4,3,examples/brasp/padded/rand_032_d9.brasp,PROVED
rand_041_d3,examples/brasp/random100/rand_041.brasp,rand_041,1,3,5,4,2,examples/brasp/padded/rand_041_d3.brasp,PROVED
rand_041_d6,examples/brasp/random100/rand_041.brasp,rand_041,1,6,8,4,2,examples/brasp/padded/rand_041_d6.brasp,PROVED
rand_041_d9,examples/brasp/random100/rand_041.brasp,rand_041,1,9,11,4,2,examples/brasp/padded/rand_041_d9.brasp,PROVED
rand_053_d3,examples/brasp/random100/rand_053.brasp,rand_053,3,3,3,4,3,examples/brasp/padded/rand_053_d3.brasp,PROVED
rand_053_d6,examples/brasp/random100/rand_053.brasp,rand_053,3,6,6,4,3,examples/brasp/padded/rand_053_d6.brasp,PROVED
rand_053_d9,examples/brasp/random100/rand_053.brasp,rand_053,3,9,9,4,3,examples/brasp/padded/rand_053_d9.brasp,PROVED
rand_073_d3,examples/brasp/random100/rand_073.brasp,rand_073,3,3,3,4,3,examples/brasp/padded/rand_073_d3.brasp,PROVED
rand_073_d6,examples/brasp/random100/rand_073.brasp,rand_073,3,6,6,4,3,examples/brasp/padded/rand_073_d6.brasp,PROVED
rand_073_d9,examples/brasp/random100/rand_073.brasp,rand_073,3,9,9,4,3,examples/brasp/padded/rand_073_d9.brasp,PROVED
rand_089_d3,examples/brasp/random100/rand_089.brasp,rand_089,2,3,4,4,3,examples/brasp/padded/rand_089_d3.brasp,PROVED
rand_089_d6,examples/brasp/random100/rand_089.brasp,rand_089,2,6,7,4,3,examples/brasp/padded/rand_089_d6.brasp,PROVED
rand_089_d9,examples/brasp/random100/rand_089.brasp,rand_089,2,9,10,4,3,examples/brasp/padded/rand_089_d9.brasp,PROVED
rand_018_d3,examples/brasp/random100/rand_018.brasp,rand_018,2,3,6,5,2,examples/brasp/padded/rand_018_d3.brasp,PROVED
rand_018_d6,examples/brasp/random100/rand_018.brasp,rand_018,2,6,9,5,2,examples/brasp/padded/rand_018_d6.brasp,PROVED
rand_018_d9,examples/brasp/random100/rand_018.brasp,rand_018,2,9,12,5,2,examples/brasp/padded/rand_018_d9.brasp,PROVED
rand_044_d3,examples/brasp/random100/rand_044.brasp,rand_044,2,3,5,5,3,examples/brasp/padded/rand_044_d3.brasp,PROVED
rand_044_d6,examples/brasp/random100/rand_044.brasp,rand_044,2,6,8,5,3,examples/brasp/padded/rand_044_d6.brasp,PROVED
rand_044_d9,examples/brasp/random100/rand_044.brasp,rand_044,2,9,11,5,3,examples/brasp/padded/rand_044_d9.brasp,PROVED
rand_066_d3,examples/brasp/random100/rand_066.brasp,rand_066,3,3,5,5,3,examples/brasp/padded/rand_066_d3.brasp,PROVED
rand_066_d6,examples/brasp/random100/rand_066.brasp,rand_066,3,6,8,5,3,examples/brasp/padded/rand_066_d6.brasp,PROVED
rand_066_d9,examples/brasp/random100/rand_066.brasp,rand_066,3,9,11,5,3,examples/brasp/padded/rand_066_d9.brasp,PROVED
rand_094_d3,examples/brasp/random100/rand_094.brasp,rand_094,3,3,4,5,3,examples/brasp/padded/rand_094_d3.brasp,PROVED
rand_094_d6,examples/brasp/random100/rand_094.brasp,rand_094,3,6,7,5,3,examples/brasp/padded/rand_094_d6.brasp,PROVED
rand_094_d9,examples/brasp/random100/rand_094.brasp,rand_094,3,9,10,5,3,examples/brasp/padded/rand_094_d9.brasp,PROVED
rand_016_d3,examples/brasp/random100/rand_016.brasp,rand_016,3,3,5,7,2,examples/brasp/padded/rand_016_d3.brasp,PROVED
rand_016_d6,examples/brasp/random100/rand_016.brasp,rand_016,3,6,8,7,2,examples/brasp/padded/rand_016_d6.brasp,PROVED
rand_016_d9,examples/brasp/random100/rand_016.brasp,rand_016,3,9,11,7,2,examples/brasp/padded/rand_016_d9.brasp,PROVED
