instance,verdict,compile_s,encode_s,abc_s,total_s,wall_s
dot_depth__k-1__sigma-2,NOT_PROVED,0.17,0.06,0.19,0.42,0.9
dot_depth__k-1__sigma-4,NOT_PROVED,0.19,0.09,0.16,0.43,0.8
dot_depth__k-100__sigma-2,NOT_PROVED,0.25,0.61,0.22,1.08,1.4
dot_depth__k-1200__sigma-2,NOT_PROVED,0.71,2.65,0.92,4.28,4.6
dot_depth__k-1600__sigma-2,NOT_PROVED,0.75,3.03,1.25,5.03,5.3
dot_depth__k-200__sigma-2,NOT_PROVED,0.38,0.61,0.18,1.17,1.5
dot_depth__k-2400__sigma-2,NOT_PROVED,0.81,4.47,2.43,7.72,8.0
dot_depth__k-3200__sigma-2,NOT_PROVED,1.24,4.90,2.72,8.85,9.2
dot_depth__k-400__sigma-2,NOT_PROVED,0.36,0.90,0.22,1.47,1.8
dot_depth__k-5__sigma-2,NOT_PROVED,0.19,0.09,0.14,0.42,0.7
dot_depth__k-5__sigma-4,NOT_PROVED,0.18,0.12,0.14,0.44,0.7
dot_depth__k-800__sigma-2,NOT_PROVED,0.52,1.45,0.39,2.36,2.6
two_var__monotone_past__sigma-128,NOT_PROVED,0.44,1.07,6.55,8.07,8.4
two_var__monotone_past__sigma-16,NOT_PROVED,0.19,0.15,0.15,0.49,0.8
two_var__monotone_past__sigma-2,NOT_PROVED,0.17,0.06,0.13,0.36,0.6
two_var__monotone_past__sigma-256,NOT_PROVED,1.06,5.31,86.71,93.08,93.4
two_var__monotone_past__sigma-32,NOT_PROVED,0.23,0.23,0.23,0.69,1.0
two_var__monotone_past__sigma-4,NOT_PROVED,0.17,0.07,0.12,0.36,0.6
two_var__monotone_past__sigma-64,NOT_PROVED,0.28,0.36,0.80,1.44,1.7
two_var__monotone_past__sigma-8,NOT_PROVED,0.17,0.09,0.12,0.38,0.6
two_var__prev_repeats__sigma-128,NOT_PROVED,0.24,0.35,0.45,1.03,1.3
two_var__prev_repeats__sigma-16,NOT_PROVED,0.18,0.12,0.18,0.48,0.7
two_var__prev_repeats__sigma-2,NOT_PROVED,0.16,0.06,0.12,0.34,0.6
two_var__prev_repeats__sigma-256,NOT_PROVED,0.31,0.74,1.35,2.40,2.7
two_var__prev_repeats__sigma-32,NOT_PROVED,0.18,0.14,0.15,0.46,0.7
two_var__prev_repeats__sigma-4,NOT_PROVED,0.18,0.10,0.12,0.40,0.6
two_var__prev_repeats__sigma-64,NOT_PROVED,0.20,0.20,0.22,0.61,0.9
two_var__prev_repeats__sigma-8,NOT_PROVED,0.16,0.10,0.12,0.38,0.6
two_var__same_letter_before__sigma-128,NOT_PROVED,0.23,0.35,0.47,1.05,1.3
two_var__same_letter_before__sigma-16,NOT_PROVED,0.17,0.11,0.12,0.41,0.7
two_var__same_letter_before__sigma-2,NOT_PROVED,0.16,0.07,0.12,0.35,0.6
two_var__same_letter_before__sigma-256,NOT_PROVED,0.39,0.71,1.38,2.49,2.8
two_var__same_letter_before__sigma-32,NOT_PROVED,0.18,0.14,0.15,0.47,0.7
two_var__same_letter_before__sigma-4,NOT_PROVED,0.16,0.12,0.12,0.40,0.7
two_var__same_letter_before__sigma-64,NOT_PROVED,0.19,0.19,0.22,0.61,0.9
two_var__same_letter_before__sigma-8,NOT_PROVED,0.18,0.11,0.12,0.41,0.7
two_var__since_same_letter__sigma-128,NOT_PROVED,0.23,0.34,0.47,1.04,1.3
two_var__since_same_letter__sigma-16,NOT_PROVED,0.17,0.11,0.13,0.41,0.7
two_var__since_same_letter__sigma-2,NOT_PROVED,0.16,0.08,0.13,0.37,0.6
two_var__since_same_letter__sigma-256,NOT_PROVED,0.32,0.84,1.41,2.57,2.9
two_var__since_same_letter__sigma-32,NOT_PROVED,0.17,0.14,0.16,0.47,0.7
two_var__since_same_letter__sigma-4,NOT_PROVED,0.16,0.12,0.12,0.40,0.7
two_var__since_same_letter__sigma-64,NOT_PROVED,0.19,0.20,0.27,0.67,0.9
two_var__since_same_letter__sigma-8,NOT_PROVED,0.17,0.14,0.13,0.44,0.7
y_depth__k-1,NOT_PROVED,0.14,0.06,0.13,0.34,0.7
y_depth__k-10,NOT_PROVED,0.16,0.11,0.13,0.40,0.7
y_depth__k-100,NOT_PROVED,0.19,0.18,0.14,0.51,0.8
y_depth__k-15,NOT_PROVED,0.16,0.11,0.13,0.40,0.7
y_depth__k-2000,NOT_PROVED,0.28,0.85,0.41,1.54,1.8
y_depth__k-32000,NOT_PROVED,1.28,13.63,49.12,64.03,64.4
y_depth__k-5,NOT_PROVED,0.17,0.13,0.20,0.50,0.8
y_depth__k-500,NOT_PROVED,0.26,0.38,0.20,0.84,1.2
y_depth__k-8000,NOT_PROVED,0.54,2.80,3.05,6.40,6.7
y_depth__no_two_a__k-1,NOT_PROVED,0.18,0.08,0.13,0.39,0.7
y_depth__no_two_a__k-1000,NOT_PROVED,0.30,0.59,0.15,1.04,1.3
y_depth__no_two_a__k-16000,NOT_PROVED,0.78,6.74,0.49,8.01,8.4
y_depth__no_two_a__k-4000,NOT_PROVED,0.41,1.49,0.20,2.10,2.4
y_depth__no_two_a__k-5,NOT_PROVED,0.18,0.15,0.13,0.46,0.7
y_depth__no_two_a__k-64000,NOT_PROVED,1.96,32.83,3.11,37.89,38.4
