task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,3,1,1,3,50.9,1.0,1.0,0.5,ok,false,non-empty,2.02,false,true
rand_001,3,1,2,3,123.1,1.0,1.0,0.5,ok,false,non-empty,1.5,false,true
rand_002,3,1,1,3,38.4,1.0,1.0,0.5,ok,false,non-empty,1.55,false,true
rand_003,3,1,1,3,39.6,1.0,1.0,0.5,ok,false,non-empty,1.47,false,true
rand_004,4,1,1,4,59.3,1.0,1.0,0.5,ok,false,non-empty,1.59,false,true
rand_005,2,1,1,2,44.9,1.0,1.0,0.5,ok,false,non-empty,1.46,false,true
rand_006,2,1,2,2,47.6,1.0,1.0,0.5,ok,false,non-empty,1.47,false,true
rand_007,2,1,1,2,44.8,1.0,1.0,0.5,ok,false,non-empty,1.46,false,true
rand_008,4,1,1,3,58.4,1.0,1.0,0.5,ok,false,non-empty,1.41,false,true
rand_009,2,1,1,2,39.6,1.0,1.0,0.5,ok,false,non-empty,1.4,false,true
rand_011,4,1,1,2,42.5,1.0,1.0,0.5,ok,false,non-empty,1.37,false,true
rand_012,1,1,1,1,28.0,1.0,1.0,0.5,ok,false,non-empty,1.38,false,true
rand_013,3,1,2,2,55.0,1.0,1.0,0.5,ok,false,non-empty,1.51,false,true
rand_014,3,1,2,3,117.6,1.0,1.0,0.5,ok,false,non-empty,1.79,false,true
rand_015,3,1,2,3,123.9,1.0,1.0,0.5,ok,false,non-empty,1.63,false,true
rand_016,3,1,1,3,147.9,1.0,1.0,0.5,ok,false,non-empty,1.5,false,true
rand_018,2,1,1,2,40.8,1.0,1.0,0.5,ok,false,non-empty,1.42,false,true
rand_019,3,2,1,6,96.0,1.0,1.0,0.5,ok,false,non-empty,1.46,false,true
rand_020,3,1,1,3,76.2,1.0,1.0,0.5,ok,false,non-empty,1.46,false,true
rand_021,4,1,2,4,213.0,1.0,1.0,0.5,ok,false,non-empty,1.5,false,true
rand_023,4,2,2,8,237.4,1.0,1.0,0.5,ok,false,non-empty,1.74,false,true
rand_024,2,1,1,2,112.9,1.0,1.0,0.5,ok,false,non-empty,1.52,false,true
rand_025,4,1,2,4,76.1,1.0,1.0,0.5,ok,false,non-empty,1.47,false,true
rand_027,3,1,2,3,63.5,1.0,1.0,0.5,ok,false,non-empty,1.49,false,true
rand_028,3,1,1,3,50.4,1.0,1.0,0.5,ok,false,non-empty,1.4,false,true
rand_029,3,1,1,3,50.8,1.0,1.0,0.5,ok,false,non-empty,1.34,false,true
rand_030,4,1,1,4,113.8,1.0,1.0,0.5,ok,false,non-empty,1.42,false,true
rand_031,3,1,1,3,37.2,1.0,1.0,0.5,ok,false,non-empty,1.38,false,true
rand_032,2,1,1,2,40.5,1.0,1.0,0.5,ok,false,non-empty,1.41,false,true
rand_033,2,1,1,2,41.0,1.0,1.0,0.5,ok,false,non-empty,1.35,false,true
rand_034,3,1,1,1,51.1,1.0,1.0,0.5,ok,false,non-empty,1.32,false,true
rand_035,3,1,1,3,91.6,1.0,1.0,0.5,ok,false,non-empty,1.33,false,true
rand_036,2,1,1,2,42.9,1.0,1.0,0.5,ok,false,non-empty,1.33,false,true
rand_037,3,1,1,3,93.7,1.0,1.0,0.5,ok,false,non-empty,1.33,false,true
rand_038,4,2,2,8,110.4,1.0,1.0,0.5,ok,false,non-empty,1.59,false,true
rand_039,3,1,1,3,48.3,1.0,1.0,0.5,ok,false,non-empty,1.37,false,true
rand_040,3,1,1,3,51.0,1.0,1.0,0.5,ok,false,non-empty,1.43,false,true
rand_041,1,2,1,1,37.6,1.0,1.0,0.5,ok,false,non-empty,1.34,false,true
rand_043,3,1,1,2,53.8,1.0,1.0,0.5,ok,false,non-empty,1.3,false,true
rand_044,2,1,1,2,94.9,1.0,1.0,0.5,ok,false,non-empty,1.36,false,true
rand_045,3,1,1,3,50.2,1.0,1.0,0.5,ok,false,non-empty,1.3,false,true
rand_047,3,1,1,3,144.6,1.0,1.0,0.5,ok,false,non-empty,1.34,false,true
rand_048,4,1,2,4,139.0,1.0,1.0,0.5,ok,false,non-empty,1.33,false,true
rand_049,3,1,2,3,184.6,1.0,1.0,0.5,ok,false,non-empty,1.39,false,true
rand_050,4,1,2,4,80.1,1.0,1.0,0.5,ok,false,non-empty,1.49,false,true
rand_051,3,1,1,3,50.8,1.0,1.0,0.5,ok,false,non-empty,1.43,false,true
rand_052,2,1,1,2,41.8,1.0,1.0,0.5,ok,false,non-empty,1.33,false,true
rand_053,3,1,1,3,50.8,1.0,1.0,0.5,ok,false,non-empty,1.36,false,true
rand_054,3,1,1,3,99.3,1.0,1.0,0.5,ok,false,non-empty,1.36,false,true
rand_055,2,1,1,2,72.2,1.0,1.0,0.5,ok,false,non-empty,1.38,false,true
rand_056,2,1,1,2,43.5,1.0,1.0,0.5,ok,false,non-empty,1.35,false,true
rand_057,3,1,1,3,50.5,1.0,1.0,0.5,ok,false,non-empty,1.37,false,true
rand_059,2,1,1,2,81.1,1.0,1.0,0.5,ok,false,non-empty,1.42,false,true
rand_060,1,2,1,1,40.2,1.0,1.0,0.5,ok,false,non-empty,1.41,false,true
rand_061,3,1,1,2,49.0,1.0,1.0,0.5,ok,false,non-empty,1.36,false,true
rand_062,3,2,2,6,304.7,1.0,1.0,0.5,ok,false,non-empty,1.75,false,true
