task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_001,9,1,2,8,9,3,8,examples/brasp/random_deeper/rand_001.brasp
rand_002,11,1,1,9,11,3,8,examples/brasp/random_deeper/rand_002.brasp
rand_003,9,1,2,9,9,5,8,examples/brasp/random_deeper/rand_003.brasp
rand_004,9,1,1,6,9,8,8,examples/brasp/random_deeper/rand_004.brasp
rand_006,9,1,2,7,9,1,8,examples/brasp/random_deeper/rand_006.brasp
rand_007,9,1,1,6,9,8,8,examples/brasp/random_deeper/rand_007.brasp
rand_008,9,1,1,6,9,6,8,examples/brasp/random_deeper/rand_008.brasp
rand_009,11,1,1,4,11,8,8,examples/brasp/random_deeper/rand_009.brasp
rand_010,11,1,1,6,11,8,8,examples/brasp/random_deeper/rand_010.brasp
rand_011,9,1,2,9,9,4,8,examples/brasp/random_deeper/rand_011.brasp
rand_012,10,1,1,7,10,7,8,examples/brasp/random_deeper/rand_012.brasp
rand_013,9,1,2,6,9,2,7,examples/brasp/random_deeper/rand_013.brasp
rand_015,9,1,1,7,9,8,8,examples/brasp/random_deeper/rand_015.brasp
