family,k,dfa,dfa_median,dfa_runs,abc,abc_median,abc_runs
first,2,NONEMPTY,0.8,1 1 1,NONEMPTY,0.8,1 1 1
first,5,NONEMPTY,1.3,1 1 1,NONEMPTY,3.0,3 2 4
first,8,NONEMPTY,17.9,30 9 18,NONEMPTY,17.4,35 17 15
first,10,TIMEOUT,125,125,?,36.1,36 35 37
first,15,TIMEOUT,125,125,?,32.3,37 32 31
first,20,TIMEOUT,125,125,?,41.1,41 45 40
marks,1,NONEMPTY,0.5,0 0 0,NONEMPTY,0.6,1 1 1
marks,5,NONEMPTY,0.5,0 0 1,NONEMPTY,0.8,1 1 1
marks,10,NONEMPTY,0.9,1 1 1,NONEMPTY,1.5,1 2 2
marks,15,NONEMPTY,1.5,1 2 1,NONEMPTY,1.9,2 2 2
marks,20,NONEMPTY,1.3,2 1 1,NONEMPTY,1.5,1 1 1
marked_same,1,NONEMPTY,0.9,1 1 1,NONEMPTY,0.9,1 1 1
marked_same,5,NONEMPTY,0.7,1 1 1,NONEMPTY,0.8,1 1 1
marked_same,10,NONEMPTY,0.7,1 1 1,NONEMPTY,0.8,1 1 1
marked_same,15,NONEMPTY,1.1,1 1 1,NONEMPTY,1.3,1 1 2
marked_same,20,NONEMPTY,4.0,2 4 7,NONEMPTY,5.8,4 9 6
