instance,verdict,compile_s,explore_s,total_s,wall_s,disjuncts
dot_depth__k-1__sigma-2,NOT_PROVED,0.20,0.02,0.22,0.7,
dot_depth__k-1__sigma-4,NOT_PROVED,0.17,0.02,0.18,0.4,
dot_depth__k-100__sigma-2,NOT_PROVED,0.22,0.15,0.37,0.6,
dot_depth__k-1200__sigma-2,NOT_PROVED,1.36,7.14,8.50,8.9,
dot_depth__k-1600__sigma-2,NOT_PROVED,1.80,12.11,13.91,14.3,
dot_depth__k-200__sigma-2,NOT_PROVED,0.29,0.35,0.64,1.0,
dot_depth__k-2400__sigma-2,NOT_PROVED,2.70,25.01,27.70,28.1,
dot_depth__k-3200__sigma-2,NOT_PROVED,4.36,51.72,56.08,56.5,
dot_depth__k-400__sigma-2,NOT_PROVED,0.49,1.10,1.59,2.1,
dot_depth__k-5__sigma-2,NOT_PROVED,0.18,0.02,0.20,0.5,
dot_depth__k-5__sigma-4,NOT_PROVED,0.19,0.03,0.22,0.5,
dot_depth__k-800__sigma-2,NOT_PROVED,0.76,2.85,3.61,3.9,
gastin_oddoux_depth__k-1,NOT_PROVED,0.18,0.02,0.20,0.5,
gastin_oddoux_depth__k-10,NOT_PROVED,0.19,0.03,0.21,0.5,
gastin_oddoux_depth__k-100,NOT_PROVED,0.26,0.15,0.41,0.7,
gastin_oddoux_depth__k-200,NOT_PROVED,0.32,0.32,0.64,0.9,
gastin_oddoux_depth__k-50,NOT_PROVED,0.22,0.08,0.30,0.6,
gastin_oddoux_depth__k-500,NOT_PROVED,0.49,1.24,1.73,2.0,
markey_agreement__n-1,NOT_PROVED,0.20,0.04,0.24,0.5,
markey_agreement__n-2,NOT_PROVED,0.31,0.10,0.41,0.8,
markey_agreement__n-3,NOT_PROVED,0.31,0.39,0.71,1.0,
markey_agreement__n-4,NOT_PROVED,0.51,5.41,5.92,6.2,
markey_agreement__n-5,NOT_PROVED,0.86,94.44,95.30,95.6,
markey_agreement__n-6,TIMEOUT,,,,120.2,
markey_agreement__n-7,BLOWUP,0.00,,0.00,0.4,16
markey_agreement__n-8,BLOWUP,0.00,,0.00,0.4,18
two_var__monotone_past__sigma-128,BLOWUP,0.00,,0.00,0.7,127
two_var__monotone_past__sigma-16,BLOWUP,0.00,,0.00,0.4,15
two_var__monotone_past__sigma-2,PROVED,0.19,0.02,0.21,0.5,
two_var__monotone_past__sigma-256,BLOWUP,0.00,,0.00,1.6,255
two_var__monotone_past__sigma-32,BLOWUP,0.00,,0.00,0.4,31
two_var__monotone_past__sigma-4,PROVED,0.20,0.03,0.22,0.5,
two_var__monotone_past__sigma-64,BLOWUP,0.00,,0.00,0.5,63
two_var__monotone_past__sigma-8,PROVED,0.34,0.12,0.46,0.8,
two_var__prev_repeats__sigma-128,BLOWUP,0.00,,0.00,0.4,128
two_var__prev_repeats__sigma-16,BLOWUP,0.00,,0.00,0.4,16
two_var__prev_repeats__sigma-2,NOT_PROVED,0.18,0.02,0.21,0.5,
two_var__prev_repeats__sigma-256,BLOWUP,0.00,,0.00,0.4,256
two_var__prev_repeats__sigma-32,BLOWUP,0.00,,0.00,0.4,32
two_var__prev_repeats__sigma-4,NOT_PROVED,0.21,0.04,0.25,0.6,
two_var__prev_repeats__sigma-64,BLOWUP,0.00,,0.00,0.4,64
two_var__prev_repeats__sigma-8,NOT_PROVED,0.34,0.19,0.53,0.8,
two_var__same_letter_before__sigma-128,BLOWUP,0.00,,0.00,0.4,128
two_var__same_letter_before__sigma-16,BLOWUP,0.00,,0.00,0.4,16
two_var__same_letter_before__sigma-2,NOT_PROVED,0.23,0.03,0.26,0.6,
two_var__same_letter_before__sigma-256,BLOWUP,0.00,,0.00,0.5,256
two_var__same_letter_before__sigma-32,BLOWUP,0.00,,0.00,0.4,32
two_var__same_letter_before__sigma-4,NOT_PROVED,0.26,0.05,0.31,0.6,
two_var__same_letter_before__sigma-64,BLOWUP,0.00,,0.00,0.4,64
two_var__same_letter_before__sigma-8,NOT_PROVED,0.48,0.21,0.69,1.1,
two_var__since_same_letter__sigma-128,BLOWUP,0.00,,0.00,0.6,128
two_var__since_same_letter__sigma-16,BLOWUP,0.00,,0.00,0.5,16
two_var__since_same_letter__sigma-2,NOT_PROVED,0.34,0.04,0.38,0.8,
two_var__since_same_letter__sigma-256,BLOWUP,0.00,,0.00,0.7,256
two_var__since_same_letter__sigma-32,BLOWUP,0.00,,0.00,0.5,32
two_var__since_same_letter__sigma-4,NOT_PROVED,0.31,0.08,0.39,0.8,
two_var__since_same_letter__sigma-64,BLOWUP,0.00,,0.00,0.7,64
two_var__since_same_letter__sigma-8,NOT_PROVED,0.49,0.27,0.77,1.2,
y_depth__k-1,NOT_PROVED,0.23,0.03,0.26,0.7,
y_depth__k-10,NOT_PROVED,0.25,0.34,0.58,1.0,
y_depth__k-100,TIMEOUT,,,,121.5,
y_depth__k-15,NOT_PROVED,0.26,4.23,4.49,5.1,
y_depth__k-2000,TIMEOUT,,,,120.5,
y_depth__k-32000,TIMEOUT,,,,120.2,
y_depth__k-5,NOT_PROVED,0.75,0.12,0.87,1.7,
y_depth__k-500,TIMEOUT,,,,120.5,
y_depth__k-8000,TIMEOUT,,,,120.4,
y_depth__no_two_a__k-1,NOT_PROVED,0.33,0.03,0.37,1.0,
y_depth__no_two_a__k-1000,TIMEOUT,,,,120.7,
y_depth__no_two_a__k-16000,TIMEOUT,,,,120.2,
y_depth__no_two_a__k-4000,TIMEOUT,,,,120.3,
y_depth__no_two_a__k-5,NOT_PROVED,0.30,0.09,0.40,0.8,
y_depth__no_two_a__k-64000,TIMEOUT,,,,120.1,
