instance,verdict,compile_s,encode_s,abc_s,total_s,wall_s
dot_depth__k-1__sigma-2,NOT_PROVED,0.29,0.11,0.31,0.71,1.1
dot_depth__k-1__sigma-4,NOT_PROVED,0.27,0.12,0.15,0.54,0.9
dot_depth__k-100__sigma-2,NOT_PROVED,0.42,0.69,0.26,1.37,1.7
dot_depth__k-1200__sigma-2,NOT_PROVED,0.94,5.20,4.10,10.24,10.7
dot_depth__k-1600__sigma-2,NOT_PROVED,1.61,5.70,3.98,11.28,11.8
dot_depth__k-200__sigma-2,NOT_PROVED,1.14,1.37,0.41,2.91,3.5
dot_depth__k-2400__sigma-2,NOT_PROVED,1.82,9.38,7.72,18.93,19.4
dot_depth__k-3200__sigma-2,NOT_PROVED,4.04,12.60,7.47,24.11,24.8
dot_depth__k-400__sigma-2,NOT_PROVED,0.46,1.09,0.39,1.95,2.3
dot_depth__k-5__sigma-2,NOT_PROVED,0.25,0.12,0.15,0.51,0.9
dot_depth__k-5__sigma-4,NOT_PROVED,0.29,0.15,0.17,0.60,0.9
dot_depth__k-800__sigma-2,NOT_PROVED,0.88,2.10,1.06,4.04,4.8
two_var__monotone_past__sigma-128,NOT_PROVED,5.75,4.79,19.19,29.73,30.3
two_var__monotone_past__sigma-16,NOT_PROVED,0.26,0.19,0.17,0.62,0.9
two_var__monotone_past__sigma-2,NOT_PROVED,0.20,0.08,0.14,0.41,0.7
two_var__monotone_past__sigma-256,NOT_PROVED,23.54,12.42,149.96,185.92,186.5
two_var__monotone_past__sigma-32,NOT_PROVED,0.33,0.26,0.31,0.90,1.2
two_var__monotone_past__sigma-4,NOT_PROVED,0.18,0.11,0.12,0.41,0.7
two_var__monotone_past__sigma-64,NOT_PROVED,0.91,0.51,1.42,2.84,3.1
two_var__monotone_past__sigma-8,NOT_PROVED,0.19,0.13,0.12,0.44,0.7
two_var__prev_repeats__sigma-128,NOT_PROVED,0.34,0.46,1.01,1.82,2.1
two_var__prev_repeats__sigma-16,NOT_PROVED,0.19,0.12,0.14,0.45,0.7
two_var__prev_repeats__sigma-2,NOT_PROVED,0.17,0.07,0.12,0.35,0.6
two_var__prev_repeats__sigma-256,NOT_PROVED,0.38,0.97,3.66,5.01,5.3
two_var__prev_repeats__sigma-32,NOT_PROVED,0.22,0.16,0.19,0.57,0.8
two_var__prev_repeats__sigma-4,NOT_PROVED,0.18,0.10,0.13,0.41,0.7
two_var__prev_repeats__sigma-64,NOT_PROVED,0.21,0.24,0.38,0.83,1.1
two_var__prev_repeats__sigma-8,NOT_PROVED,0.18,0.11,0.12,0.41,0.7
two_var__same_letter_before__sigma-128,NOT_PROVED,0.27,0.43,1.00,1.69,1.9
two_var__same_letter_before__sigma-16,NOT_PROVED,0.19,0.12,0.14,0.45,0.7
two_var__same_letter_before__sigma-2,NOT_PROVED,0.17,0.09,0.13,0.39,0.6
two_var__same_letter_before__sigma-256,NOT_PROVED,0.38,1.02,4.02,5.41,5.7
two_var__same_letter_before__sigma-32,NOT_PROVED,0.23,0.18,0.22,0.62,0.9
two_var__same_letter_before__sigma-4,NOT_PROVED,0.18,0.12,0.13,0.42,0.7
two_var__same_letter_before__sigma-64,NOT_PROVED,0.23,0.27,0.44,0.93,1.2
two_var__same_letter_before__sigma-8,NOT_PROVED,0.19,0.12,0.13,0.45,0.7
two_var__since_same_letter__sigma-128,NOT_PROVED,0.28,0.49,1.19,1.95,2.2
two_var__since_same_letter__sigma-16,NOT_PROVED,0.20,0.14,0.16,0.51,0.8
two_var__since_same_letter__sigma-2,NOT_PROVED,0.19,0.09,0.14,0.42,0.7
two_var__since_same_letter__sigma-256,NOT_PROVED,0.41,1.17,4.28,5.86,6.1
two_var__since_same_letter__sigma-32,NOT_PROVED,0.22,0.18,0.23,0.62,0.9
two_var__since_same_letter__sigma-4,NOT_PROVED,0.19,0.13,0.14,0.46,0.7
two_var__since_same_letter__sigma-64,NOT_PROVED,0.23,0.27,0.41,0.91,1.2
two_var__since_same_letter__sigma-8,NOT_PROVED,0.19,0.15,0.13,0.47,0.7
y_depth__k-1,NOT_PROVED,0.18,0.07,0.13,0.37,0.6
y_depth__k-10,NOT_PROVED,0.18,0.12,0.13,0.43,0.7
y_depth__k-100,NOT_PROVED,0.22,0.20,0.16,0.58,0.8
y_depth__k-15,NOT_PROVED,0.19,0.13,0.13,0.45,0.8
y_depth__k-2000,NOT_PROVED,0.39,0.96,0.39,1.74,2.0
y_depth__k-32000,NOT_PROVED,1.50,16.95,42.25,60.70,61.2
y_depth__k-5,NOT_PROVED,0.17,0.11,0.16,0.43,0.7
y_depth__k-500,NOT_PROVED,0.27,0.38,0.16,0.80,1.1
y_depth__k-8000,NOT_PROVED,0.66,3.64,3.01,7.31,7.6
y_depth__no_two_a__k-1,NOT_PROVED,0.20,0.08,0.12,0.39,0.7
y_depth__no_two_a__k-1000,NOT_PROVED,0.35,0.69,0.28,1.32,1.7
y_depth__no_two_a__k-16000,NOT_PROVED,1.48,7.18,39.55,48.21,48.6
y_depth__no_two_a__k-4000,NOT_PROVED,0.52,1.84,2.26,4.62,4.9
y_depth__no_two_a__k-5,NOT_PROVED,0.18,0.17,0.12,0.47,0.7
y_depth__no_two_a__k-64000,NOT_PROVED,3.08,49.30,1028.52,1080.90,1081.6
