task,stem,source,train,holdout,spec_empty,learned,emptiness_seconds
rand_000,rand_000__l3_h1_t1,examples/brasp/random100/rand_000.brasp,1.0,1.0,false,non-empty,1.46
rand_001,rand_001__l3_h1_t2,examples/brasp/random100/rand_001.brasp,0.986874,0.984127,false,non-empty,1.02
rand_001,rand_001__l6_h1_t1,examples/brasp/random_deep/rand_001.brasp,1.0,1.0,false,non-empty,1.02
rand_001,rand_001__l9_h1_t2,examples/brasp/random_deeper/rand_001.brasp,1.0,1.0,false,non-empty,1.19
rand_002,rand_002__l11_h1_t1,examples/brasp/random_deeper/rand_002.brasp,0.990473,0.981707,false,non-empty,1.32
rand_002,rand_002__l3_h1_t1,examples/brasp/random100/rand_002.brasp,1.0,1.0,false,non-empty,1.35
rand_003,rand_003__l3_h1_t1,examples/brasp/random100/rand_003.brasp,1.0,1.0,false,non-empty,1.9
rand_003,rand_003__l5_h1_t2,examples/brasp/random_deep/rand_003.brasp,0.996032,0.995116,false,non-empty,1.13
rand_003,rand_003__l9_h1_t2,examples/brasp/random_deeper/rand_003.brasp,1.0,1.0,false,non-empty,1.26
rand_004,rand_004__l4_h1_t1,examples/brasp/random100/rand_004.brasp,1.0,1.0,false,non-empty,1.12
rand_004,rand_004__l5_h1_t2,examples/brasp/random_deep/rand_004.brasp,1.0,1.0,false,non-empty,1.25
rand_004,rand_004__l9_h1_t1,examples/brasp/random_deeper/rand_004.brasp,1.0,0.998779,false,non-empty,1.08
rand_005,rand_005__l2_h1_t1,examples/brasp/random100/rand_005.brasp,1.0,1.0,false,non-empty,1.09
rand_005,rand_005__l5_h1_t1,examples/brasp/random_deep/rand_005.brasp,1.0,1.0,false,non-empty,1.4
rand_006,rand_006__l2_h1_t2,examples/brasp/random100/rand_006.brasp,1.0,1.0,false,non-empty,1.05
rand_006,rand_006__l6_h1_t2,examples/brasp/random_deep/rand_006.brasp,1.0,1.0,false,non-empty,1.2
rand_006,rand_006__l9_h1_t2,examples/brasp/random_deeper/rand_006.brasp,0.999389,0.996337,false,non-empty,1.4
rand_007,rand_007__l2_h1_t1,examples/brasp/random100/rand_007.brasp,1.0,1.0,false,non-empty,1.07
rand_007,rand_007__l5_h1_t2,examples/brasp/random_deep/rand_007.brasp,0.994284,0.992378,false,non-empty,1.31
rand_007,rand_007__l9_h1_t1,examples/brasp/random_deeper/rand_007.brasp,1.0,1.0,false,non-empty,1.13
rand_008,rand_008__l4_h1_t1,examples/brasp/random100/rand_008.brasp,1.0,1.0,false,non-empty,1.17
rand_008,rand_008__l5_h1_t1,examples/brasp/random_deep/rand_008.brasp,0.998476,0.995427,false,non-empty,1.1
rand_008,rand_008__l9_h1_t1,examples/brasp/random_deeper/rand_008.brasp,1.0,0.998779,false,non-empty,1.05
rand_009,rand_009__l11_h1_t1,examples/brasp/random_deeper/rand_009.brasp,1.0,1.0,false,non-empty,1.28
rand_009,rand_009__l2_h1_t1,examples/brasp/random100/rand_009.brasp,1.0,1.0,false,non-empty,1.02
rand_010,rand_010__l11_h1_t1,examples/brasp/random_deeper/rand_010.brasp,1.0,1.0,false,non-empty,1.11
rand_010,rand_010__l5_h1_t1,examples/brasp/random_deep/rand_010.brasp,1.0,0.998779,false,non-empty,1.01
rand_011,rand_011__l4_h1_t1,examples/brasp/random100/rand_011.brasp,1.0,0.998476,false,non-empty,1.03
rand_011,rand_011__l6_h1_t2,examples/brasp/random_deep/rand_011.brasp,1.0,0.998476,false,non-empty,1.27
rand_011,rand_011__l9_h1_t2,examples/brasp/random_deeper/rand_011.brasp,1.0,1.0,false,non-empty,1.19
rand_012,rand_012__l10_h1_t1,examples/brasp/random_deeper/rand_012.brasp,1.0,1.0,false,non-empty,0.97
rand_012,rand_012__l1_h1_t1,examples/brasp/random100/rand_012.brasp,1.0,1.0,false,non-empty,0.98
