language,alphabet,dfa_states,aperiodic,monoid_size,dfa_matches_program,classification
rand_000,3,23,True,157,True,star-free
rand_001,2,8,True,13,True,star-free
rand_002,3,7,True,15,True,star-free
rand_003,2,5,True,11,True,star-free
rand_004,2,4,True,7,True,star-free
rand_005,2,12,True,26,True,star-free
rand_006,2,12,True,25,True,star-free
rand_007,2,5,True,10,True,star-free
rand_008,2,4,True,7,True,star-free
rand_009,3,4,True,7,True,star-free
rand_010,2,6,True,11,True,star-free
rand_011,3,5,True,13,True,star-free
rand_012,3,4,True,10,True,star-free
rand_013,3,11,True,43,True,star-free
rand_014,3,17,True,65,True,star-free
rand_015,3,4,True,4,True,star-free
rand_016,2,1,True,1,True,empty
rand_017,2,1,True,1,True,empty
rand_018,2,1,True,1,True,empty
