language,alphabet,dfa_states,aperiodic,monoid_size,dfa_matches_program,classification
rand_000,3,7,True,14,True,star-free
rand_001,3,5,True,9,True,star-free
rand_002,3,6,True,19,True,star-free
rand_003,3,4,True,6,True,star-free
rand_004,3,6,True,14,True,star-free
rand_005,3,5,True,13,True,star-free
rand_006,3,5,True,9,True,star-free
rand_007,3,5,True,9,True,star-free
rand_008,3,5,True,8,True,star-free
rand_009,2,6,True,8,True,star-free
rand_010,2,9,True,22,True,star-free
rand_011,2,4,True,5,True,star-free
rand_012,2,5,True,7,True,star-free
rand_013,2,5,True,7,True,star-free
rand_014,2,4,True,6,True,star-free
rand_015,3,9,True,21,True,star-free
rand_016,3,4,True,8,True,star-free
rand_017,2,6,True,7,True,star-free
rand_018,3,5,True,9,True,star-free
rand_019,3,6,True,13,True,star-free
rand_020,3,4,True,7,True,star-free
rand_021,3,7,True,17,True,star-free
rand_022,3,4,True,7,True,star-free
rand_023,2,5,True,6,True,star-free
rand_024,3,5,True,22,True,star-free
rand_025,2,4,True,7,True,star-free
rand_026,2,4,True,8,True,star-free
rand_027,3,5,True,12,True,star-free
rand_028,2,4,True,6,True,star-free
rand_029,3,7,True,10,True,star-free
rand_030,3,4,True,7,True,star-free
rand_031,3,7,True,10,True,star-free
rand_032,3,1,True,1,True,empty
rand_033,2,1,True,1,True,empty
rand_034,3,1,True,1,True,empty
rand_035,3,1,True,1,True,empty
rand_036,2,1,True,1,True,empty
rand_037,2,1,True,1,True,empty
rand_038,2,1,True,1,True,empty
rand_039,3,1,True,1,True,empty
