task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
tomita_1,examples/brasp/tomita_1.brasp,True,1,1,1,0,1.0,1.0,1.0,0.5,0,1,25.8
tomita_1,examples/brasp/tomita_1.brasp,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,33.4
tomita_1,examples/brasp/tomita_1.brasp,True,1,2,1,0,1.0,1.0,1.0,0.5,0,1,41.4
tomita_1,examples/brasp/tomita_1.brasp,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,56.6
tomita_1,examples/brasp/tomita_1.brasp,True,1,3,1,0,1.0,1.0,1.0,0.5,0,2,49.9
tomita_1,examples/brasp/tomita_1.brasp,True,1,3,2,0,1.0,1.0,1.0,0.5,0,2,70.6
tomita_1,examples/brasp/tomita_1.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,42.4
tomita_1,examples/brasp/tomita_1.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,46.8
tomita_1,examples/brasp/tomita_1.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,3,58.7
tomita_1,examples/brasp/tomita_1.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,92.7
tomita_1,examples/brasp/tomita_1.brasp,True,2,3,1,0,1.0,1.0,1.0,0.5,0,3,68.5
tomita_1,examples/brasp/tomita_1.brasp,True,2,3,2,0,1.0,1.0,1.0,0.5,0,5,123.6
tomita_2,examples/brasp/tomita_2.brasp,True,2,1,1,1,0.900293,0.900293,0.769,0.5,0,2,123.1
tomita_2,examples/brasp/tomita_2.brasp,True,2,1,2,1,1.0,1.0,1.0,0.5,0,2,115.2
tomita_2,examples/brasp/tomita_2.brasp,True,2,2,1,0,0.944282,0.944282,0.79,0.5,0,4,167.3
tomita_2,examples/brasp/tomita_2.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,67.9
tomita_2,examples/brasp/tomita_2.brasp,True,2,3,1,0,0.900293,0.900293,0.769,0.5,0,6,222.4
tomita_2,examples/brasp/tomita_2.brasp,True,2,3,2,0,0.900293,0.900293,0.769,0.5,0,6,356.5
tomita_2,examples/brasp/tomita_2.brasp,True,3,1,1,0,0.921799,0.921799,0.7805,0.5,0,3,150.7
tomita_2,examples/brasp/tomita_2.brasp,True,3,1,2,2,1.0,1.0,1.0,0.5,0,3,216.0
tomita_2,examples/brasp/tomita_2.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,71.4
tomita_2,examples/brasp/tomita_2.brasp,True,3,2,2,1,1.0,1.0,1.0,0.5,0,6,235.2
tomita_2,examples/brasp/tomita_2.brasp,True,3,3,1,1,1.0,1.0,1.0,0.5,0,8,187.2
tomita_2,examples/brasp/tomita_2.brasp,True,3,3,2,0,1.0,1.0,1.0,0.5,0,8,161.8
tomita_3,,False,1,1,1,0,0.473118,0.473118,0.5,0.5,0,1,79.6
tomita_3,,False,1,1,2,0,0.612903,0.612903,0.5,0.5,0,1,95.8
tomita_3,,False,1,2,1,0,0.614858,0.614858,0.5,0.5,0,2,116.8
tomita_3,,False,1,2,2,1,0.641251,0.641251,0.5,0.5,0,2,127.7
tomita_3,,False,2,1,1,0,0.684262,0.684262,0.5,0.5,0,2,110.1
tomita_3,,False,2,1,2,1,0.694037,0.694037,0.541,0.5,0,2,140.4
tomita_3,,False,2,2,1,2,0.737048,0.737048,0.501,0.5,0,4,159.8
tomita_3,,False,2,2,2,0,0.684262,0.684262,0.5,0.5,0,4,235.4
tomita_3,,False,3,1,1,0,0.702835,0.702835,0.582,0.5,0,3,151.1
tomita_3,,False,3,1,2,2,0.782991,0.782991,0.649,0.5,0,3,198.1
tomita_3,,False,3,2,1,0,0.811339,0.811339,0.6245,0.5,0,5,149.9
tomita_3,,False,3,2,2,1,0.782991,0.782991,0.63,0.5,0,6,317.6
tomita_4,examples/brasp/tomita_4.brasp,True,3,1,1,2,1.0,1.0,1.0,0.5,0,3,144.8
tomita_4,examples/brasp/tomita_4.brasp,True,3,1,2,1,1.0,1.0,1.0,0.5,0,3,131.6
tomita_4,examples/brasp/tomita_4.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,67.5
tomita_4,examples/brasp/tomita_4.brasp,True,3,2,2,0,0.86999,0.86999,0.515,0.5,0,5,331.0
tomita_4,examples/brasp/tomita_4.brasp,True,3,3,1,0,1.0,1.0,1.0,0.5,0,8,86.7
tomita_4,examples/brasp/tomita_4.brasp,True,3,3,2,0,1.0,1.0,1.0,0.5,0,8,160.5
tomita_4,examples/brasp/tomita_4.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,3,59.1
tomita_4,examples/brasp/tomita_4.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,95.5
tomita_4,examples/brasp/tomita_4.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,6,83.7
tomita_4,examples/brasp/tomita_4.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,8,145.5
tomita_4,examples/brasp/tomita_4.brasp,True,4,3,1,0,1.0,1.0,1.0,0.5,0,7,105.1
tomita_4,examples/brasp/tomita_4.brasp,True,4,3,2,0,1.0,1.0,1.0,0.5,0,7,189.2
tomita_5,,False,1,1,1,1,0.583578,0.583578,0.5,0.5,0,1,80.6
tomita_5,,False,1,1,2,1,0.515152,0.515152,0.5025,0.5,0,1,92.2
tomita_5,,False,1,2,1,2,0.5826,0.5826,0.5,0.5,0,2,108.8
tomita_5,,False,1,2,2,1,0.602151,0.602151,0.5,0.5,0,2,144.1
tomita_5,,False,2,1,1,0,0.602151,0.602151,0.5,0.5,0,2,101.4
tomita_5,,False,2,1,2,0,0.595308,0.595308,0.5,0.5,0,2,156.6
tomita_5,,False,2,2,1,0,0.515152,0.515152,0.5025,0.5,0,2,196.6
tomita_5,,False,2,2,2,0,0.615836,0.615836,0.5,0.5,0,4,241.3
tomita_5,,False,3,1,1,1,0.5826,0.5826,0.5,0.5,0,3,149.0
tomita_5,,False,3,1,2,2,0.614858,0.614858,0.5,0.5,0,3,202.8
tomita_5,,False,3,2,1,1,0.602151,0.602151,0.5,0.5,0,4,204.0
tomita_5,,False,3,2,2,1,0.647116,0.647116,0.5,0.5,0,6,331.4
tomita_6,,False,1,1,1,1,0.583578,0.583578,0.5,0.5,0,1,81.4
tomita_6,,False,1,1,2,0,0.583578,0.583578,0.5,0.5,0,1,84.8
tomita_6,,False,1,2,1,1,0.5826,0.5826,0.5,0.5,0,1,111.8
tomita_6,,False,1,2,2,2,0.583578,0.583578,0.5,0.5,0,1,144.6
tomita_6,,False,2,1,1,2,0.445748,0.445748,0.5,0.5,0,1,130.3
tomita_6,,False,2,1,2,2,0.583578,0.583578,0.5,0.5,0,2,150.3
tomita_6,,False,2,2,1,1,0.5826,0.5826,0.5,0.5,0,2,167.5
tomita_6,,False,2,2,2,0,0.55132,0.55132,0.503,0.5,0,4,226.9
tomita_6,,False,3,1,1,1,0.449658,0.449658,0.5,0.5,0,3,140.7
tomita_6,,False,3,1,2,0,0.494624,0.494624,0.497,0.5,0,3,198.0
tomita_6,,False,3,2,1,1,0.593353,0.593353,0.5,0.5,0,5,227.6
tomita_6,,False,3,2,2,2,0.599218,0.599218,0.5,0.5,0,6,331.2
tomita_7,examples/brasp/tomita_7.brasp,True,3,1,1,2,0.85435,0.85435,0.6365,0.5,0,3,125.5
tomita_7,examples/brasp/tomita_7.brasp,True,3,1,2,1,1.0,1.0,1.0,0.5,0,3,144.9
tomita_7,examples/brasp/tomita_7.brasp,True,3,2,1,1,1.0,1.0,1.0,0.5,0,5,132.4
tomita_7,examples/brasp/tomita_7.brasp,True,3,2,2,1,1.0,1.0,1.0,0.5,0,5,230.6
tomita_7,examples/brasp/tomita_7.brasp,True,3,3,1,1,1.0,1.0,1.0,0.5,0,8,137.7
tomita_7,examples/brasp/tomita_7.brasp,True,3,3,2,1,1.0,1.0,1.0,0.5,0,9,328.4
tomita_7,examples/brasp/tomita_7.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,4,61.1
tomita_7,examples/brasp/tomita_7.brasp,True,4,1,2,1,1.0,1.0,1.0,0.5,0,4,181.9
tomita_7,examples/brasp/tomita_7.brasp,True,4,2,1,2,0.87781,0.87781,0.6235,0.5,0,6,237.2
tomita_7,examples/brasp/tomita_7.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,8,150.5
tomita_7,examples/brasp/tomita_7.brasp,True,4,3,1,0,1.0,1.0,1.0,0.5,0,6,117.4
tomita_7,examples/brasp/tomita_7.brasp,True,4,3,2,0,1.0,1.0,1.0,0.5,0,9,176.9
