task,upto,layers,heads,terms,source,train_accuracy,test_accuracy,perfect,verdict
rand_000,2,3,1,1,examples/brasp/random100/rand_000.brasp,1.0,1.0,1,PROVED
rand_001,2,6,1,1,examples/brasp/random_deep/rand_001.brasp,1.0,1.0,1,PROVED
rand_001,2,9,1,2,examples/brasp/random_deeper/rand_001.brasp,1.0,1.0,1,PROVED
rand_002,2,11,1,1,examples/brasp/random_deeper/rand_002.brasp,1.0,1.0,1,PROVED
rand_002,2,3,1,1,examples/brasp/random100/rand_002.brasp,1.0,1.0,1,PROVED
rand_003,2,3,1,1,examples/brasp/random100/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,2,5,1,2,examples/brasp/random_deep/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,2,9,1,2,examples/brasp/random_deeper/rand_003.brasp,1.0,1.0,1,PROVED
rand_004,2,4,1,1,examples/brasp/random100/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,2,5,1,2,examples/brasp/random_deep/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,2,9,1,1,examples/brasp/random_deeper/rand_004.brasp,1.0,1.0,1,PROVED
rand_005,2,2,1,1,examples/brasp/random100/rand_005.brasp,1.0,1.0,1,PROVED
rand_005,2,5,1,1,examples/brasp/random_deep/rand_005.brasp,1.0,1.0,1,PROVED
rand_006,2,2,1,2,examples/brasp/random100/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,2,6,1,2,examples/brasp/random_deep/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,2,9,1,2,examples/brasp/random_deeper/rand_006.brasp,1.0,1.0,1,PROVED
rand_007,2,2,1,1,examples/brasp/random100/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,2,5,1,2,examples/brasp/random_deep/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,2,9,1,1,examples/brasp/random_deeper/rand_007.brasp,1.0,1.0,1,PROVED
rand_008,2,4,1,1,examples/brasp/random100/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,2,5,1,1,examples/brasp/random_deep/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,2,9,1,1,examples/brasp/random_deeper/rand_008.brasp,1.0,1.0,1,PROVED
rand_009,2,11,1,1,examples/brasp/random_deeper/rand_009.brasp,1.0,1.0,1,PROVED
rand_009,2,2,1,1,examples/brasp/random100/rand_009.brasp,1.0,1.0,1,PROVED
rand_010,2,11,1,1,examples/brasp/random_deeper/rand_010.brasp,1.0,1.0,1,PROVED
rand_010,2,5,1,1,examples/brasp/random_deep/rand_010.brasp,1.0,1.0,1,PROVED
rand_011,2,4,1,1,examples/brasp/random100/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,2,6,1,2,examples/brasp/random_deep/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,2,9,1,2,examples/brasp/random_deeper/rand_011.brasp,1.0,1.0,1,PROVED
rand_012,2,10,1,1,examples/brasp/random_deeper/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,2,1,1,1,examples/brasp/random100/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,2,5,1,1,examples/brasp/random_deep/rand_012.brasp,1.0,1.0,1,PROVED
rand_013,2,3,1,2,examples/brasp/random100/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,2,8,1,1,examples/brasp/random_deep/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,2,9,1,2,examples/brasp/random_deeper/rand_013.brasp,1.0,1.0,1,PROVED
rand_014,2,3,1,2,examples/brasp/random100/rand_014.brasp,1.0,1.0,1,PROVED
rand_014,2,6,1,1,examples/brasp/random_deep/rand_014.brasp,1.0,1.0,1,PROVED
rand_015,2,3,1,2,examples/brasp/random100/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,2,6,1,1,examples/brasp/random_deep/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,2,9,1,1,examples/brasp/random_deeper/rand_015.brasp,1.0,1.0,1,PROVED
rand_016,2,3,1,1,examples/brasp/random100/rand_016.brasp,1.0,1.0,1,PROVED
rand_016,2,5,1,1,examples/brasp/random_deep/rand_016.brasp,1.0,1.0,1,PROVED
rand_018,2,2,1,1,examples/brasp/random100/rand_018.brasp,1.0,1.0,1,PROVED
rand_018,2,5,1,1,examples/brasp/random_deep/rand_018.brasp,1.0,1.0,1,PROVED
rand_019,2,3,2,1,examples/brasp/random100/rand_019.brasp,1.0,1.0,1,PROVED
rand_019,2,5,1,1,examples/brasp/random_deep/rand_019.brasp,1.0,1.0,1,PROVED
rand_020,2,3,1,1,examples/brasp/random100/rand_020.brasp,1.0,1.0,1,PROVED
rand_020,2,6,1,2,examples/brasp/random_deep/rand_020.brasp,1.0,1.0,1,PROVED
rand_021,2,4,1,2,examples/brasp/random100/rand_021.brasp,1.0,1.0,1,PROVED
rand_022,2,5,1,1,examples/brasp/random_deep/rand_022.brasp,1.0,1.0,1,PROVED
rand_023,2,4,2,2,examples/brasp/random100/rand_023.brasp,1.0,1.0,1,PROVED
rand_023,2,5,1,2,examples/brasp/random_deep/rand_023.brasp,1.0,1.0,1,PROVED
rand_024,2,2,1,1,examples/brasp/random100/rand_024.brasp,1.0,1.0,1,PROVED
rand_025,2,4,1,2,examples/brasp/random100/rand_025.brasp,1.0,1.0,1,PROVED
rand_027,2,3,1,2,examples/brasp/random100/rand_027.brasp,1.0,1.0,1,PROVED
rand_028,2,3,1,1,examples/brasp/random100/rand_028.brasp,1.0,1.0,1,PROVED
rand_029,2,3,1,1,examples/brasp/random100/rand_029.brasp,1.0,1.0,1,PROVED
rand_030,2,4,1,1,examples/brasp/random100/rand_030.brasp,1.0,1.0,1,PROVED
rand_031,2,3,1,1,examples/brasp/random100/rand_031.brasp,1.0,1.0,1,PROVED
rand_032,2,2,1,1,examples/brasp/random100/rand_032.brasp,1.0,1.0,1,PROVED
rand_033,2,2,1,1,examples/brasp/random100/rand_033.brasp,1.0,1.0,1,PROVED
rand_034,2,3,1,1,examples/brasp/random100/rand_034.brasp,1.0,1.0,1,PROVED
rand_035,2,3,1,1,examples/brasp/random100/rand_035.brasp,1.0,1.0,1,PROVED
rand_036,2,2,1,1,examples/brasp/random100/rand_036.brasp,1.0,1.0,1,PROVED
rand_037,2,3,1,1,examples/brasp/random100/rand_037.brasp,1.0,1.0,1,PROVED
rand_038,2,4,2,2,examples/brasp/random100/rand_038.brasp,1.0,1.0,1,PROVED
rand_039,2,3,1,1,examples/brasp/random100/rand_039.brasp,1.0,1.0,1,PROVED
rand_040,2,3,1,1,examples/brasp/random100/rand_040.brasp,1.0,1.0,1,PROVED
