task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
a_before_b,examples/brasp/a_before_b.brasp,True,2,1,1,2,0.945241,0.945241,1.0,0.5,0,2,149.5
a_before_b,examples/brasp/a_before_b.brasp,True,2,1,2,1,1.0,1.0,1.0,0.5,0,2,94.5
a_before_b,examples/brasp/a_before_b.brasp,True,2,2,1,2,0.945241,0.945241,1.0,0.5,0,4,199.9
a_before_b,examples/brasp/a_before_b.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,3,71.8
a_before_b,examples/brasp/a_before_b.brasp,True,2,3,1,1,0.945241,0.945241,1.0,0.5,0,5,213.3
a_before_b,examples/brasp/a_before_b.brasp,True,2,3,2,0,1.0,1.0,1.0,0.5,0,6,99.2
a_before_b,examples/brasp/a_before_b.brasp,True,3,1,1,2,1.0,1.0,1.0,0.5,0,3,145.7
a_before_b,examples/brasp/a_before_b.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,61.6
a_before_b,examples/brasp/a_before_b.brasp,True,3,2,1,0,0.945241,0.945241,1.0,0.5,0,6,282.2
a_before_b,examples/brasp/a_before_b.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,103.1
a_before_b,examples/brasp/a_before_b.brasp,True,3,3,1,0,1.0,1.0,1.0,0.5,0,5,84.7
a_before_b,examples/brasp/a_before_b.brasp,True,3,3,2,0,1.0,1.0,1.0,0.5,0,9,129.5
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,21.5
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,47.9
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,2,1,2,1.0,1.0,1.0,0.5,0,3,154.1
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,2,2,1,1.0,1.0,1.0,0.5,0,4,150.1
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,3,1,0,1.0,1.0,1.0,0.5,0,4,67.7
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,2,3,2,1,1.0,1.0,1.0,0.5,0,6,193.5
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,2,52.7
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,68.7
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,5,109.4
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,105.9
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,3,1,0,1.0,1.0,1.0,0.5,0,8,88.7
a_star_b_star,examples/brasp/a_star_b_star.brasp,True,3,3,2,0,1.0,1.0,1.0,0.5,0,9,140.1
