task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,11,1,1,0,0.833333,0.833333,0.562,0.5,0,6,358.0
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,11,1,2,0,0.858447,0.858447,0.751,0.5,0,9,512.0
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,11,2,1,0,0.898402,0.898402,0.6165,0.5,0,16,505.6
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,11,2,2,0,0.808219,0.808219,0.633,0.5,0,18,716.1
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,12,1,1,1,0.805936,0.805936,0.5585,0.5,0,10,563.0
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,12,1,2,0,0.835616,0.835616,0.559,0.5,0,11,637.6
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,12,2,1,2,0.833333,0.833333,0.559,0.5,0,12,991.2
rand_000,examples/brasp/random_deeper/rand_000.brasp,True,12,2,2,0,0.905251,0.905251,0.564,0.5,0,22,822.6
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,9,1,1,1,0.983051,0.983051,1.0,0.5,0,8,480.9
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,9,1,2,1,1.0,1.0,1.0,0.5,0,8,372.1
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,9,2,1,0,0.945241,0.945241,0.999,0.5,0,16,566.9
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,9,2,2,2,0.983051,0.983051,1.0,0.5,0,15,540.2
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,10,1,1,0,0.857888,0.857888,0.848,0.5,0,8,476.6
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,10,1,2,1,1.0,1.0,1.0,0.5,0,9,350.0
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,10,2,1,0,0.983051,0.983051,1.0,0.5,0,10,762.8
rand_001,examples/brasp/random_deeper/rand_001.brasp,True,10,2,2,0,1.0,1.0,1.0,0.5,0,8,149.0
