task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_000,5,1,1,9,5,0,0,examples/brasp/random_deep/rand_000.brasp
rand_001,6,1,1,6,6,8,8,examples/brasp/random_deep/rand_001.brasp
rand_002,5,1,1,10,5,0,0,examples/brasp/random_deep/rand_002.brasp
rand_003,5,1,2,5,5,4,8,examples/brasp/random_deep/rand_003.brasp
rand_004,5,1,2,5,5,6,8,examples/brasp/random_deep/rand_004.brasp
rand_005,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_005.brasp
rand_006,6,1,2,6,6,4,8,examples/brasp/random_deep/rand_006.brasp
rand_007,5,1,2,5,5,2,8,examples/brasp/random_deep/rand_007.brasp
rand_008,5,1,1,5,5,4,8,examples/brasp/random_deep/rand_008.brasp
rand_009,5,1,1,9,5,0,0,examples/brasp/random_deep/rand_009.brasp
rand_010,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_010.brasp
rand_011,6,1,2,6,6,4,8,examples/brasp/random_deep/rand_011.brasp
rand_012,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_012.brasp
rand_013,8,1,1,5,8,8,8,examples/brasp/random_deep/rand_013.brasp
rand_014,6,1,1,6,6,8,8,examples/brasp/random_deep/rand_014.brasp
rand_015,6,1,1,6,6,4,8,examples/brasp/random_deep/rand_015.brasp
rand_016,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_016.brasp
rand_017,5,1,1,10,5,0,0,examples/brasp/random_deep/rand_017.brasp
rand_018,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_018.brasp
rand_019,5,1,1,5,5,8,8,examples/brasp/random_deep/rand_019.brasp
rand_020,6,1,2,5,6,6,8,examples/brasp/random_deep/rand_020.brasp
rand_021,5,1,1,9,5,0,0,examples/brasp/random_deep/rand_021.brasp
rand_022,5,1,1,5,5,6,8,examples/brasp/random_deep/rand_022.brasp
rand_023,5,1,2,4,5,5,8,examples/brasp/random_deep/rand_023.brasp
rand_024,2,1,1,2,2,0,0,examples/brasp/random_deep/rand_024.brasp
rand_025,1,1,1,2,1,0,0,examples/brasp/random_deep/rand_025.brasp
rand_026,3,1,1,3,3,0,0,examples/brasp/random_deep/rand_026.brasp
rand_027,2,1,1,2,2,0,0,examples/brasp/random_deep/rand_027.brasp
