file,wall_time_s,verdict,detail
a_is_last,0.6,NOT_PROVED,""
all_words,0.7,NOT_PROVED,""
at_least_two_a,0.7,NOT_PROVED,""
contains_a,0.6,NOT_PROVED,""
dot_depth__k-1__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-1__sigma-4,0.6,NOT_PROVED,""
dot_depth__k-10__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-11__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-12__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-13__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-14__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-15__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-16__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-17__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-18__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-19__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-2__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-2__sigma-4,1.7,NOT_PROVED,""
dot_depth__k-20__sigma-2,0.9,NOT_PROVED,""
dot_depth__k-21__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-22__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-23__sigma-2,1.1,NOT_PROVED,""
dot_depth__k-24__sigma-2,0.8,NOT_PROVED,""
dot_depth__k-3__sigma-2,0.8,NOT_PROVED,""
dot_depth__k-3__sigma-4,0.6,NOT_PROVED,""
dot_depth__k-4__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-4__sigma-4,0.9,NOT_PROVED,""
dot_depth__k-5__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-5__sigma-4,0.6,NOT_PROVED,""
dot_depth__k-6__sigma-2,0.6,NOT_PROVED,""
dot_depth__k-6__sigma-4,0.7,NOT_PROVED,""
dot_depth__k-7__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-7__sigma-4,0.7,NOT_PROVED,""
dot_depth__k-8__sigma-2,0.7,NOT_PROVED,""
dot_depth__k-8__sigma-4,0.9,NOT_PROVED,""
dot_depth__k-9__sigma-2,0.8,NOT_PROVED,""
ends_in_ab,0.9,NOT_PROVED,""
is_baa,0.9,NOT_PROVED,""
last_a,1.0,NOT_PROVED,""
last_two_equal,1.0,NOT_PROVED,""
