language,alphabet,dfa_states,aperiodic,monoid_size,dfa_matches_program,classification
rand_000,3,7,True,14,True,star-free
rand_001,2,4,True,6,True,star-free
rand_002,3,14,True,26,True,star-free
rand_003,2,9,True,15,True,star-free
rand_004,3,5,True,6,True,star-free
rand_005,3,5,True,11,True,star-free
rand_006,2,10,True,40,True,star-free
rand_007,3,6,True,15,True,star-free
rand_008,3,9,True,13,True,star-free
rand_009,2,17,True,37,True,star-free
rand_010,2,5,True,7,True,star-free
rand_011,3,13,True,32,True,star-free
rand_012,2,6,True,14,True,star-free
rand_013,3,5,True,7,True,star-free
rand_014,2,5,True,6,True,star-free
rand_015,3,5,True,10,True,star-free
rand_016,2,4,True,4,True,star-free
rand_017,3,11,True,31,True,star-free
rand_018,3,4,True,8,True,star-free
rand_019,2,4,True,6,True,star-free
rand_020,2,4,True,6,True,star-free
rand_021,3,12,True,42,True,star-free
rand_022,3,5,True,11,True,star-free
rand_023,2,9,True,13,True,star-free
rand_024,3,1,True,1,True,empty
rand_025,3,1,True,1,True,empty
rand_026,3,1,True,1,True,empty
rand_027,3,1,True,1,True,empty
