task,stem,layers,heads,terms,train_seconds,train,holdout,longword,verdict,equivalence_seconds
rand_000,rand_000__l3_h1_t1,3,1,1,46.3,1.0,1.0,1.0,PROVED,1.05
rand_001,rand_001__l3_h1_t2,3,1,2,656.1,0.986874,0.984127,0.949,DIFFERENT,0.66
rand_001,rand_001__l6_h1_t1,6,1,1,74.6,1.0,1.0,1.0,PROVED,0.7
rand_001,rand_001__l9_h1_t2,9,1,2,413.9,1.0,1.0,1.0,PROVED,0.79
rand_002,rand_002__l11_h1_t1,11,1,1,1352.6,0.990473,0.981707,0.996,DIFFERENT,2.5
rand_002,rand_002__l3_h1_t1,3,1,1,403.1,1.0,1.0,1.0,PROVED,0.64
rand_003,rand_003__l3_h1_t1,3,1,1,50.3,1.0,1.0,1.0,PROVED,0.63
rand_003,rand_003__l5_h1_t2,5,1,2,863.9,0.996032,0.995116,0.997,DIFFERENT,0.67
rand_003,rand_003__l9_h1_t2,9,1,2,220.7,1.0,1.0,1.0,PROVED,0.75
rand_004,rand_004__l4_h1_t1,4,1,1,64.4,1.0,1.0,1.0,PROVED,0.62
rand_004,rand_004__l5_h1_t2,5,1,2,66.3,1.0,1.0,1.0,PROVED,0.72
rand_004,rand_004__l9_h1_t1,9,1,1,94.3,1.0,0.998779,1.0,PROVED,0.71
rand_005,rand_005__l2_h1_t1,2,1,1,43.0,1.0,1.0,1.0,PROVED,0.7
rand_005,rand_005__l5_h1_t1,5,1,1,592.9,1.0,1.0,1.0,PROVED,0.71
rand_006,rand_006__l2_h1_t2,2,1,2,45.5,1.0,1.0,1.0,PROVED,0.64
rand_006,rand_006__l6_h1_t2,6,1,2,108.1,1.0,1.0,1.0,PROVED,0.76
rand_006,rand_006__l9_h1_t2,9,1,2,1257.1,0.999389,0.996337,1.0,DIFFERENT,0.85
rand_007,rand_007__l2_h1_t1,2,1,1,43.4,1.0,1.0,1.0,PROVED,0.63
rand_007,rand_007__l5_h1_t2,5,1,2,794.2,0.994284,0.992378,0.994,DIFFERENT,0.86
rand_007,rand_007__l9_h1_t1,9,1,1,91.9,1.0,1.0,1.0,PROVED,0.69
rand_008,rand_008__l4_h1_t1,4,1,1,59.5,1.0,1.0,1.0,PROVED,0.64
rand_008,rand_008__l5_h1_t1,5,1,1,777.9,0.998476,0.995427,0.996,DIFFERENT,0.75
rand_008,rand_008__l9_h1_t1,9,1,1,96.6,1.0,0.998779,1.0,DIFFERENT,0.67
rand_009,rand_009__l11_h1_t1,11,1,1,112.2,1.0,1.0,1.0,PROVED,0.78
rand_009,rand_009__l2_h1_t1,2,1,1,43.5,1.0,1.0,1.0,PROVED,0.69
rand_010,rand_010__l11_h1_t1,11,1,1,110.4,1.0,1.0,1.0,PROVED,0.72
rand_010,rand_010__l5_h1_t1,5,1,1,143.4,1.0,0.998779,1.0,PROVED,0.64
rand_011,rand_011__l4_h1_t1,4,1,1,60.9,1.0,0.998476,1.0,PROVED,0.63
rand_011,rand_011__l6_h1_t2,6,1,2,139.8,1.0,0.998476,1.0,PROVED,0.98
rand_011,rand_011__l9_h1_t2,9,1,2,460.4,1.0,1.0,1.0,PROVED,1.1
rand_012,rand_012__l10_h1_t1,10,1,1,679.2,1.0,1.0,1.0,PROVED,0.98
rand_012,rand_012__l1_h1_t1,1,1,1,28.0,1.0,1.0,1.0,PROVED,0.62
rand_012,rand_012__l5_h1_t1,5,1,1,71.6,1.0,1.0,1.0,PROVED,0.65
rand_013,rand_013__l3_h1_t2,3,1,2,148.5,1.0,1.0,1.0,PROVED,0.68
rand_013,rand_013__l8_h1_t1,8,1,1,82.3,1.0,0.998476,1.0,PROVED,0.71
rand_013,rand_013__l9_h1_t2,9,1,2,204.5,1.0,1.0,1.0,PROVED,1.19
rand_014,rand_014__l3_h1_t2,3,1,2,201.2,1.0,1.0,1.0,PROVED,0.63
rand_014,rand_014__l6_h1_t1,6,1,1,147.4,1.0,0.998779,1.0,PROVED,0.63
rand_015,rand_015__l3_h1_t2,3,1,2,596.4,0.999619,1.0,1.0,DIFFERENT,0.73
rand_015,rand_015__l6_h1_t1,6,1,1,78.2,1.0,0.998476,1.0,PROVED,0.67
rand_015,rand_015__l9_h1_t1,9,1,1,92.5,1.0,0.998476,1.0,PROVED,0.85
rand_016,rand_016__l3_h1_t1,3,1,1,307.7,1.0,0.998779,1.0,PROVED,0.62
