task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,verdict,verify_seconds,spec_empty,agrees
rand_000,1,1,1,1,28.1,1.0,1.0,false,non-empty,2.82,false,true
rand_001,2,1,1,2,42.9,1.0,1.0,false,non-empty,2.13,false,true
rand_002,2,1,1,1,41.8,1.0,1.0,false,non-empty,2.24,false,true
rand_003,2,1,1,2,44.0,1.0,1.0,false,non-empty,2.27,false,true
rand_004,1,1,1,0,27.6,1.0,1.0,false,non-empty,2.29,false,true
rand_005,3,1,1,3,47.6,1.0,1.0,false,non-empty,2.33,false,true
rand_006,2,1,1,2,43.3,1.0,1.0,false,non-empty,2.17,false,true
rand_007,2,1,1,2,34.0,1.0,1.0,false,non-empty,2.19,false,true
rand_008,2,1,1,2,29.5,1.0,1.0,false,non-empty,2.07,false,true
rand_009,1,1,1,0,18.4,1.0,1.0,false,non-empty,1.99,false,true
rand_010,2,1,1,2,41.8,1.0,1.0,false,non-empty,2.05,false,true
rand_011,3,1,1,3,49.6,1.0,1.0,false,non-empty,1.97,false,true
rand_012,2,1,1,1,44.1,1.0,1.0,false,non-empty,1.9,false,true
rand_013,2,1,1,1,44.4,1.0,1.0,false,non-empty,1.79,false,true
rand_014,1,1,1,0,18.1,1.0,1.0,false,non-empty,1.77,false,true
rand_015,2,1,1,2,40.8,1.0,1.0,false,non-empty,1.81,false,true
rand_016,2,1,1,2,122.5,1.0,1.0,false,non-empty,1.75,false,true
rand_017,2,1,1,2,46.0,1.0,1.0,false,non-empty,1.76,false,true
rand_018,1,1,1,1,27.5,1.0,1.0,false,non-empty,1.75,false,true
rand_019,2,1,1,1,39.7,1.0,1.0,false,non-empty,1.79,false,true
rand_020,3,1,1,2,54.4,1.0,1.0,false,non-empty,1.81,false,true
rand_021,2,1,1,2,41.7,1.0,1.0,false,non-empty,1.88,false,true
rand_022,1,1,1,1,29.8,1.0,1.0,false,non-empty,1.81,false,true
rand_023,3,1,1,2,46.5,1.0,1.0,false,non-empty,1.83,false,true
rand_024,2,1,1,2,43.1,1.0,1.0,false,non-empty,1.94,false,true
rand_025,4,1,1,4,58.4,1.0,1.0,false,non-empty,1.99,false,true
rand_026,2,1,1,2,42.3,1.0,1.0,false,non-empty,1.96,false,true
rand_027,2,1,1,2,42.0,1.0,1.0,false,non-empty,1.94,false,true
rand_028,2,1,2,2,48.8,1.0,1.0,false,non-empty,2.04,false,true
rand_029,3,1,1,3,51.8,1.0,1.0,false,non-empty,2.11,false,true
rand_030,2,1,1,1,42.3,1.0,1.0,false,non-empty,1.96,false,true
rand_031,1,1,1,0,27.2,1.0,1.0,false,non-empty,1.97,false,true
rand_032,3,1,2,3,66.3,1.0,1.0,false,non-empty,2.06,false,true
rand_033,2,1,1,2,85.6,1.0,1.0,false,non-empty,1.91,false,true
rand_034,1,2,1,1,41.6,1.0,1.0,false,non-empty,2.0,false,true
rand_035,2,1,1,2,88.8,1.0,1.0,false,non-empty,2.17,false,true
rand_036,4,1,1,2,62.4,1.0,1.0,false,non-empty,2.06,false,true
rand_037,2,1,1,2,82.0,1.0,1.0,false,non-empty,2.01,false,true
rand_038,5,1,1,5,194.2,1.0,1.0,false,non-empty,2.01,false,true
rand_039,1,1,1,1,53.1,1.0,1.0,false,non-empty,1.95,false,true
rand_040,2,1,1,2,43.1,1.0,1.0,true,empty,1.88,true,true
rand_041,2,1,1,2,43.6,1.0,1.0,true,empty,1.88,true,true
rand_042,1,1,1,2,29.4,1.0,1.0,true,empty,1.8,true,true
rand_043,3,1,1,4,50.8,1.0,1.0,true,empty,1.93,true,true
rand_044,2,1,1,2,41.7,1.0,1.0,true,empty,1.88,true,true
rand_045,1,1,1,2,29.4,1.0,1.0,true,empty,1.91,true,true
rand_046,3,1,1,4,50.0,1.0,1.0,true,empty,1.92,true,true
rand_047,3,1,1,3,52.1,1.0,1.0,true,empty,1.95,true,true
