task,source,star_free,layers,heads,terms,best_seed,model_hard_accuracy,train_accuracy,test_accuracy,test_positive_rate,disagreements,attention_ops,seconds
rand_000,examples/brasp/random100/rand_000.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,50.9
rand_000,examples/brasp/random100/rand_000.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,65.7
rand_000,examples/brasp/random100/rand_000.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,66.8
rand_000,examples/brasp/random100/rand_000.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,97.8
rand_000,examples/brasp/random100/rand_000.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,4,58.5
rand_000,examples/brasp/random100/rand_000.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,78.9
rand_000,examples/brasp/random100/rand_000.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,5,69.1
rand_000,examples/brasp/random100/rand_000.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,7,99.2
rand_001,examples/brasp/random100/rand_001.brasp,True,3,1,1,1,0.818774,0.818774,0.8485,0.5,0,3,146.7
rand_001,examples/brasp/random100/rand_001.brasp,True,3,1,2,1,1.0,1.0,1.0,0.5,0,3,123.1
rand_001,examples/brasp/random100/rand_001.brasp,True,3,2,1,2,0.760104,0.760104,0.6625,0.5,0,6,191.5
rand_001,examples/brasp/random100/rand_001.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,99.3
rand_001,examples/brasp/random100/rand_001.brasp,True,4,1,1,2,0.80704,0.80704,0.746,0.5,0,4,163.7
rand_001,examples/brasp/random100/rand_001.brasp,True,4,1,2,0,0.90352,0.90352,0.797,0.5,0,4,221.2
rand_001,examples/brasp/random100/rand_001.brasp,True,4,2,1,1,0.760104,0.760104,0.6625,0.5,0,7,234.6
rand_001,examples/brasp/random100/rand_001.brasp,True,4,2,2,2,1.0,1.0,1.0,0.5,0,8,363.1
rand_002,examples/brasp/random100/rand_002.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,38.4
rand_002,examples/brasp/random100/rand_002.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,57.8
rand_002,examples/brasp/random100/rand_002.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,5,58.0
rand_002,examples/brasp/random100/rand_002.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,5,100.0
rand_002,examples/brasp/random100/rand_002.brasp,True,4,1,1,1,1.0,1.0,1.0,0.5,0,2,111.2
rand_002,examples/brasp/random100/rand_002.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,78.3
rand_002,examples/brasp/random100/rand_002.brasp,True,4,2,1,1,1.0,1.0,1.0,0.5,0,7,151.9
rand_002,examples/brasp/random100/rand_002.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,7,125.6
rand_003,examples/brasp/random100/rand_003.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,39.6
rand_003,examples/brasp/random100/rand_003.brasp,True,3,1,2,0,0.929596,0.929596,0.999,0.5,0,3,181.3
rand_003,examples/brasp/random100/rand_003.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,61.9
rand_003,examples/brasp/random100/rand_003.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,91.1
rand_003,examples/brasp/random100/rand_003.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,4,49.0
rand_003,examples/brasp/random100/rand_003.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,73.6
rand_003,examples/brasp/random100/rand_003.brasp,True,4,2,1,1,1.0,1.0,1.0,0.5,0,6,166.8
rand_003,examples/brasp/random100/rand_003.brasp,True,4,2,2,1,1.0,1.0,1.0,0.5,0,8,235.8
rand_004,examples/brasp/random100/rand_004.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,4,59.3
rand_004,examples/brasp/random100/rand_004.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,64.2
rand_004,examples/brasp/random100/rand_004.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,6,73.7
rand_004,examples/brasp/random100/rand_004.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,6,122.7
rand_004,examples/brasp/random100/rand_004.brasp,True,5,1,1,1,1.0,1.0,1.0,0.5,0,3,127.7
rand_004,examples/brasp/random100/rand_004.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,89.9
rand_004,examples/brasp/random100/rand_004.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,7,90.8
rand_004,examples/brasp/random100/rand_004.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,7,131.0
rand_005,examples/brasp/random100/rand_005.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,44.9
rand_005,examples/brasp/random100/rand_005.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,50.4
rand_005,examples/brasp/random100/rand_005.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,4,48.3
rand_005,examples/brasp/random100/rand_005.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,72.3
rand_005,examples/brasp/random100/rand_005.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,2,50.4
rand_005,examples/brasp/random100/rand_005.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,64.5
rand_005,examples/brasp/random100/rand_005.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,61.4
rand_005,examples/brasp/random100/rand_005.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,99.1
rand_006,examples/brasp/random100/rand_006.brasp,True,2,1,1,0,0.983051,0.983051,1.0,0.5,0,2,113.8
rand_006,examples/brasp/random100/rand_006.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,47.6
rand_006,examples/brasp/random100/rand_006.brasp,True,2,2,1,1,1.0,1.0,1.0,0.5,0,4,104.9
rand_006,examples/brasp/random100/rand_006.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,70.2
rand_006,examples/brasp/random100/rand_006.brasp,True,3,1,1,1,1.0,1.0,1.0,0.5,0,2,58.9
rand_006,examples/brasp/random100/rand_006.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,2,51.7
rand_006,examples/brasp/random100/rand_006.brasp,True,3,2,1,2,1.0,1.0,1.0,0.5,0,6,195.3
rand_006,examples/brasp/random100/rand_006.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,4,83.9
rand_007,examples/brasp/random100/rand_007.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,44.8
rand_007,examples/brasp/random100/rand_007.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,49.7
rand_007,examples/brasp/random100/rand_007.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,4,48.5
rand_007,examples/brasp/random100/rand_007.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,3,66.8
rand_007,examples/brasp/random100/rand_007.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,50.3
rand_007,examples/brasp/random100/rand_007.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,55.7
rand_007,examples/brasp/random100/rand_007.brasp,True,3,2,1,1,1.0,1.0,1.0,0.5,0,5,129.7
rand_007,examples/brasp/random100/rand_007.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,86.9
rand_008,examples/brasp/random100/rand_008.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,3,58.4
rand_008,examples/brasp/random100/rand_008.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,3,76.1
rand_008,examples/brasp/random100/rand_008.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,4,77.1
rand_008,examples/brasp/random100/rand_008.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,7,130.5
rand_008,examples/brasp/random100/rand_008.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,4,71.7
rand_008,examples/brasp/random100/rand_008.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,5,84.9
rand_008,examples/brasp/random100/rand_008.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,8,95.9
rand_008,examples/brasp/random100/rand_008.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,7,141.6
rand_009,examples/brasp/random100/rand_009.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,39.6
rand_009,examples/brasp/random100/rand_009.brasp,True,2,1,2,0,1.0,1.0,1.0,0.5,0,2,49.3
rand_009,examples/brasp/random100/rand_009.brasp,True,2,2,1,0,1.0,1.0,1.0,0.5,0,4,54.4
rand_009,examples/brasp/random100/rand_009.brasp,True,2,2,2,0,1.0,1.0,1.0,0.5,0,4,77.4
rand_009,examples/brasp/random100/rand_009.brasp,True,3,1,1,0,1.0,1.0,1.0,0.5,0,3,49.7
rand_009,examples/brasp/random100/rand_009.brasp,True,3,1,2,0,1.0,1.0,1.0,0.5,0,3,64.2
rand_009,examples/brasp/random100/rand_009.brasp,True,3,2,1,0,1.0,1.0,1.0,0.5,0,6,66.8
rand_009,examples/brasp/random100/rand_009.brasp,True,3,2,2,0,1.0,1.0,1.0,0.5,0,6,80.4
rand_010,examples/brasp/random100/rand_010.brasp,True,3,1,1,1,0.932648,0.932648,0.801,0.5,0,3,136.1
rand_010,examples/brasp/random100/rand_010.brasp,True,3,1,2,2,0.974886,0.974886,0.9735,0.5,0,3,177.8
rand_010,examples/brasp/random100/rand_010.brasp,True,3,2,1,0,0.923516,0.923516,0.8825,0.5,0,6,193.6
rand_010,examples/brasp/random100/rand_010.brasp,True,3,2,2,2,0.954338,0.954338,0.973,0.5,0,6,297.0
rand_010,examples/brasp/random100/rand_010.brasp,True,4,1,1,0,0.932648,0.932648,0.9175,0.5,0,4,126.1
rand_010,examples/brasp/random100/rand_010.brasp,True,4,1,2,0,0.989726,0.989726,0.975,0.5,0,4,227.7
rand_010,examples/brasp/random100/rand_010.brasp,True,4,2,1,2,0.914384,0.914384,0.866,0.5,0,5,203.6
rand_010,examples/brasp/random100/rand_010.brasp,True,4,2,2,2,0.989726,0.989726,0.975,0.5,0,5,327.5
rand_011,examples/brasp/random100/rand_011.brasp,True,4,1,1,0,1.0,1.0,1.0,0.5,0,2,42.5
rand_011,examples/brasp/random100/rand_011.brasp,True,4,1,2,0,1.0,1.0,1.0,0.5,0,4,81.1
rand_011,examples/brasp/random100/rand_011.brasp,True,4,2,1,0,1.0,1.0,1.0,0.5,0,5,76.9
rand_011,examples/brasp/random100/rand_011.brasp,True,4,2,2,0,1.0,1.0,1.0,0.5,0,7,126.1
rand_011,examples/brasp/random100/rand_011.brasp,True,5,1,1,0,1.0,1.0,1.0,0.5,0,3,55.8
rand_011,examples/brasp/random100/rand_011.brasp,True,5,1,2,0,1.0,1.0,1.0,0.5,0,4,92.7
rand_011,examples/brasp/random100/rand_011.brasp,True,5,2,1,0,1.0,1.0,1.0,0.5,0,7,91.6
rand_011,examples/brasp/random100/rand_011.brasp,True,5,2,2,0,1.0,1.0,1.0,0.5,0,6,127.2
rand_012,examples/brasp/random100/rand_012.brasp,True,1,1,1,0,1.0,1.0,1.0,0.5,0,1,28.0
rand_012,examples/brasp/random100/rand_012.brasp,True,1,1,2,0,1.0,1.0,1.0,0.5,0,1,22.8
rand_012,examples/brasp/random100/rand_012.brasp,True,1,2,1,0,1.0,1.0,1.0,0.5,0,2,49.4
rand_012,examples/brasp/random100/rand_012.brasp,True,1,2,2,0,1.0,1.0,1.0,0.5,0,2,42.2
rand_012,examples/brasp/random100/rand_012.brasp,True,2,1,1,0,1.0,1.0,1.0,0.5,0,2,50.6
